block,condition,epi_mean,epi_std,epi_median,viol_mean,n
design,coef_perturb=0.1,1.6705038895739812,5.82373212931399,2.7647105704778587,5381.9,20
design,coef_perturb=0.2,-13.40963848554976,20.394921972073195,-7.420245808695252,5789.4,20
design,coef_perturb=0.3,-4.770504984277549,16.0030325538492,0.9835992037451897,5273.9,20
design,mpc_horizon=12,5.128864250163156,0.8994828871874071,5.0891916699456,5272.2,20
design,mpc_horizon=20,3.6281857692763078,1.9261314201481414,4.26582099747846,6450.05,20
design,mpc_horizon=30,0.9078364628051027,4.025588824292305,2.899773151491009,6947.8,20
design,mpc_horizon=8,6.113088015604354,0.8745851749834825,6.124588764394929,4420.5,20
design,stlsq_threshold=0.01,3.205284189828288,3.24899784786779,3.7893904825715525,6262.95,20
design,stlsq_threshold=0.05,1.5881690843290184,5.588140926327877,0.049348499260976945,5422.6,20
design,stlsq_threshold=0.1,2.503741873838105,0.3370346443571899,2.5905706338067627,8439.9,20
design,stlsq_threshold=0.2,1.3394696278092897,3.0487884931288503,1.3285110880538165,9218.75,20
