block,condition,epi_mean,epi_std,epi_median,viol_mean,n
faults,nofault,3.6281857692763078,1.9261314201481414,4.26582099747846,6450.05,20
faults,rh_offset/raw,1.2657931173153456,3.7232785053075736,2.9697601210324485,9078.95,20
faults,rh_offset/sup,4.453342523031285,0.35586320164451396,4.461001980223578,3327.8,20
faults,t_in_offset/raw,3.6693933198799407,1.1622153297353317,3.9875348931408863,7651.6,20
faults,t_in_offset/sup,4.471393857114261,0.38643506201989397,4.461001980223578,3367.0,20
faults,t_in_stuck/raw,3.058898103646334,1.1792277256437371,2.9715432976185374,9257.95,20
faults,t_in_stuck/sup,4.41600014156479,0.2902592912188156,4.444170388714347,3274.85,20
faults,uBoil_stuck/raw,-8.409810553999913,5.351637436880515,-6.887153709039222,5198.05,20
faults,uBoil_stuck/sup,-3.875077845541398,0.29150111022978437,-3.856257884338201,2659.75,20
faults,uLamp_dead/raw,3.501611309066031,1.6367348649405404,3.8115070785651013,6458.95,20
faults,uLamp_dead/sup,6.325493033595822,0.28509267341013655,6.383791626329139,3240.9,20
faults,uVent_dead/raw,-18.187375661106973,5.47629207349733,-18.43375991648889,9130.95,20
faults,uVent_dead/sup,0.09759771103430752,0.30308096236820947,0.10938099478537894,5291.55,20
