test_year,method,epi_mean,epi_std,epi_median,epi_q25,epi_q75,viol_mean,n
2020,rule_based,4.633505033605601,0.0,4.633505033605601,4.633505033605601,4.633505033605601,2458.0,20
2020,sindy_mpc_lowthr,3.676864545732356,1.8538024867292384,4.395694404927797,3.1804196259488684,4.804740602110071,6439.25,20
2020,sindy_mpc_dense,3.6281857692763078,1.9261314201481414,4.26582099747846,3.1520701761384937,4.781539652511281,6450.05,20
2020,ppo,3.355003847580967,1.5923356111395603,3.753425438652613,3.1526034295620584,4.185990555943202,1841.95,20
2020,sindy_mpc_dense_dagger,3.165218421937335,1.7434508473504415,3.4841239635652417,2.638611219851591,4.469305494512854,4730.2,20
2020,oracle_mpc,2.765059687780411,0.07528982891270523,2.7811910127685318,2.7416929142903896,2.80707131228248,2840.5,20
2020,sindy_mpc_conf_dagger,2.600766852387296,3.975835263214865,2.5376691776164986,0.27798085278544066,5.211265386936756,4951.45,20
2020,sindy_mpc_conf,1.6526028716412007,3.933506061496249,-0.5168298081968401,-0.9795462917161736,5.095110587558377,5576.2,20
2020,sac,-2.4301047661814126,1.326045748120437,-2.771800983109752,-3.3236943308222147,-1.2171103065598956,1766.6,20
2020,nn_mpc,-3.6109497266712687,2.0943569632600063,-3.900874765439406,-5.3409312562051285,-1.6752414299725031,3407.6,20
2021,ppo,-2.097331369555405,1.0289624314668098,-2.3883197593937315,-2.578914343184841,-1.6715285744719643,1116.45,20
2021,sindy_mpc_lowthr,-2.594024220394023,2.0528854681623767,-2.3788016581325673,-4.450221093001702,-1.0621585911509455,6548.65,20
2021,sindy_mpc_dense,-2.6825952339948773,2.018634743082447,-2.5463239951196694,-4.443108018381121,-1.0597415338787124,6546.85,20
2021,sindy_mpc_dense_dagger,-3.2750688070498932,1.2620370427514034,-3.1829427438345625,-3.98059590691936,-2.4405127409176552,4646.3,20
2021,sindy_mpc_conf_dagger,-3.31794071977487,5.203248627961906,-3.4875950149785773,-4.103693111066727,-1.9621577384703393,5177.8,20
2021,sindy_mpc_conf,-4.420262023231983,3.2081370998212213,-3.622485730505982,-5.2847236254678265,-2.957347800462177,6113.35,20
2021,sac,-6.134100507135358,1.4675479944646965,-5.745116549735608,-7.268870682970483,-5.085519473168058,1712.5,20
2021,oracle_mpc,-6.75666285247371,0.08709314999178791,-6.778862732786368,-6.825395778990826,-6.670441546549634,3600.45,20
2021,rule_based,-6.971197553462107,0.0,-6.971197553462108,-6.971197553462108,-6.971197553462108,3172.0,20
2021,nn_mpc,-7.905826199637042,2.5862549722170347,-7.6392311684839544,-9.8451645973757,-6.446780144287976,4086.45,20
2022,ppo,1.7236714204344825,1.189813980409232,1.6387127809653004,1.1987475055957748,2.3095362347946784,1194.45,20
2022,rule_based,1.3275113618985808,0.0,1.3275113618985808,1.3275113618985808,1.3275113618985808,2505.0,20
2022,sindy_mpc_lowthr,0.8426991295868905,1.5163577093712772,0.8023011494840979,-0.10198152223608435,1.9630920118952793,4942.4,20
2022,sindy_mpc_dense,0.77423715912414,1.4745188775108198,0.6729917836547945,-0.058793467771733665,1.7646288476869278,4939.35,20
2022,sindy_mpc_conf_dagger,0.5100332962606403,4.955471826122653,0.5747024999983057,-2.994727890410259,5.571794240310494,4380.85,20
2022,sindy_mpc_dense_dagger,-0.3285079727989776,1.0218058081801242,-0.2365324271292863,-1.027185439996666,0.42501396522078394,3971.55,20
2022,sindy_mpc_conf,-1.784869889581957,3.4999996421706228,-2.862659813739191,-3.399985098679199,-0.06089646648056518,5397.45,20
2022,sac,-2.9868333893970442,1.6147391478896973,-2.941730685862945,-4.336595772817795,-1.6886874088744248,1542.9,20
2022,nn_mpc,-6.328933318888348,2.3880968887719303,-6.877142048265995,-7.6826456011343485,-5.248853775936984,3502.8,20
2023,sindy_mpc_lowthr,-0.27266828488979644,1.3671158675283455,0.19597849983478366,-1.1644956417420769,0.7231518794291765,6086.95,20
2023,sindy_mpc_conf_dagger,-0.2750609136676926,3.815556253689587,-0.5009954271903062,-2.359470411915488,2.7007571013755367,5017.65,20
2023,sindy_mpc_dense,-0.3440927157881895,1.3261598605779013,0.0026639788287204508,-1.1744404658830603,0.6009624508392009,6091.95,20
2023,sindy_mpc_conf,-0.47392494709487193,3.168744855777715,-1.5173678354783777,-3.2555872141100197,1.485262151261994,5582.35,20
2023,sindy_mpc_dense_dagger,-1.016358219266637,1.0183769193649783,-1.254609358220692,-1.7947405339325988,-0.17640182841588486,4875.6,20
2023,ppo,-1.1666719544589068,3.401731017098358,-0.597722197445632,-0.9213952513667883,-0.12968386500317708,1166.8,20
2023,rule_based,-3.814265381971309,0.0,-3.8142653819713086,-3.8142653819713086,-3.8142653819713086,3105.0,20
2023,oracle_mpc,-3.952749154261235,0.06323363625186665,-3.9536896284352077,-3.9830567352859205,-3.931640085601487,3521.6,20
2023,nn_mpc,-4.232129425550814,1.955010917685891,-4.498752613870181,-5.826442785958214,-3.00173830547079,4110.75,20
2023,sac,-5.049342397894678,1.2036239747180628,-4.810468401954455,-5.490647337778256,-4.417933219470865,1733.8,20
