metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,dagger_iteration,aggregate_rows,condition_number,nonzero_coefficients
one_step,1,t_in,1.482154200554897,1.089218672936284,0.7613806659718113,,,0,5760,78.78995449639699,49
one_step,1,co2,75.55834223155567,56.79570349684887,0.8152099150447195,,,0,5760,78.78995449639699,49
one_step,1,rh,3.718027024048901,2.531941000305096,0.6799515334329002,,,0,5760,78.78995449639699,49
rollout,4,t_in,2.13396269071507,1.6561898141507438,,0.0,20.0,0,5760,78.78995449639699,49
rollout,4,co2,103.03137623214947,82.1466447685385,,0.0,20.0,0,5760,78.78995449639699,49
rollout,4,rh,4.8355395501383915,3.36950883927296,,0.0,20.0,0,5760,78.78995449639699,49
rollout,20,t_in,2.7861316099606737,2.0955282995032696,,0.0,20.0,0,5760,78.78995449639699,49
rollout,20,co2,162.0620443248942,122.29812056042745,,0.0,20.0,0,5760,78.78995449639699,49
rollout,20,rh,7.513196575450357,4.573557189155987,,0.0,20.0,0,5760,78.78995449639699,49
rollout,96,t_in,32.48333504521924,6.752543498374038,,6.0,20.0,0,5760,78.78995449639699,49
rollout,96,co2,595.2302021351971,204.39420382504423,,6.0,20.0,0,5760,78.78995449639699,49
rollout,96,rh,160.76988648902525,29.826931609484863,,6.0,20.0,0,5760,78.78995449639699,49
one_step,1,t_in,1.5125741814510134,1.0783672983677715,0.7514852233146366,,,1,6240,77.78271003018496,48
one_step,1,co2,75.7322195648556,56.291911866673736,0.8143584464583137,,,1,6240,77.78271003018496,48
one_step,1,rh,3.7627450115740517,2.5249837364810577,0.6722065706071382,,,1,6240,77.78271003018496,48
rollout,4,t_in,2.389639004388743,1.8040580951430722,,0.0,20.0,1,6240,77.78271003018496,48
rollout,4,co2,102.5365651156583,79.42714980170842,,0.0,20.0,1,6240,77.78271003018496,48
rollout,4,rh,5.049499876661798,3.682991195231831,,0.0,20.0,1,6240,77.78271003018496,48
rollout,20,t_in,24.961981278434877,5.642944348993779,,1.0,20.0,1,6240,77.78271003018496,48
rollout,20,co2,279.55539692776796,150.16102113551705,,1.0,20.0,1,6240,77.78271003018496,48
rollout,20,rh,113.32056961022981,19.72300122054728,,1.0,20.0,1,6240,77.78271003018496,48
rollout,96,t_in,35.08317751949183,8.244988465879056,,9.0,20.0,1,6240,77.78271003018496,48
rollout,96,co2,530.7368218564887,213.00980181540564,,9.0,20.0,1,6240,77.78271003018496,48
rollout,96,rh,146.56273604285352,31.238932275108155,,9.0,20.0,1,6240,77.78271003018496,48
one_step,1,t_in,1.5145370571341894,1.071866971493116,0.7508398068706138,,,2,6720,73.22803677906658,50
one_step,1,co2,75.85194083059075,56.13841919897671,0.8137710396907428,,,2,6720,73.22803677906658,50
one_step,1,rh,3.7756748099549156,2.5246633321518175,0.669949928229884,,,2,6720,73.22803677906658,50
rollout,4,t_in,2.464407699160214,1.8647730887345424,,0.0,20.0,2,6720,73.22803677906658,50
rollout,4,co2,97.58200463520883,76.34969448210552,,0.0,20.0,2,6720,73.22803677906658,50
rollout,4,rh,5.106024803280871,3.700596694577173,,0.0,20.0,2,6720,73.22803677906658,50
rollout,20,t_in,227.00045773287857,17.16373423855583,,1.0,20.0,2,6720,73.22803677906658,50
rollout,20,co2,7659.048857527941,558.2887274435967,,1.0,20.0,2,6720,73.22803677906658,50
rollout,20,rh,406.9058428579364,38.865788425827304,,1.0,20.0,2,6720,73.22803677906658,50
rollout,96,t_in,124.90669551853395,12.674577798459365,,10.0,20.0,2,6720,73.22803677906658,50
rollout,96,co2,4063.7174524370694,349.2045730121222,,10.0,20.0,2,6720,73.22803677906658,50
rollout,96,rh,283.77006932090626,44.947269601742285,,10.0,20.0,2,6720,73.22803677906658,50
one_step,1,t_in,1.5156782087175948,1.0769105393249063,0.7504641981473549,,,3,7200,71.42717390587984,50
one_step,1,co2,75.99110054105986,56.24801997756888,0.8130870930293527,,,3,7200,71.42717390587984,50
one_step,1,rh,3.798253383138056,2.524566541433039,0.6659907199973956,,,3,7200,71.42717390587984,50
rollout,4,t_in,2.5604430233474442,1.91431814311752,,0.0,20.0,3,7200,71.42717390587984,50
rollout,4,co2,95.68918509727398,74.12485948077703,,0.0,20.0,3,7200,71.42717390587984,50
rollout,4,rh,5.233625263794809,3.7931119755466285,,0.0,20.0,3,7200,71.42717390587984,50
rollout,20,t_in,24.10601903191173,5.856323964108211,,1.0,20.0,3,7200,71.42717390587984,50
rollout,20,co2,301.56925012156177,154.43162066693105,,1.0,20.0,3,7200,71.42717390587984,50
rollout,20,rh,116.71404830669248,19.99161676865393,,1.0,20.0,3,7200,71.42717390587984,50
rollout,96,t_in,57.677904203491835,9.903217973224232,,10.0,20.0,3,7200,71.42717390587984,50
rollout,96,co2,1971.159916545547,272.31254186974706,,10.0,20.0,3,7200,71.42717390587984,50
rollout,96,rh,170.05361019232527,34.68067275047632,,10.0,20.0,3,7200,71.42717390587984,50
