method,baseline,metric,n_pairs,mean_diff,ci_low,ci_high,cohen_d,p_value,p_holm,significant
grey_box_mpc,sindy_mpc,epi,10,3.0685559806699345,0.21081856765611431,5.844213974770658,0.6230010909759545,0.048828125,0.244140625,False
nn_mpc,sindy_mpc,epi,10,-2.8020461556348124,-7.362463924501633,1.1785348836171616,-0.3795956247354088,0.556640625,1.0,False
oracle_mpc,sindy_mpc,epi,2,6.54026758634033,5.680478481124114,7.400056691556546,5.378839453785617,0.5,1.0,False
ppo,sindy_mpc,epi,3,-9.74430783784843,-11.90408512729043,-8.25181850470456,-5.087376073557435,0.25,0.75,False
rule_based,sindy_mpc,epi,10,3.8728545829296275,0.7777602860443896,6.707993484120898,0.7745936049551067,0.048828125,0.244140625,False
