train,2020:03-01,2021:03-01,2021:07-01,2022:10-01,2023:01-01
2019:03-01,0.8860542248806629,-0.0782569687151206,-0.2929938257011545,0.15312120873240673,-4.366659306570381
2019:07-01,-0.19264156643027353,-3.0606567462828047,-0.019971222691237998,0.3119935600591158,-4.164211916616159
