ood,violation
8.822852850312907,1
8.782136792485801,1
8.780972696230767,1
8.78451396149189,1
8.793364787030763,1
8.808090014275725,1
8.817435587006061,1
8.833765743303674,1
8.85752749854187,1
8.88897042459901,1
8.881476654498277,1
8.882704776476224,1
8.892709985274488,1
8.911778685679312,1
8.974369498523416,1
9.045218258531866,1
9.1241184524391,1
9.210453394152742,1
9.186929551401118,1
9.168925666781622,1
9.154860762468255,1
9.143591111000873,1
9.025698647578812,1
8.910813633508305,1
8.797791834468269,1
8.687124856049,1
8.640719720822387,1
8.596851939993353,1
8.556118001345876,1
8.51894321796438,1
8.499130901293745,1
8.480704672980362,1
8.464032754139527,1
8.449214716461428,1
8.422623927231857,1
8.395769383458022,1
8.368740288946945,1
8.341796686414243,1
8.32366319671669,1
8.30354747948223,1
8.281599820700963,1
8.257563324546242,1
8.212940842939993,1
8.166175460037415,1
8.116445584858617,1
8.063577249901904,1
7.9813885086058916,1
7.897530057951809,1
7.810745148539149,1
7.721622461715851,1
7.650567464238224,1
7.578011963022875,1
7.5031310435881355,1
7.4262389599871454,1
7.44374910390857,1
7.456816625473942,1
7.467828537892694,1
7.478992550423323,1
7.613775020022536,1
7.7420017272002335,1
7.866324130739834,1
7.984462015429279,1
8.022295798236348,1
8.057939640948224,1
8.090940505192089,1
8.121766974991845,1
8.146555926350473,1
8.174776863018911,1
8.205980921795687,1
8.23894013330451,1
8.240391904195263,1
8.24487272307947,1
8.251764611259576,1
8.259504380677926,1
8.234838759810394,1
8.212342406092198,1
8.191356037033474,1
8.172020304667445,1
8.165362833722753,1
8.159177453778954,1
8.15346150593216,1
8.145265853074946,1
8.092720142813514,1
8.040102690797392,1
7.987275258766245,1
7.934376041536228,1
7.893091339630925,1
7.8509804630824,1
7.808599725823747,1
7.766098459921137,1
7.723696437762271,1
7.681685175756482,1
7.640427723826377,1
7.599304856725684,1
7.536956790116198,1
7.477317131717621,1
7.420498417641082,1
7.368573343853632,1
7.355723053961337,1
7.346789890028791,1
7.343500322422173,1
7.34654393260629,1
7.356575146031962,1
7.374195280712657,1
7.399934969868863,1
7.436158229457022,1
7.527640761617452,1
7.626370672030719,1
7.733954094915607,1
7.844552466490767,1
7.888504697038188,1
7.942111499721787,1
8.004516292052239,1
8.074293523592107,1
8.131323289774736,1
8.193333136456097,1
8.259246640118743,1
8.323140407019741,1
8.27743507639042,1
8.237031072742262,1
8.197293248344028,1
8.154571190735204,1
8.05789354547137,1
7.9622091443862635,1
7.865740465085595,1
7.765359660793558,1
7.619391198456703,1
7.473000941210628,1
7.324920575858965,1
7.178781162209944,1
7.082673035621049,1
6.982200642958497,1
6.878210195531481,1
6.769607487433762,1
6.655524974584331,1
6.540748122011525,1
6.4264900509656915,1
6.315424379289881,1
6.2296828756263025,1
6.13910212447595,1
6.044997624861535,1
5.949597353710949,1
5.84787274253079,1
5.746405879708788,1
5.642545796699592,1
5.547343397325588,1
5.595604990445365,1
5.63449516004357,1
5.668062825522177,1
5.702759468221425,1
5.822763236538349,1
5.935112387973383,1
6.0428466855084135,1
6.154047593178578,1
6.359544277777446,1
6.557527213225888,1
6.751211295514525,1
6.924783637361847,1
6.945742450067423,1
6.966399466797015,1
6.984900629636943,1
6.992863906857319,1
6.928866901260427,1
6.868378075925428,1
6.810983439292404,1
6.756632776901929,1
6.70566624717369,1
6.658025461453152,1
6.613651337953911,1
6.584140958796485,1
6.704371954948065,1
6.821156571465527,1
6.940454180315745,1
7.04706168156924,1
7.0392147512732315,1
7.033717926577657,1
7.0288992092677445,1
7.003953968727763,1
6.756895716886366,1
6.519789243299669,1
6.283375098554735,1
6.0732613420332004,1
6.046062705431938,1
6.016977836204903,1
5.987155045317858,1
5.961139756847279,1
5.978009747040435,1
5.993197752212615,1
6.00881365757822,1
6.0179784082001815,1
5.977834042558944,1
5.940157667967721,1
5.905280954633177,1
5.872390842918125,1
5.833899924994921,1
5.8006855066972784,1
5.773638414064248,1
5.762376032190306,1
5.847616962566262,1
5.93691080843998,1
6.035173951802531,1
6.1349073539477095,1
6.1933817867893195,1
6.262594518783572,1
6.341864148499894,1
6.433841599225303,1
6.555817672203655,1
6.686194187846602,1
6.824988165694566,1
6.949825625462997,1
6.911751618565505,1
6.88434711426678,1
6.861133914148997,1
6.824598939421789,1
6.664411897299441,1
6.509777365828985,1
6.356222339844055,1
6.206564511543839,1
6.077832759060759,1
5.949992528902827,1
5.82375494170507,1
5.70437934785464,1
5.617495603311492,1
5.530981398588653,1
5.446074686262592,1
5.360396705333431,1
5.257035973352109,1
5.1526048097383255,1
5.047335649669401,1
4.945250145618162,1
4.864781764438445,1
4.78156697147122,1
4.6963759919481785,1
4.617475731534768,1
4.578796852111719,1
4.536887237670308,1
4.491694863326473,1
4.427494157276091,1
4.264471724679267,1
4.10410645068674,1
3.9427099624174478,1
3.801493396008847,1
3.7660565668589037,1
3.7308878200498885,1
3.6954038424122113,1
3.6767537649544204,1
3.77103162511304,1
3.8594182421770915,1
3.9456704951620387,1
4.0148700424196235,1
4.010221543233137,1
4.007013761268373,1
4.0046638460946475,1
4.045137428578996,1
4.358128674906513,1
4.6828387526787845,1
5.02474176590168,1
5.326315254117711,1
5.380547021073383,1
5.4465061275475115,1
5.520885240491422,1
5.5716679494894965,1
5.490848503663343,1
5.414318371240395,1
5.342091763352826,1
5.282943096848969,1
5.278523253035971,1
5.276009936569146,1
5.276901447728709,1
5.2961343562162275,1
5.396799938902456,1
5.496793763877926,1
5.597756971659855,1
5.699133535126673,1
5.800466152048298,1
5.901398624323397,1
6.0016775410419,1
6.059910515106468,1
5.9372950380256135,1
5.816293690799169,1
5.694868896118933,1
5.596466152804358,1
5.601749651071205,1
5.605049866128019,1
5.6086260778978705,1
5.608598331946368,1
5.5911513019750485,1
5.576047225964681,1
5.5637922153566794,1
5.543933233895654,1
5.481296768580818,1
5.42470509321533,1
5.3744448960209095,1
5.346822683034799,1
5.3946907978405525,1
5.449735946840131,1
5.514193770308497,1
5.590768107653478,1
5.6868057144035795,1
5.792807595345611,1
5.908881725805032,1
6.030205990075402,1
6.143111781524865,1
6.265608308521959,1
6.396860881341638,1
6.50381284099312,1
6.483604018380588,1
6.470669852562011,1
6.461337178021838,1
6.438735157876479,1
6.354300397577049,1
6.272361040535873,1
6.191453913346887,1
6.102202780576611,1
5.9784412599537315,1
5.855332532535745,1
5.732300032458887,1
5.611818687454787,1
5.499259900308457,1
5.384920909276862,1
5.26893592999312,1
5.154185280929853,1
5.047344555974824,1
4.937977232763065,1
4.826441109023647,1
4.725532300226847,1
4.667141725904365,1
4.6044243809850345,1
4.537804438109756,1
4.474312643192738,1
4.431706235325118,1
4.383959412177113,1
4.331016993045057,1
4.277950817658563,1
4.238459472833928,1
4.195777071740799,1
4.14909595781974,1
4.113845947574842,1
4.127899172434185,1
4.13596696793172,1
4.138373499973971,1
4.153518897606226,1
4.22511263430032,1
4.289801548442734,1
4.348491615234026,1
4.405682313171096,1
4.471335270516264,1
4.530900149998076,1
4.585250773816311,1
4.624498735044805,1
4.628261649528057,1
4.629702077619805,1
4.62901692931836,1
4.615704655644189,1
4.572626172608055,1
4.536808392872722,1
4.508279734632851,1
4.484538889961724,1
4.46016688600049,1
4.442940302505311,1
4.432491047671185,1
4.436850434026184,1
4.472766034482533,1
4.513799325870728,1
4.559358931254733,1
4.5998094791536,1
4.617509439060373,1
4.6374596126083665,1
4.658799244944281,1
4.677944506956316,1
4.688829508105011,1
4.699481814127559,1
4.709426236454388,1
4.718341326798405,1
4.726010443692784,1
4.732329224449419,1
4.737309062651141,1
4.7410830110749975,1
4.743905492148818,1
4.746152515528173,1
4.7483170423564225,1
4.741845366550683,1
4.711820152821654,1
4.683540484467996,1
4.658112755795485,1
4.6578406378135115,1
4.7213283160574795,1
4.790395505843951,1
4.866461612666211,1
4.940829003405792,1
4.998641156206698,1
5.065754292307807,1
5.142625448692598,1
5.220101679147909,1
5.283466921911814,1
5.357809605347651,1
5.443049204124584,1
5.53272690621883,1
