method,epi,viol,n,gap_recovered
dagger,-0.058342015168292814,44.65,20,1.602059407042891
ekf_sindy,-0.7382866407460023,258.8,20,0.7465337520302109
offline,-1.331607962592021,438.5,20,
retrained_ceiling,-0.5368397150312488,85.4,20,
rule_based,0.1893824244151263,1143.0,20,
