method,baseline,metric,n_pairs,mean_diff,ci_low,ci_high,cohen_d,p_value,p_holm,significant
grey_box_mpc,rule_based,epi,10,-0.8042986022596915,-1.252172208444532,-0.36635417524143876,-1.049555764848826,0.013671875,0.041015625,True
ppo,rule_based,epi,10,-0.8359721451013474,-1.5160559149389068,-0.16043292841730056,-0.7236602338228248,0.064453125,0.064453125,False
sac,rule_based,epi,10,-7.054320784024211,-7.752050607206635,-6.351335550413365,-5.7096381814081445,0.001953125,0.0078125,True
sindy_mpc,rule_based,epi,10,-3.829901064459405,-5.792325707667165,-1.4882452516419118,-1.0144637455403813,0.013671875,0.041015625,True
