method,epi_mean,epi_std,viol_mean,n,gap_recovered_pct,recovery_vs_rulebased_pct
rule_based,2.880190902182911,2.020360745230965,1351.0,9,,100.0
dagger_final,0.18703910376482238,0.5899008382052843,114.0,9,,28.2
ekf_sindy,-0.5976494142176891,1.0037237583647474,364.77777777777777,9,,7.3
offline,-0.8695476860075441,0.6540381230117601,631.6666666666666,9,,0.0
retrained_ceiling,-1.6157912563545378,5.518661603188322,296.44444444444446,9,,-19.9
