method,epi,epi_std,viol,scaled_pen,Tcorr,n,dominated_by,on_frontier
sindy_mpc_conf_dagger,5.983465280819015,2.1282475571921706,4627.4,697.8866769193013,63.82291666666667,10,,True
rule_based,4.6464599079955935,0.0,2450.0,485.1075890858968,95.29513888888889,10,,True
sindy_mpc_dense,3.8901404647432294,0.7943813369617233,5861.7,1127.1132849718983,63.574618874875696,10,sindy_mpc_conf_dagger,False
grey_box_mpc,3.842161305735902,0.7663228855443331,5869.9,1128.0828485506947,63.55628164270862,10,sindy_mpc_conf_dagger,False
ppo,3.810487762894246,1.155199783031461,1787.9,335.8115422543589,86.00347222222221,10,,True
sindy_mpc_dense_dagger,3.7938702652967407,1.6157110061784152,4789.5,669.4605725483195,65.93711717973058,10,sindy_mpc_conf_dagger,False
sindy_mpc (confirmatory),0.8165588435361884,3.775296141724899,5746.6,986.9159921668243,49.34375,10,sindy_mpc_conf_dagger,False
sac,-2.407860876028616,1.2355110008527237,1682.5,179.01163552546183,81.77256944444444,10,,True
