steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,secs,regen_id,config_hash,git_sha,image
5760,9.200106630367205,16.38824955937846,7.1881429290112555,4.683817389390663,2.2714716619213227,0.23285387769926869,665772.63834975,52.04241543767404,0.7761795923308956,7.571572206404409,64.44444444444444,2048,1878.7535400390625,100.0,0,0.0,64.89583333333333,2022,4102.479747772217,4070,1601.3050912684498,26.764813486113688,1682.5716009428743,1309.7187261403162,0,5760,1.0,False,False,complete,sindy_mpc_raw,0,2020,0.06797582117455585,2718592257,20,100,102.8,regen-v2,637c6b535a9e,8ac4b0b,local
5760,-1.5025410465375915,7.8024985714820785,9.30503961801967,6.620300446471065,1.6525111904620893,1.0322279810865154,316976.50446645945,73.5588938496785,3.4407599369550512,5.508370634873631,73.47222222222223,1528,1001.0509433746338,99.86111111111111,8,580.896728515625,50.50347222222222,2851,6297.536933898926,4387,2263.35057975487,118.64689441377195,1224.0823632619185,1199.0671809985797,0,5760,1.0,False,False,complete,sindy_mpc_raw,0,2021,0.06797582117455585,2718592257,20,100,74.2,regen-v2,637c6b535a9e,8ac4b0b,local
5760,5.71578489893722,15.194622955985276,9.478838057048055,5.726791685128889,2.214844626806443,1.5372017451127225,617281.5575869018,63.63101872365433,5.124005817042408,7.382815422688144,78.35069444444444,1247,1019.2067413330078,99.96527777777777,2,5.12188720703125,58.92361111111111,2366,5198.911022186279,3615,1957.8774988856385,176.68985555984005,1640.6256489025943,1207.8763711088964,0,5760,1.0,False,False,complete,sindy_mpc_raw,0,2022,0.06797582117455585,2718592257,20,100,86.4,regen-v2,637c6b535a9e,8ac4b0b,local
5760,5.113259189418134,12.786307413814075,7.6730482243959415,5.045139035767877,2.4717559092397243,0.15615327938834087,519443.73868619686,56.05710039742086,0.5205109312944696,8.239186364132415,70.26041666666667,1713,1262.9717350006104,100.0,0,0.0,49.91319444444444,2885,5522.428955078125,4598,1724.833857824779,17.948652698066265,1830.9303047805802,1591.0669825642021,0,5760,1.0,False,False,complete,sindy_mpc_raw,0,2023,0.06797582117455585,2718592257,20,100,79.6,regen-v2,637c6b535a9e,8ac4b0b,local
5760,9.149700759904785,16.380106136424654,7.230405376519871,4.709194358375644,2.2790381251927885,0.2421728929514379,665441.8117922517,52.32438175972938,0.807242976504793,7.596793750642629,65.10416666666666,2010,1821.9320831298828,100.0,0,0.0,65.12152777777777,2009,4064.3632736206055,4019,1609.9809771201208,27.83596472615998,1688.1763894354422,1306.3833353466512,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2020,0.0676580951160888,424235230,20,100,90.3,regen-v2,637c6b535a9e,8ac4b0b,local
5760,-1.5259073165643025,7.805757213060836,9.33166452962514,6.637752976853003,1.6543076491666275,1.0396039036055094,317108.8867805965,73.75281085392226,3.465346345351698,5.514358830555425,73.99305555555556,1498,956.4613800048828,99.94791666666667,3,81.622802734375,50.86805555555556,2830,6271.559547424316,4331,2269.317258947535,119.49470175897065,1225.4130734589853,1195.4557072198186,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2021,0.0676580951160888,424235230,20,100,80.9,regen-v2,637c6b535a9e,8ac4b0b,local
5760,5.6715314529866205,15.195168856015314,9.523637403028694,5.740799997996808,2.221511307690829,1.5613260973410563,617303.7347756221,63.78666664440898,5.204420324470188,7.405037692302763,78.55902777777779,1235,998.219165802002,99.96527777777777,2,6.480804443359375,59.201388888888886,2350,5186.999485015869,3587,1962.6666664171694,179.46276959653923,1645.563930991368,1203.3126994331042,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2022,0.0676580951160888,424235230,20,100,96.8,regen-v2,637c6b535a9e,8ac4b0b,local
5760,5.069272617155612,12.774919729709891,7.70564711255428,5.0716627506276915,2.47521630255127,0.15876805937531913,518981.11401946435,56.351808340307684,0.5292268645843972,8.250721008504234,70.85069444444444,1679,1216.8514728546143,100.0,0,0.0,50.39930555555555,2857,5442.653114318848,4536,1733.9017939070013,18.249202208762277,1833.4935578576903,1585.8624994225008,0,5760,1.0,False,False,complete,sindy_mpc_raw_ens,0,2023,0.0676580951160888,424235230,20,100,82.3,regen-v2,637c6b535a9e,8ac4b0b,local
5760,2.816825574379182,10.435315804040947,7.618490229661765,4.085455393746176,3.5190417624034414,0.01399307351214811,423934.7045391635,45.393948819401956,0.04664357837382704,11.730139208011472,44.392361111111114,3203,6480.451746463776,84.39236111111111,899,1045675.3865966797,60.65972222222222,2266,4462.792102813721,6368,1396.736886272356,1.6083992673135743,2606.697601192697,1512.856913873391,0,5760,1.0,False,False,complete,sindy_mpc_raw,1,2020,0.0,1446536409,20,100,67.4,regen-v2,637c6b535a9e,8ac4b0b,local
5760,-2.5186821127318404,6.543434659180618,9.062116771912459,5.532062805425369,3.3896364607023854,0.14041750578470527,265827.0330292126,61.467364504726326,0.46805835261568424,11.298788202341285,48.40277777777778,2972,6301.719058513641,73.00347222222221,1555,2004216.4200439453,39.513888888888886,3484,6860.453742980957,8011,1891.3035222755452,16.139943237779182,2510.841821810488,1358.8583760616502,0,5760,1.0,False,False,complete,sindy_mpc_raw,1,2021,0.0,1446536409,20,100,68.3,regen-v2,637c6b535a9e,8ac4b0b,local
