steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,mode,seed,test_year,secs,regen_id,config_hash,git_sha,image
5760,-4.69510176019647,8.901243947907155,13.596345708103623,5.63373138163739,4.920035352174729,3.0425789742915046,361613.0353837281,62.59701535152656,10.141929914305017,16.400117840582432,57.58680555555556,2443,3160.244310855865,51.49305555555556,2794,4420271.696166992,30.850694444444443,3983,9216.466773986816,9220,1926.0620109826143,349.721721448036,3644.470629295181,1247.7428489188533,0,5760,1.0,False,adapt,static,static,0,2021,81.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.5965071995860898,4.340829339014043,7.937336538600133,6.586057397748936,0.0090245764157314,1.342254564435464,176346.19189744547,73.17841553054375,4.474181881451547,0.0300819213857716,69.47916666666667,1758,2892.9323959350586,84.32291666666667,903,78943.41958618164,52.1875,2754,11602.284065246582,5415,2251.64355525023,154.28213379008915,6.684871401202351,480.3709058682908,0,5760,1.0,False,adapt,dagger,dagger,0,2021,76.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-4.008353565664408,6.055056294312215,10.063409859976622,6.865749722361031,2.233860939197638,0.9637991984179538,245986.66195643373,76.28610802623368,3.2126639947265128,7.446203130658793,91.73611111111111,476,284.8269052505493,84.63541666666666,885,1254184.4051513672,55.607638888888886,2557,3080.845031738281,3918,2347.264863061438,110.78151722092268,1654.711807805421,722.3511747191227,0,5760,1.0,False,adapt,ekf,ekf,0,2021,78.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-4.300289828885849,10.922258690735116,15.222548519620965,4.416293204077917,4.840572280198841,5.965683035344208,443716.7593111141,49.06992448975464,19.88561011781403,16.135240933996137,57.65625,2439,3727.294111251831,58.87152777777778,2369,7020321.737915039,41.68402777777778,3359,9700.062618255615,8167,1509.8438303467822,685.7106945058662,3585.6090938202706,1235.6428645276374,0,5760,1.0,False,adapt,static,static,0,2022,82.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.8488179603044808,5.762717676444922,7.611535636749403,5.804375562022146,0.0197228713144018,1.7874372034128552,234110.40560557492,64.49306180024607,5.958124011376184,0.0657429043813394,76.00694444444444,1382,3384.2750883102417,72.25694444444444,1598,173628.43328857422,52.77777777777778,2720,10914.328464508057,5700,1984.401901951133,205.45255226578035,14.60953423306103,496.44991398764233,0,5760,1.0,False,adapt,dagger,dagger,0,2022,85.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
4458,-5.889088765348791,4.562408192904371,10.451496958253164,5.4314316032399645,2.9327258525422675,2.0873395024709303,185347.83283674013,60.34924003599961,6.957798341569768,9.77575284180756,83.17631224764467,750,518.5060510635376,56.50515926424406,1939,3703209.7401123047,68.52848811126066,1403,1614.9583053588867,4092,1856.8996934579216,239.92408064086624,2172.3895196984668,484.3342061451378,0,5760,0.774,True,adapt,ekf,ekf,0,2022,62.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,2.3235633735789354,13.023637812714366,10.700074439135427,4.675653197709218,5.38072044402322,0.6437007974029906,529085.2861415211,51.9517021967691,2.145669324676635,17.935734813410736,60.10416666666667,2298,2465.307985305786,71.00694444444444,1670,1342622.0061035156,41.57986111111111,3365,6964.14298248291,7333,1598.5139138664126,73.98859732723416,3985.718846998292,1641.8139266299067,0,5760,1.0,False,adapt,static,static,0,2023,83.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.722253886464577,4.452503071985673,6.174756958450249,5.313257322660856,0.0065787498882166,0.8549208859011763,180882.93729941797,59.03619247400952,2.8497362863372544,0.0219291662940556,75.71180555555556,1399,2878.142335891724,83.00347222222221,979,81000.80964660645,46.49305555555556,3082,14345.398448944092,5460,1816.4982315914956,98.26676847466231,4.873148014923599,638.4906507516528,0,5760,1.0,False,adapt,dagger,dagger,0,2023,78.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.765938210703765,7.092995030342089,8.858933241045856,5.815184754107264,2.1136556231213683,0.9300928638172218,288152.9231076474,64.61316393452516,3.100309546057406,7.045518743737895,97.82986111111111,125,115.20444965362547,94.0972222222222,340,859458.259765625,28.88888888888889,4096,8414.757019042969,4561,1988.0973526722212,106.90722596426384,1565.6708309044277,1020.804144657502,0,5760,1.0,False,adapt,ekf,ekf,0,2023,79.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-4.27667970011683,7.377817024095076,11.654496724211908,6.507319644387054,5.016979295470315,0.1301977843545377,299723.8166038625,72.3035516043006,0.4339926145151257,16.723264318234385,62.79513888888889,2143,3499.348277807236,55.88541666666666,2541,2512565.200073242,45.64236111111112,3131,4564.249198913574,7815,2224.724666756761,14.965262542540689,3716.280959696224,1331.5505036301486,0,5760,1.0,False,adapt,static,static,1,2021,72.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-5.269055357222413,7.644895372905429,12.913950730127842,7.012732934756202,5.8809233715354505,0.0202944238361902,310573.87452428305,77.91925483062447,0.0676480794539675,19.60307790511817,76.92708333333333,1329,801.9326786994934,43.36805555555556,3262,3319526.2794189453,53.45486111111111,2681,3985.6303939819336,7272,2397.5155341715267,2.3326923865319404,4356.239534836492,1316.5422558861342,0,5760,1.0,False,adapt,dagger,dagger,1,2021,68.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-10.877863182516007,3.295226430699186,14.173089613215195,6.416554461409739,6.3941761145764815,1.3623590372289758,133868.57374715444,71.29504957121932,4.5411967907632524,21.313920381921605,92.23958333333331,447,307.99587535858154,28.541666666666664,4116,20554031.20397949,71.82291666666667,1623,1922.2296409606931,6186,2193.693832158391,156.59299298897238,4736.426750384142,565.6031239909237,0,5760,1.0,False,adapt,ekf,ekf,1,2021,73.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.609960250086707,8.995449321237878,10.605409571324586,5.655326425846161,4.8520355983184285,0.0980475471599958,365440.1286752888,62.836960287179565,0.3268251571999863,16.173451994394764,63.19444444444444,2120,4132.786604881287,63.78472222222222,2086,1515219.0249023438,60.90277777777777,2252,3154.93692779541,6458,1933.444930609798,11.269833011548238,3594.100443419996,1346.8659296264184,0,5760,1.0,False,adapt,static,static,1,2022,76.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,0.759288000672959,12.478047403261314,11.718759402588356,6.212125165130781,5.506492931593345,0.0001413058642297,506920.6757574909,69.02361294589757,0.0004710195474326,18.354976438644485,82.39583333333333,1014,610.6671409606934,52.15277777777778,2756,2332167.7384033203,61.59722222222223,2212,3472.9101219177246,5982,2123.803476083492,0.016242053572563,4078.8836526717487,1332.6425161133177,0,5760,1.0,False,adapt,dagger,dagger,1,2022,70.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
4459,-5.514350825379054,2.492516475377052,8.006867300756108,5.238256759098098,1.5324816282982183,1.2361289133597906,101258.48181219274,58.20285287886776,4.120429711199302,5.108272094327395,83.51648351648352,735,519.1249480247498,82.12603722807805,797,763453.0983886719,74.05247813411079,1157,1226.5914154052734,2689,1790.8570101388502,142.08378311551635,1135.1715765392332,554.8260245731309,0,5760,0.7741,True,adapt,ekf,ekf,1,2022,54.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.9144038177641898,7.357266080812927,11.271669898577116,5.399519616458581,5.795910712475489,0.0762395696430467,298888.93453302514,59.99466240509535,0.2541318988101557,19.3197023749183,59.375,2340,3186.7772245407104,73.81944444444444,1508,1334802.1827392578,51.78819444444444,2777,4190.640502929688,6625,1845.9896121390705,8.763168967843812,4293.267192622356,1729.562800605899,0,5760,1.0,False,adapt,static,static,1,2023,70.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-4.946661491971196,7.658247823312722,12.60490931528392,5.811903556058521,6.790628206936628,0.0023775522887706,311116.31782207935,64.57670617842801,0.0079251742959022,22.635427356455427,73.36805555555556,1534,1029.013867855072,58.420138888888886,2395,1991536.461303711,53.40277777777778,2684,3847.3934631347656,6613,1986.975574195548,0.2732818863918512,5030.09496782416,1692.529972594673,0,5760,1.0,False,adapt,dagger,dagger,1,2023,67.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5319,-3.88535146220065,3.512278393514181,7.397629855714831,5.282376495135365,1.760508383672179,0.3547449769072868,142686.30973651362,58.69307216817072,1.1824832563576226,5.8683612789072646,98.42075578116189,84,171.54847621917725,87.8924609889077,644,1015856.3468017578,41.41755969167137,3116,5173.606994628906,3844,1805.9406821901684,40.77528476702851,1304.0802842655976,578.6844003366846,0,5760,0.9234,True,adapt,ekf,ekf,1,2023,67.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.1204030723927767,8.030704643544738,11.151107715937512,6.151862619400381,1.7844945280351336,3.214750568501997,326247.3761440049,68.35402910444868,10.715835228339992,5.948315093450446,52.51736111111112,2735,4319.513794660568,99.25347222222224,43,27133.355834960938,54.23611111111111,2636,5902.181259155273,5414,2103.200895205044,369.51155941758697,1321.847798143988,1353.9649324125055,0,5760,1.0,False,adapt,static,static,10,2021,73.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.4615160847497317,8.254284251941616,10.715800336691345,6.06595678800295,1.7299799645828422,2.9198635841055527,335330.2977351281,67.39951986669945,9.732878613685177,5.766599881942808,49.96527777777778,2882,3668.560091972351,99.23611111111111,44,42827.86706542969,45.26041666666666,3153,7408.107666015625,6079,2073.831379597458,335.6165037787322,1281.4666409240544,1316.5348019608284,0,5760,1.0,False,adapt,dagger,dagger,10,2021,82.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.999516124135349,6.997304490360175,9.996820614495526,7.095134306207066,1.6633392477229885,1.2383470605654694,284265.49492088216,78.83482562452295,4.127823535218232,5.544464159076629,91.9965277777778,461,338.69510650634766,94.47916666666669,318,399221.5936279297,50.920138888888886,2827,3408.97029876709,3606,2425.6869410656464,142.3387424644437,1232.1031462861831,904.944854060479,0,5760,1.0,False,adapt,ekf,ekf,10,2021,72.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.653157582151554,10.355955602397382,13.009113184548935,5.106036294693404,2.168255437526412,5.734821452329121,420710.6963473936,56.733736607704486,19.11607150776374,7.227518125088039,53.85416666666667,2658,5087.7771100997925,96.77083333333331,186,150722.37438964844,62.72569444444444,2147,4265.930953979492,4991,1745.6534336536895,659.1748796069672,1606.1151385798944,1309.870758611882,0,5760,1.0,False,adapt,static,static,10,2022,78.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.993864537479661,10.687099208758788,13.680963746238447,5.434523422896364,2.008889375474632,6.237550947867453,434163.4053558257,60.38359358773738,20.79183649289151,6.6962979182487725,58.177083333333336,2409,3222.0320253372192,100.0,0,0.0,60.81597222222223,2257,5302.320960998535,4666,1857.9567253513403,716.9598791167779,1488.0662040976592,1212.1163443947305,0,5760,1.0,False,adapt,dagger,dagger,10,2022,81.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
4450,-2.3855887363749697,8.227061359814279,10.612650096189247,5.593026506622645,4.3294665120473335,0.69015707751927,334224.3677424551,62.14473896247384,2.3005235917309004,14.43155504015778,78.0,979,834.1288070678711,33.39325842696629,2964,6068431.414794922,58.96629213483146,1826,2415.9393615722656,5769,1912.1458149390949,79.32839964025288,3207.012230638857,577.7992091474397,0,5760,0.7726,True,adapt,ekf,ekf,10,2022,56.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.973592260654984,8.279310208909312,10.252902469564296,4.968338587493131,2.2443392334098693,3.040224648661296,336346.9772369408,55.20376208325701,10.13408216220432,7.481130778032898,51.49305555555556,2794,3544.8663454055786,100.0,0,0.0,51.85763888888889,2773,4765.277942657471,5567,1698.5772963022064,349.4511090742847,1662.4735059290056,1687.9268824083083,0,5760,1.0,False,adapt,static,static,10,2023,71.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-0.1425379807711416,8.975329655321081,9.117867636092225,4.399937226658794,2.154396514490224,2.5635338949432045,364622.7672474189,48.88819140731994,8.545112983144016,7.181321714967414,45.03472222222222,3166,4305.077311515808,100.0,0,0.0,42.93402777777778,3287,8364.068454742432,6453,1504.2520429154242,294.6590684891308,1595.8492700839038,1620.8156162652222,0,5760,1.0,False,adapt,dagger,dagger,10,2023,77.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.327012384387619,5.939882074468656,8.266894458856274,5.71321560903505,2.3103923423520434,0.2432865074691811,241307.70927528915,63.480173433722776,0.8109550248972704,7.701307807840145,97.32638888888889,154,213.2078218460083,88.03819444444444,689,1229812.060180664,42.239583333333336,3327,5873.393989562988,4170,1953.2361063996657,27.963966338110936,1711.401735169147,708.1286248193067,0,5760,1.0,False,adapt,ekf,ekf,10,2023,74.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.196610143278595,7.930319887373778,11.126930030652376,6.12446614918222,1.9222185764172048,3.080245305052948,322169.24542455975,68.04962387980245,10.267484350176494,6.407395254724015,51.33680555555556,2803,4593.832168102264,99.35763888888889,37,20610.33251953125,55.12152777777778,2585,5674.260116577148,5425,2093.834580647553,354.0511845061005,1423.865612359387,1335.4539833199967,0,5760,1.0,False,adapt,static,static,11,2021,75.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.24922391172929,8.149862434788453,11.39908634651774,6.873121850233719,1.6955387269944704,2.8304257692895525,331088.1614132809,76.36802055815244,9.434752564298508,5.651795756648235,64.61805555555556,2038,1555.2420721054075,99.20138888888889,46,31468.23547363281,57.72569444444444,2435,4620.907180786133,4519,2349.7852478695286,325.33629540833937,1255.9546120674754,1340.393790330627,0,5760,1.0,False,adapt,dagger,dagger,11,2021,71.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-10.647971625018457,4.402083842372841,15.050055467391296,6.743617406311523,6.395371509659194,1.9110665514205825,178834.65609639668,74.92908229235026,6.370221838068607,21.317905032197316,91.85763888888889,469,389.9121799468994,29.878472222222225,4039,21011990.60791016,56.73611111111111,2492,2935.434970855713,7000,2305.510224175751,219.66282190767467,4737.312228729035,679.6192614512096,0,5760,1.0,False,adapt,ekf,ekf,11,2021,74.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
