steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,secs,regen_id,config_hash,git_sha,image
5760,2.8219665771819757,18.127441049464124,15.305474472282148,7.561240272455836,2.6275155310768925,5.116718668749419,736427.29263448,84.01378080506485,17.055728895831397,8.758385103589642,81.78819444444444,1049,1622.8092727661133,100.0,0,0.0,70.50347222222221,1699,3914.5482025146484,2748,2585.039407888138,588.1285834627485,1946.3078009699182,708.9300858130191,57,5760,1.0,False,oracle_mpc,9,2020,,-1,20,100,7385.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-6.794882463550687,16.785357876874897,23.580240340425583,8.552809341129846,2.485359555448438,12.542071443847298,681905.1637480427,95.03121490144274,41.80690481282433,8.284531851494792,82.63888888888889,1000,1588.7878007888794,100.0,0,0.0,55.86805555555555,2542,5834.6669273376465,3542,2924.037380542769,1441.6174075481986,1841.0070780964643,750.5761770243714,22,5760,1.0,False,oracle_mpc,9,2021,,-1,20,100,7476.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5414,-1.05049127924989,14.89242039981222,15.942911679062108,7.542864652000376,2.2250540193367074,6.174993007725025,605004.5787423714,83.80960724444863,20.583310025750084,7.416846731122359,85.81455485777613,768,1819.1806478500366,99.90764684152198,5,235.75457763671875,64.90579977835242,1900,4588.546607971191,2673,2578.7571443544193,709.7693117444272,1648.1881627051366,682.688339731219,100,5760,0.9399,True,oracle_mpc,9,2022,,-1,20,100,6697.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.9662816919089448,16.440852483534528,20.407134175443474,7.536024965956451,2.775113082009491,10.09599612747753,667909.6321435901,83.73361073284946,33.653320424925106,9.250376940031638,84.96527777777779,866,1169.4256925582886,100.0,0,0.0,54.045138888888886,2647,6569.343204498291,3513,2576.418790851419,1160.4593234872514,2055.639319466418,826.5682132889781,15,5760,1.0,False,oracle_mpc,9,2023,,-1,20,100,6415.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
