steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,lam,seed,test_year,xi_uboil,rng_seed,nonzero,rollout_rmse,regen_id,config_hash,git_sha,image,xi_donor
5760,0.7602083208694363,11.241306360075416,10.481098039205982,4.587561362019972,5.120635356915683,0.7729013202703267,456678.0708780639,50.97290402244414,2.5763377342344222,17.068784523052276,67.30902777777777,1883,1621.3458976745603,51.90972222222222,2770,2790618.8829345703,51.16319444444445,2813,6885.134635925293,7466,1568.3970466495653,88.83923202070592,3793.063226708873,1432.584308235917,0,5760,1.0,False,lambda,lam=1e-06,1e-06,0,2020,0.0392775884691845,3875786502.0,54.0,9.46919921592013,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,0.862010856460663,11.32185305726859,10.459842200807929,4.597240068905768,5.110289078596543,0.7523130533056182,459950.2804515365,51.0804452100641,2.507710177685394,17.03429692865514,67.17013888888889,1891,1629.1347522735596,52.22222222222223,2752,2712459.4477539062,51.61458333333333,2787,6814.064025878906,7430,1571.706006529114,86.47276482411571,3785.3993182086974,1432.2694600850457,0,5760,1.0,False,lambda,lam=0.001,0.001,0,2020,0.0392985992927771,596050374.0,49.0,9.447938403344176,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,5.233810347415937,16.468330285480352,11.234519938064416,4.837921468622813,5.874781629776493,0.5218168396651086,669025.9178476393,53.75468298469793,1.739389465550362,19.58260543258831,66.42361111111111,1934,1474.2307109832764,60.05208333333333,2301,2375977.599975586,62.46527777777777,2162,4135.70219039917,6397,1653.990246364823,59.97894690377758,4351.690095462092,1398.378226412773,0,5760,1.0,False,lambda,lam=0.01,0.01,0,2020,0.0396983539494781,1926287723.0,40.0,9.89050931814383,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,4.835470604315642,16.681047186075226,11.845576581759584,4.683294639430457,6.460012644213999,0.7022692981151291,677667.541934306,52.03660710478286,2.340897660383764,21.533375480713328,67.96875,1845,1412.2800331115725,50.520833333333336,2850,3402486.1939697266,56.40625,2511,5133.782791137695,7206,1601.126372313589,80.72060901972641,4785.194551154119,1360.327762280804,0,5760,1.0,False,lambda,lam=0.02,0.02,0,2020,0.0396983539494781,3988966202.0,38.0,9.766221144775407,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,4.947848879267882,16.825331515922592,11.877482636654712,4.694601187614365,6.498378623675014,0.6845028253653345,683529.0928343554,52.1622354179374,2.281676084551115,21.661262078916717,68.28125,1827,1380.0715637207031,50.15625,2871,3408960.829223633,55.10416666666666,2586,5459.455123901367,7284,1604.991857937311,78.67848578724437,4813.613795765788,1358.1261310960697,0,5760,1.0,False,lambda,lam=0.03,0.03,0,2020,0.0396983539494781,1539248911.0,37.0,9.50228325337749,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,5.688819434667243,16.446251362327583,10.75743192766034,4.270677944732277,5.484361906007978,1.0023920769200838,668128.9615945581,47.45197716369197,3.3413069230669463,18.281206353359927,54.30555555555555,2632,3607.554015159607,59.25347222222223,2347,3101509.099609375,55.59027777777777,2558,6079.195198059082,7537,1460.0608362311918,115.2174799295479,4062.4903005111473,1457.9182127881218,0,5760,1.0,False,lambda,lam=0.04,0.04,0,2020,0.0,2946892129.0,33.0,8.267779325037061,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,8.243049127984797,16.22818176135666,7.98513263337186,4.676208791266255,2.4116267958444046,0.897297046261201,659269.8840551142,51.957875458513946,2.9909901542040034,8.038755986148017,59.06249999999999,2358,2477.29213142395,100.0,0,0.0,62.13541666666666,2181,5040.084571838379,4539,1598.7038603860865,103.13759141930436,1786.39021920096,1456.6702433963137,0,5760,1.0,False,lambda,lam=0.05,0.05,0,2020,0.0,3042305639.0,27.0,9.177739442218488,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,8.732588573912723,16.710508752369442,7.977920178456722,4.59182665923431,2.485546061565302,0.900547457657109,678864.4180650087,51.02029621371456,3.00182485885703,8.285153538551008,56.19791666666667,2523,2698.694418907165,100.0,0,0.0,63.05555555555556,2128,5601.078319549561,4651,1569.8552672881126,103.5112022485633,1841.1452301303752,1350.16249842586,0,5760,1.0,False,lambda,lam=0.06,0.06,0,2020,0.0,118944049.0,26.0,9.177739442218488,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,5.165758725972578,12.889426841214718,7.723668115242139,5.102328623481105,2.621012720205939,0.0003267715550959,523632.9654243479,56.69254026090117,0.0010892385169863,8.73670906735313,59.91319444444444,2309,2713.6879920959477,100.0,0,0.0,69.56597222222223,1753,3972.541233062744,4062,1744.3858533415205,0.0375599499349142,1941.490905158588,1502.089655499862,0,5760,1.0,False,lambda,lam=0.07,0.07,0,2020,0.0,2617197429.0,24.0,9.680835242318732,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,1.8555756127265988,5.126366737954928,3.2707911252283286,0.1674237622359534,2.28952591574034,0.8138414472520351,208258.64872941893,1.8602640248439275,2.7128048241734506,7.6317530524678,30.64236111111111,3995,19615.11395263672,95.26041666666669,273,160496.75134277344,27.96875,4149,27907.39719772339,8417,57.23889309775616,93.54499386983878,1695.9451217124438,1399.675943632113,0,5760,1.0,False,lambda,lam=0.08,0.08,0,2020,0.0,517118076.0,23.0,8.135710308650818,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
