steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,fault,supervisor,seed,test_year,regen_id,config_hash,git_sha,image,onset_step,secs
5760,3.3361816192903633,14.212279642809182,10.87609802351882,4.609319771111483,4.990576413674431,1.2762018387329048,577373.860489123,51.21466412346093,4.254006129109683,16.635254712248102,66.26736111111111,1943,1830.157922744751,60.46875000000001,2277,2876537.4462890625,50.78125,2835,6046.67183303833,7055,1575.8358192700755,146.68986648448458,3696.723268453723,1396.6126134490078,0,5760,1.0,False,faults,nofault,none,False,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,
5760,2.3459324635063705,9.254402799768568,6.908470336262198,1.9464473155736897,4.494595652398065,0.46742736829044296,375960.1137405981,21.62719239526322,1.55809122763481,14.98198550799355,48.19444444444444,2984,11581.624606370926,59.53125,2331,4224172.073974609,29.895833333333332,4038,20988.711837768555,9353,665.4520734675285,53.72728355056469,3329.3301130589953,1228.1733597489983,0,5760,1.0,False,faults,t_in_stuck/raw,t_in_stuck,False,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,77.0
5760,4.254622150983852,17.69045159077848,13.435829439794627,6.7952255349095925,2.879616704934538,3.7609871999504976,718674.5958753758,75.50250594343991,12.536623999834992,9.598722349781793,88.87152777777779,641,649.793399810791,91.25,504,340509.728515625,58.94097222222222,2365,7020.118419647217,3510,2323.1540290226694,432.29737925024773,2133.0494103176643,1086.04780247845,0,5760,1.0,False,faults,t_in_stuck/sup,t_in_stuck,True,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,31.3
5760,3.113477898325279,12.416874649411369,9.30339675108609,3.573251785535427,5.118369133269454,0.6117758322812082,504435.53263233684,39.7027976170603,2.039252774270694,17.061230444231512,51.18055555555555,2812,6486.449781417847,62.77777777777778,2144,2236182.5361328125,42.48263888888889,3313,8444.592140197754,8269,1221.6245417776004,70.31906099330888,3791.3845425047025,1541.0377334085742,0,5760,1.0,False,faults,t_in_offset/raw,t_in_offset,False,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,76.1
5760,4.254622150983852,17.69045159077848,13.435829439794627,6.7952255349095925,2.879616704934538,3.7609871999504976,718674.5958753758,75.50250594343991,12.536623999834992,9.598722349781793,88.87152777777779,641,649.793399810791,91.25,504,340509.728515625,58.94097222222222,2365,7020.118419647217,3510,2323.1540290226694,432.29737925024773,2133.0494103176643,1086.04780247845,0,5760,1.0,False,faults,t_in_offset/sup,t_in_offset,True,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,31.4
5760,3.170785371599822,18.014071344877497,14.843285973277673,2.4179397921898675,4.189162529426163,8.236183651661644,731821.6483856483,26.86599769099853,27.453945505538815,13.963875098087211,60.46875000000001,2277,3209.0786781311035,52.27430555555556,2749,7253838.751953125,27.569444444444446,4172,26356.52914428711,9198,826.646082610805,946.6877756641431,3103.083355225598,893.6967804035432,0,5760,1.0,False,faults,rh_offset/raw,rh_offset,False,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,77.2
5760,4.254622150983852,17.69045159077848,13.435829439794627,6.7952255349095925,2.879616704934538,3.7609871999504976,718674.5958753758,75.50250594343991,12.536623999834992,9.598722349781793,88.87152777777779,641,649.793399810791,91.25,504,340509.728515625,58.94097222222222,2365,7020.118419647217,3510,2323.1540290226694,432.29737925024773,2133.0494103176643,1086.04780247845,0,5760,1.0,False,faults,rh_offset/sup,rh_offset,True,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,31.4
5760,-16.55808865496365,3.951462099186776,20.509550754150425,5.609906319400406,3.1567165031459945,11.742927931604024,160528.14777946277,62.33229243778229,39.14309310534675,10.522388343819982,64.21875,2061,13039.101523399353,19.96527777777778,4610,32406077.69116211,50.208333333333336,2868,9258.296714782715,9539,1917.9166902936172,1349.761830897642,2338.3085215086994,432.4937168912048,0,5760,1.0,False,faults,uVent_dead/raw,uVent_dead,False,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,86.0
5760,-0.013575907869485926,9.259698285918153,9.273274193787639,4.067742141820658,1.5706442484761294,3.634887803490851,376175.24286542495,45.197134909118425,12.116292678302838,5.235480828253765,76.45833333333333,1356,6525.868800163269,89.91319444444444,581,344258.1485595703,37.708333333333336,3588,13771.576923370361,5525,1390.6810741189565,417.8031956521339,1163.4401843345297,433.2599360251071,0,5760,1.0,False,faults,uVent_dead/sup,uVent_dead,True,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,30.9
5760,-4.175239056623217,13.845946322879032,18.02118537950225,13.236861829541528,4.316896181670277,0.46742736829044296,562491.5693669607,147.07624255046142,1.55809122763481,14.389653938900924,89.14930555555556,625,498.2551956176758,69.75694444444444,1742,2281676.268310547,54.91319444444444,2597,10824.313488006592,4964,4525.4228474731535,53.72728355056469,3197.7008758341917,1261.374839626961,0,5760,1.0,False,faults,uBoil_stuck/raw,uBoil_stuck,False,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,76.8
5760,-3.993676022451192,15.783072932419367,19.776748954870556,13.479091616251447,2.8461587174386334,3.4514986211804772,641187.3378795368,149.76768462501607,11.504995403934924,9.487195724795445,89.35763888888889,613,590.7449626922607,91.25,504,340509.728515625,68.80208333333333,1797,8582.370038986206,2914,4608.2364500884805,396.7239793366907,2108.2657156606538,1350.5348130196644,0,5760,1.0,False,faults,uBoil_stuck/sup,uBoil_stuck,True,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,31.8
5760,3.732010994414585,13.847084975460607,10.11507398104602,4.567539509190601,5.080107103564979,0.46742736829044296,562537.8271280872,50.750438991006675,1.55809122763481,16.933690345216597,64.13194444444444,2066,2064.7947006225586,59.72222222222222,2320,3502046.7637939453,55.76388888888889,2548,5506.614562988281,6934,1561.5519700452714,53.72728355056469,3763.042298972416,1386.829690901223,0,5760,1.0,False,faults,uLamp_dead/raw,uLamp_dead,False,10,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,77.4
