steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,secs,regen_id,config_hash,git_sha,image
5760,4.278341312549639,13.83325885241721,9.554917539867573,8.076046764785797,1.4652000472521407,0.013670727829635142,561976.1408794492,89.73385294206442,0.04556909276545048,4.884000157507136,88.36805555555556,670,618.172287940979,100.0,0,0.0,82.65625,999,4229.992584228516,1669,2761.041628986597,1.571348026394844,1085.3333683349192,1647.284222587943,0,5760,1.0,False,ppo,4,2020,,-1,20,100,6.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-0.3667858504438144,11.60557420199855,11.972360052442363,10.250852484341337,1.721507568101026,0.0,471476.4519561911,113.89836093712597,0.0,5.738358560336753,91.90972222222223,466,574.777626991272,100.0,0,0.0,83.97569444444444,923,1443.4288902282715,1389,3504.5649519115686,0.0,1275.1907911859453,1320.4154424965382,0,5760,1.0,False,ppo,4,2021,,-1,20,100,6.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,3.3223069734948925,13.809527420184505,10.487220446689614,8.983716363762506,1.499435156022012,0.004068926905095577,561012.0514449956,99.8190707084723,0.013563089683651924,4.99811718674004,91.66666666666666,480,433.6502323150635,100.0,0,0.0,88.57638888888889,658,1126.2094268798828,1138,3071.356021799147,0.4676927477121353,1110.6927081644535,1628.4481259584427,0,5760,1.0,False,ppo,4,2022,,-1,20,100,6.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,1.1607957653198162,12.055679131846667,10.894883366526848,9.231992493551598,1.6628908729752525,0.0,489761.9647312708,102.57769437279553,0.0,5.542969576584175,91.45833333333333,492,550.3559799194336,100.0,0,0.0,82.30902777777777,1019,1976.6560821533203,1511,3156.23674993217,0.0,1231.7710170187056,1502.5806607436389,0,5760,1.0,False,ppo,4,2023,,-1,20,100,6.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.349549136659374,12.663915994102638,15.01346513076201,10.59616618342325,2.308112497012317,2.1091864503264426,514471.5872604196,117.7351798158139,7.0306215010881425,7.69370832337439,88.15972222222223,682,896.8883743286133,98.68055555555556,76,22600.817260742188,92.30902777777777,443,842.5242347717285,1201,3622.6209174096584,242.4352241754532,1709.7129607498646,2404.3206527233124,0,5760,1.0,False,sac,4,2020,,-1,20,100,6.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-5.732290586534203,8.859286295007108,14.591576881541311,11.592603902457654,1.8732270694524047,1.1257459096312523,359908.5057346638,128.80671002730728,3.752486365437508,6.244090231508016,90.32986111111111,557,719.3513069152832,99.42708333333333,33,2364.9901123046875,82.20486111111111,1025,2230.5669326782227,1615,3963.2833854556084,129.3960815668106,1387.5756070017815,1871.9587848484516,0,5760,1.0,False,sac,4,2021,,-1,20,100,7.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-4.240053672238139,10.972135951002244,15.21218962324038,11.456631853917987,1.7920950835257767,1.9634626857966184,445743.0230094661,127.29590948797764,6.544875619322061,5.973650278419256,88.87152777777779,641,688.9411811828613,98.94097222222223,61,10396.657348632812,92.32638888888889,442,382.7776107788086,1144,3916.797215014696,225.68536618351936,1327.4778396487236,2190.5449532568455,0,5760,1.0,False,sac,4,2022,,-1,20,100,6.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-5.125087306305092,9.364376028314162,14.489463334619254,11.05176400521621,2.4752651256322857,0.9624342037707567,380427.7761502628,122.79737783573567,3.2081140125691894,8.250883752107619,89.18402777777777,623,630.9430546760559,99.39236111111111,35,3893.7646484375,87.93402777777779,695,1278.6030082702637,1353,3778.3808564841747,110.62462112307549,1833.5297226905823,2542.2359696626663,0,5760,1.0,False,sac,4,2023,,-1,20,100,6.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
