steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,mode,seed,test_year,secs,regen_id,config_hash,git_sha,image
5760,-3.76141257215075,8.115463110729735,11.876875682880485,6.313356194375675,1.9531753579645486,3.61034413054026,329690.68887339544,70.14840215972973,12.034480435134201,6.510584526548495,56.25,2520,3879.3224699497223,99.32291666666667,39,18569.430786132812,54.37499999999999,2628,5511.741409301758,5187,2158.41237484079,414.98208396642,1446.7965611898428,1370.821999632863,0,5760,1.0,False,adapt,static,static,12,2021,76.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.859977008364298,8.141308290849587,12.001285299213883,6.892113012110369,1.691945135374769,3.4172271517287456,330740.6493157644,76.57903346789298,11.390757172429153,5.6398171179158965,66.875,1908,1478.3465375900269,99.07986111111111,53,46350.12561035156,55.95486111111111,2537,4643.510940551758,4498,2356.277953336678,392.7847301901629,1253.29269312186,1365.098985574539,0,5760,1.0,False,adapt,dagger,dagger,12,2021,76.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.1645568367722687,11.103199954611847,12.267756791384118,7.27443459095075,4.121398778521905,0.8719234219114619,451067.49815610633,80.82705101056389,2.90641140637154,13.73799592840635,91.31944444444444,500,406.3503112792969,67.95138888888889,1846,2144711.601928711,38.45486111111111,3545,5190.353004455566,5891,2486.9861857993596,100.22108290342746,3052.8879854694633,875.7726648416024,0,5760,1.0,False,adapt,ekf,ekf,12,2021,80.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.390141821393925,10.363297741883832,13.753439563277759,5.237531528110226,2.466030860612004,6.049877174555527,421008.9707640307,58.1947947567803,20.166257248518423,8.22010286870668,55.989583333333336,2535,4795.926902294159,96.80555555555556,184,134597.86059570312,63.66319444444445,2093,3902.1199836730957,4812,1790.609068941887,695.3881809559455,1826.6895271090102,1332.069480386735,0,5760,1.0,False,adapt,static,static,12,2022,81.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,0.3901169993236523,15.360524612123712,14.97040761280006,5.837673493680661,2.042196504385261,7.090537614734137,624021.3123675258,64.86303881867401,23.635125382447125,6.807321681284203,77.08333333333334,1320,1305.3058528900146,100.0,0,0.0,62.04861111111111,2186,4052.4619636535645,3506,1995.785810863333,815.0043232626065,1512.7381511077147,1352.6200757273136,0,5760,1.0,False,adapt,dagger,dagger,12,2022,85.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
4459,-5.097026445881392,3.488769788494393,8.585796234375785,5.4376406645997974,2.086258776958881,1.0618967928171072,141731.27265758472,60.41822960666442,3.5396559760570243,6.954195923196271,76.76609105180535,1036,1187.3884496688843,77.2370486656201,1015,1880905.2807617188,66.85355460865665,1478,1610.7386627197266,3529,1859.0224498143134,122.05710301549504,1545.3768721972183,582.9373022625325,0,5760,0.7741,True,adapt,ekf,ekf,12,2022,60.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.733569664949989,8.580547323360662,11.314116988310653,5.109855090609512,2.6563008006716617,3.5479610970294786,348584.73501152697,56.776167673439026,11.826536990098262,8.854336002238872,55.57291666666667,2559,2988.7107315063477,100.0,0,0.0,53.15972222222223,2698,4587.291885375977,5257,1746.9590047075121,407.8116203005419,1967.6302231873703,1708.7611608710395,0,5760,1.0,False,adapt,static,static,12,2023,74.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,0.12705676415581313,10.559104682721639,10.432047918565825,5.443175353296824,2.1811946756609655,2.8076778896080365,428963.6277355666,60.47972614774249,9.358926298693456,7.2706489188698855,71.31944444444444,1652,1311.7319622039795,100.0,0,0.0,51.09375000000001,2817,4418.789596557617,4469,1860.9146501995758,322.7215964748503,1615.6997602791062,1766.405378968736,0,5760,1.0,False,adapt,dagger,dagger,12,2023,77.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5321,-4.59774395711494,2.969264712076372,7.567008669191311,5.622601357506044,1.7125099861691873,0.2318973255160805,120626.37892810261,62.47334841673382,0.7729910850536017,5.708366620563957,97.08701371922571,155,217.21498775482178,84.77729750046984,810,1531768.44921875,62.16876526968614,2013,3073.256504058838,2978,1922.2568748447034,26.654864931326614,1268.5259165863645,531.2247714070161,0,5760,0.9238,True,adapt,ekf,ekf,12,2023,75.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
