steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,oracle_horizon,seed,test_year,secs,regen_id,config_hash,git_sha,image,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,recipe,xi_uboil,rng_seed,traj_steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,one_step,1.0,co2,101.81884283389839,83.91517515100301,0.6642025945385479,,,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,one_step,1.0,rh,6.428714044665738,4.639544203737977,0.6591398604095922,,,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,4.0,t_in,2.401057740446613,1.974176054668026,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,4.0,co2,137.89543052507167,113.79343322560194,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,4.0,rh,7.586185530556276,6.405527472081397,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,20.0,t_in,2.3930635840129675,2.007118845638667,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,20.0,co2,289.0034325118239,227.59230448725808,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,20.0,rh,7.863354982244793,6.515757615556968,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,t_in,2.493832099317373,2.0396538671776714,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,co2,412.8453310180559,340.07071821942066,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.714974901227682,6.915002935630463,,0.0,20.0,lowthr,0.03580297650185513,3842449293.0,5760.0
