block,condition,seed,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,guard_activations,secs
guard,plain,1,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,0.7766062067036503,12.76813461968445,11.9915284129808,5.381395334716615,6.535538021265455,0.0745950569987297,518705.4689246807,59.79328149685128,0.2486501899957656,21.78512673755152,61.78819444444444,2201.0,2766.284839630127,65.60763888888889,1981.0,1676188.0102539062,54.87847222222222,2599.0,4066.756603240967,6781.0,1839.7932778385252,8.574144488435554,4841.139274779745,1669.935454880221,0.0,5760.0,1.0,False,-1.0,80.8
guard,guarded,1,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.7202675321803986,10.236206118889932,11.956473651070327,5.35688088269091,6.351485512277604,0.2481072561018169,415845.87357990345,59.52089869656567,0.8270241870060563,21.17161837425868,58.87152777777778,2369.0,3715.337254524231,64.28819444444444,2057.0,1718935.087524414,56.14583333333333,2526.0,5965.910377502441,6952.0,1831.4122669089616,28.518075454614703,4704.804082245369,1620.6100882560115,0.0,5760.0,1.0,False,-1.0,76.2
signal,mahalanobis,10,2021,2.8595478900837894,0.2330529449597733,0.0937049961075114,0.6579201234806096,0.5505190580315991,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,10,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-3.1825721891250733,8.055309609401013,11.237881798526086,6.272256761025444,1.802050451086869,3.163574586413773,327246.95288191614,69.6917417891716,10.545248621379244,6.00683483695623,53.02083333333333,2706.0,4227.363169908524,99.39236111111111,35.0,27476.98828125,57.27430555555556,2461.0,5439.944297790527,5202.0,2144.361284283573,363.629262957548,1334.852185957238,1349.9196311340424,0.0,5760.0,1.0,False,-1.0,69.7
guard,guarded,10,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.8229216906796903,7.20230228783892,9.02522397851861,5.8442651561504135,1.5716902363365768,1.6092685860316212,292593.53044345614,64.93627951278238,5.364228620105404,5.238967454455256,44.84375,3177.0,7566.640303850174,98.90625,63.0,13897.047607421877,48.00347222222222,2995.0,13303.932723999023,6235.0,1998.039368858644,184.9734006959366,1164.214990055861,1282.6407093073174,0.0,5760.0,1.0,False,-1.0,69.1
signal,mahalanobis,10,2022,2.8595478900837894,0.2458177188554361,0.1169451069757752,0.7103285380088752,0.5751324442086307,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,10,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.52794476683829,10.52347564165928,13.051420408497568,5.204375397414041,2.165957210934096,5.681087800149434,427516.19794240827,57.82639330460046,18.93695933383145,7.219857369780319,54.49652777777778,2621.0,4857.983375072479,97.41319444444444,149.0,126471.53137207033,65.27777777777779,2000.0,3942.298355102539,4770.0,1779.27363963095,652.9985977132075,1604.412748461163,1306.8379330373614,0.0,5760.0,1.0,False,-1.0,74.1
guard,guarded,10,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5028.0,-0.7820914467390634,7.776196909380308,8.558288356119373,4.932407887064325,1.4960967002209715,2.129783768834076,315907.99944357504,54.8045320784925,7.099279229446921,4.986989000736572,50.1988862370724,2504.0,7437.252073764801,96.99681782020684,151.0,74250.2890625,58.75099443118537,2074.0,8494.699474334717,4729.0,1686.2932958350057,244.8027318908416,1108.2197775180362,961.6334711778172,0.0,5760.0,0.8729,True,-1.0,62.3
signal,mahalanobis,10,2023,2.8595478900837894,0.1229354281817767,0.1413225412518083,0.6005490706797865,0.6010287371106395,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,10,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.937106426611482,8.346597130245712,10.283703556857194,5.04279778279607,2.2717584744842743,2.969147299576849,339080.50841623207,56.03108647551189,9.897157665256165,7.572528248280914,51.51041666666667,2793.0,3701.7991466522217,100.0,0.0,0.0,55.50347222222223,2563.0,4373.145164489746,5356.0,1724.033429904061,341.28129888728216,1682.7840562147812,1666.4875223933586,0.0,5760.0,1.0,False,-1.0,68.5
guard,guarded,10,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.5890080046145778,7.79357781345803,9.382585818072608,5.078170548611544,2.230395904263955,2.0740193651971093,316614.09867173247,56.42411720679493,6.913397883990364,7.434653014213183,48.17708333333333,2985.0,4775.04310131073,99.70486111111111,17.0,7860.4951171875,53.732638888888886,2665.0,6590.260471343994,5667.0,1736.1266841217716,238.3930305160555,1652.1451143954175,1634.892243009519,0.0,5760.0,1.0,False,-1.0,67.5
signal,mahalanobis,11,2021,2.8595478900837894,0.2042779491119125,0.1028898934663553,0.6621898916329025,0.5916759116341886,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,11,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-3.273932471342507,7.979371850722086,11.253304322064594,6.169483301847136,1.9186957486883125,3.165125271529144,324161.9814355848,68.54981446496818,10.550417571763813,6.395652495627709,52.1875,2754.0,4507.218826770783,99.28819444444444,41.0,22443.605834960938,56.21527777777777,2522.0,5537.48258972168,5317.0,2109.225060276829,363.8075024563236,1421.256110058468,1331.7925925854884,0.0,5760.0,1.0,False,-1.0,68.8
guard,guarded,11,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.811829589130002,7.297856365282133,9.109685954412134,5.8978559020758885,1.7123322549068605,1.499497797429386,296475.41483958665,65.53173224528766,4.998325991431287,5.7077741830228685,46.31944444444444,3092.0,7110.5320084095,99.42708333333331,33.0,3449.92333984375,46.66666666666666,3072.0,11121.353416442871,6197.0,2016.3609920435056,172.35606861436224,1268.3942620476305,1333.2642614053489,0.0,5760.0,1.0,False,-1.0,67.3
signal,mahalanobis,11,2022,2.8595478900837894,0.2074179437497302,0.1410353147519754,0.7014882052972323,0.6272251564945226,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,11,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.718583025544372,10.311611859699696,13.030194885244068,5.092274056644076,2.3077285810737047,5.630192247526285,418909.2318003001,56.58082285160084,18.767307491754284,7.692428603579016,52.82986111111111,2717.0,5335.15967798233,97.03125,171.0,136578.63146972656,64.21875,2061.0,3870.822597503662,4949.0,1740.948394907059,647.1485340938907,1709.4285776913755,1265.3265053181638,0.0,5760.0,1.0,False,-1.0,71.4
guard,guarded,11,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5329.0,-0.8617799696811469,8.235009517398668,9.096789487079814,5.043967847891747,1.842469381541272,2.2103522576467967,334547.2616443209,56.04408719879719,7.367840858822656,6.141564605137572,50.440983298930384,2641.0,7828.093180656433,96.82867329705384,169.0,78142.88464355469,57.98461249765434,2239.0,8105.030479431152,5049.0,1724.4334507643011,254.0634779234296,1364.7921343092655,1065.5445266733464,0.0,5760.0,0.9252,True,-1.0,63.7
