steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,lam,seed,test_year,xi_uboil,rng_seed,nonzero,rollout_rmse,regen_id,config_hash,git_sha,image,xi_donor
5760,5.6373127058644705,16.240811326717335,10.603498620852866,4.998005957841027,5.113168376856558,0.4923242861552808,659782.9601478918,55.53339953156697,1.641080953850936,17.043894589521862,66.5625,1926,1961.7341051101685,76.21527777777779,1370,1362433.355834961,64.28819444444444,2057,3955.0563354492188,5353,1708.7199849827607,56.58899829018286,3787.5321308878124,1465.2868663237948,0,5760,1.0,False,lambda,lam=1e-06,1e-06,8,2020,0.03825945352375788,709311943.0,54.0,9.96722135199563,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,5.637037889154138,16.24121565427678,10.60417776512264,4.9979362317210345,5.113241808679526,0.4929997247220792,659799.3859549941,55.532624796900386,1.643332415740264,17.04413936226509,66.5625,1926,1962.0770225524902,76.19791666666667,1371,1362548.7712402344,64.28819444444444,2057,3954.8171463012695,5354,1708.696147678561,56.66663513107968,3787.5865255174804,1465.482585342333,0,5760,1.0,False,lambda,lam=0.001,0.001,8,2020,0.03825945310259772,3518400423.0,50.0,9.955195526184369,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,2.7793792962251764,12.72102497343576,9.941645677210587,4.752622718877267,4.559529354158162,0.629493604175159,516791.6395458279,52.8069190986363,2.0983120139171967,15.198431180527207,66.31944444444444,1940,2200.9293384552,73.73263888888889,1513,1573381.4038085938,56.614583333333336,2499,5506.224067687988,5952,1624.8282800718534,72.35558653295858,3377.429149886116,1476.3499548629436,0,5760,1.0,False,lambda,lam=0.01,0.01,8,2020,0.03818136662861746,452445307.0,42.0,9.735394919136,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,6.1035983945854415,16.58453926325933,10.480940868673887,4.9463716337699,5.100553981306752,0.43401525359723625,673746.9075699103,54.959684819665554,1.4467175119907876,17.00184660435584,67.60416666666667,1866,1847.55575466156,76.21527777777779,1370,1258551.657836914,63.52430555555556,2101,4036.627914428711,5337,1691.0672268330297,49.88681086221897,3778.1881342966144,1459.744156380651,0,5760,1.0,False,lambda,lam=0.02,0.02,8,2020,0.039497554389275887,727393693.0,41.0,9.480181841953687,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,7.346255438485317,16.422087683586764,9.075832245101447,5.110501904456314,3.8745748747792392,0.09075546586589361,667147.3121457122,56.783354493959045,0.30251821955297875,12.915249582597465,66.14583333333334,1950,2050.170883178711,95.19097222222223,277,69664.23425292969,66.68402777777777,1919,3659.9266510009766,4146,1747.1801386570373,10.431662706119122,2870.055462296549,1478.2185544985318,0,5760,1.0,False,lambda,lam=0.03,0.03,8,2020,0.04455220545420264,599935312.0,39.0,9.587518215449164,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,-3.252495198743927,12.176951132368755,15.429446331112683,4.3357622159459375,5.217722527405776,5.875961587760967,494688.63975248067,48.17513573273264,19.586538625869892,17.39240842468592,47.46527777777778,3026,6028.372004508972,65.34722222222223,1996,2692655.1217041016,61.96180555555556,2191,4183.91104888916,7213,1482.311867693316,675.3978836168319,3864.9796493487515,1470.4743739581509,0,5760,1.0,False,lambda,lam=0.04,0.04,8,2020,0.0,829303371.0,31.0,13.74106156174184,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,8.30306627585382,16.209806253704883,7.906739977851061,5.175337741465278,2.7314022363857826,0.0,658523.3790567608,57.50375268294754,0.0,9.104674121285942,54.63541666666667,2613,3577.9500408172607,100.0,0,0.0,79.35763888888889,1189,2730.1238403320312,3802,1769.3462366893352,0.0,2023.260916222211,1544.0462137780255,0,5760,1.0,False,lambda,lam=0.05,0.05,8,2020,0.0,1470657052.0,28.0,14.011669495805073,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,5.783513555666337,13.649116671450335,7.865603115783998,5.124714058894403,2.7407476778921422,0.00014137899745255707,554495.3647776699,56.941267321048926,0.00047126332484185695,9.135825592973807,56.40625,2511,4245.948912143707,100.0,0,0.0,73.68055555555556,1516,3337.1517372131348,4027,1752.0389939460401,0.01625045858945707,2030.1834642455551,1483.0445826093542,0,5760,1.0,False,lambda,lam=0.06,0.06,8,2020,0.0,3358193190.0,26.0,13.979686129338104,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,9.263470670665626,16.50849569273834,7.245025022072712,4.6860299553389,2.5589950667338117,0.0,670657.637517495,52.06699950376556,0.0,8.529983555779372,61.75347222222223,2203,2643.3836030960083,100.0,0,0.0,59.982638888888886,2305,6161.895568847656,4508,1602.0615226448758,0.0,1895.551902227981,1450.1290131113385,0,5760,1.0,False,lambda,lam=0.07,0.07,8,2020,0.0,1615714328.0,21.0,12.98807053607457,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,2.7182913923245597,5.749864225132806,3.031572832808246,0.15015616318923422,2.1468239150726456,0.7345927545463666,233588.23414602026,1.6684018132137137,2.4486425151545554,7.156079716908819,33.05555555555556,3856,18224.780061006546,95.52083333333333,258,147896.275390625,24.930555555555557,4324,32562.822135925293,8438,51.33544038229053,84.43594884625733,1590.239937494008,1455.0052187197814,0,5760,1.0,False,lambda,lam=0.08,0.08,8,2020,0.0,872853176.0,21.0,12.24175235621101,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,2.800490869752549,5.787678927195657,2.987188057443108,0.14571781975063497,2.1246491820296542,0.7168210556628182,235124.45641732356,1.6190868861181664,2.3894035188760605,7.082163940098848,32.72569444444444,3875,18317.009782791138,95.74652777777779,245,133930.95092773438,24.70486111111111,4337,32232.38998413086,8457,49.818057923647146,82.39322476855483,1573.8142093480028,1396.098256871839,0,5760,1.0,False,lambda,lam=0.1,0.1,8,2020,0.0,3225335909.0,19.0,13.78230045964649,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,4.9927485368815985,6.196513798742845,1.2037652618612462,0.16961076581203377,0.2493609172922393,0.7847935787569731,251733.37307392806,1.8845640645781532,2.615978595856577,0.8312030576407977,34.67013888888889,3763,17267.436314105988,91.57986111111111,485,540448.2093658447,22.447916666666668,4467,32936.148277282715,8715,57.98658656746447,90.20615846356915,184.71179074423708,1293.8919193281772,0,5760,1.0,False,lambda,lam=0.15,0.15,8,2020,0.0,2359095066.0,15.0,13.78230045964649,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,-3.2718495024083083,4.282524160452554,7.554373662860863,1.266471385743306,1.3578228403284762,4.930079436789081,173977.54401838503,14.071904286036736,16.43359812263027,4.526076134428254,32.11805555555556,3910,20775.62267291546,69.67013888888889,1747,3774947.8763427734,26.822916666666668,4215,27415.866054534912,9872,432.98167015815983,566.6757973947291,1005.7946969348102,681.8901967238753,0,5760,1.0,False,lambda,lam=0.2,0.2,8,2020,0.0,3017044864.0,10.0,21.367324401383645,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,5.0947698648268975,12.851807816992348,7.757037952165449,5.136910532634037,2.6196128492659643,0.0005145702654495835,522104.6925653141,57.07678369593374,0.0017152342181652785,8.732042830886549,55.104166666666664,2586,4031.465063095093,100.0,0,0.0,73.00347222222221,1555,3019.8372535705566,4141,1756.208728663908,0.059146007692603496,1940.4539619366894,1545.6022032622295,0,5760,1.0,False,knock,baseline,,8,2020,0.0,3702642371.0,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,0.03825945352375788
5760,5.0947698648268975,12.851807816992348,7.757037952165449,5.136910532634037,2.6196128492659643,0.0005145702654495835,522104.6925653141,57.07678369593374,0.0017152342181652785,8.732042830886549,55.104166666666664,2586,4031.465063095093,100.0,0,0.0,73.00347222222221,1555,3019.8372535705566,4141,1756.208728663908,0.059146007692603496,1940.4539619366894,1545.6022032622295,0,5760,1.0,False,knock,knockout,,8,2020,0.0,3702642371.0,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,0.03825945352375788
5760,8.342773171838825,16.077035192323805,7.734262020484977,5.143843052426341,2.5904189680586365,0.0,653129.5546881545,57.15381169362601,0.0,8.634729893528789,61.04166666666667,2244,2746.0016584396362,100.0,0,0.0,70.95486111111111,1673,3096.271884918213,3917,1758.5788214488643,0.0,1918.8288646890346,1564.1448191091538,0,5760,1.0,False,knock,knockin,,8,2020,0.03825945352375788,3702642371.0,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,0.03825945352375788
5760,1.5628371889329977,9.779827028323574,8.216989839390576,5.015517952625515,2.507105376397635,0.6943665103674262,397305.4730256452,55.72797725139462,2.3145550345580874,8.35701792132545,68.05555555555556,1840,2645.5941858291626,77.17013888888889,1315,4679184.668212891,55.71180555555556,2551,7045.898216247559,5706,1714.7069924907798,79.81224266114003,1857.1150928770783,1377.155102669241,0,5760,1.0,False,cross,baseline,,8,2020,0.02200474291416214,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,1.7468758994721045,10.286074993058207,8.539199093586102,4.956334122429725,2.5840395108438416,0.9988254603125366,417871.7965929897,55.07037913810806,3.329418201041789,8.61346503614614,66.5625,1926,2822.030122756958,77.63888888888889,1288,4735761.458740234,55.85069444444445,2543,7148.625617980957,5757,1694.473203913044,114.80752414102612,1914.1033422733944,1384.487084618252,0,5760,1.0,False,cross,ko_uboil,,8,2020,0.0,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,1.7335289074114653,10.317037255944877,8.583508348533412,4.927324353817743,2.611550465640422,1.0446335290752475,419129.63852276065,54.748048375752695,3.4821117635841587,8.705168218801408,66.59722222222221,1924,2788.4819259643555,77.08333333333334,1320,4885379.359863281,55.97222222222222,2536,7165.544464111328,5780,1684.5553355149814,120.07281939870882,1934.4818247110297,1379.9880549553327,0,5760,1.0,False,cross,ko_cross,,8,2020,0.02200474291416214,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
5760,2.8090882459326987,11.246430350302475,8.437342104369776,4.818919104337846,2.667632840980342,0.9507901590515886,456886.23298103805,53.54354560375385,3.169300530171962,8.892109469934473,61.23263888888889,2233,2621.0337133407593,78.50694444444444,1238,4156462.686767578,56.892361111111114,2483,6857.741119384766,5954,1647.4937098984656,109.28622508890221,1976.0243271692416,1384.3567573566952,0,5760,1.0,False,cross,ko_both,,8,2020,0.0,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,
