block,condition,seed,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,guard_activations,secs
signal,mahalanobis,4,2021,2.8595478900837894,0.2105939853083449,0.2017877550201845,0.6709984028983644,0.7099294300812485,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,4,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-6.4089881510457305,6.627923541674116,13.036911692719848,6.310463320792089,6.340837270434892,0.3856111014928669,269259.393880511,70.1162591199121,1.2853703383095565,21.136124234782972,50.10416666666667,2874.0,5752.183197678067,49.39236111111111,2915.0,5269501.3212890625,62.135416666666664,2181.0,3709.6425170898438,7970.0,2157.4233579509983,44.323115233514656,4696.916495898081,1453.6040122137947,0.0,5760.0,1.0,False,-1.0,75.7
guard,guarded,4,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-5.083096542087965,7.511479475663609,12.594576017751574,6.182009455394121,5.947525938868059,0.46504062348939473,305153.85369883414,68.68899394882358,1.5501354116313157,19.82508646289353,47.1875,3042.0,7537.956297159195,51.59722222222223,2788.0,5073923.467895508,54.28819444444445,2633.0,9613.276439666748,8463.0,2113.5075067027888,53.45294528862651,4405.574767588226,1329.096851522036,0.0,5760.0,1.0,False,-1.0,72.9
signal,mahalanobis,4,2022,2.8595478900837894,0.22153904147775544,0.19415580597037777,0.6994412489013228,0.6752021834201556,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,4,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-4.050371885109229,7.189003492328241,11.239375377437469,4.766541075371406,5.821335600181093,0.65149870188497,292053.2668758348,52.961567504126734,2.171662339616567,19.404452000603644,51.71875,2781.0,7734.969892024994,57.13541666666667,2469.0,8328606.9775390625,60.920138888888886,2251.0,4299.864582061768,7501.0,1629.5866923683561,74.88490824418858,4312.100442727509,1414.033483193768,0.0,5760.0,1.0,False,-1.0,79.8
guard,guarded,4,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5329.0,-3.171935627381954,7.437466657976582,10.609402285358536,4.8835684776940536,5.167063007662749,0.558770800001733,302147.08298029867,54.26187197437837,1.86256933333911,17.223543358875833,48.733345843497844,2732.0,9140.934265136719,52.65528241696378,2523.0,7283124.35144043,58.24732595233627,2225.0,7928.170974731445,7480.0,1669.5960607871652,64.22652874127655,3827.4540795230378,1113.173428011724,0.0,5760.0,0.9252,True,-1.0,70.1
signal,mahalanobis,4,2023,2.8595478900837894,0.12051832763245589,0.22493788060742706,0.6199397201320557,0.6905759614766223,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,4,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-4.6036636907816,7.186817849239468,11.790481540021068,5.341121516844004,6.405749548321982,0.04361047485508025,291964.4751253534,59.34579463160005,0.1453682495169342,21.352498494406607,51.89236111111111,2771.0,4179.107391834259,69.375,1764.0,2567489.971923828,64.01041666666667,2073.0,2762.9997367858887,6608.0,1826.0244511516228,5.012698281595307,4744.999666036182,1803.822411533736,0.0,5760.0,1.0,False,-1.0,72.7
guard,guarded,4,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-4.207168438462723,7.584070178549069,11.791238617011793,5.357644023463968,6.209776225059648,0.22381836848817765,308102.851003556,59.52937803848854,0.7460612282939255,20.69925408353216,49.77430555555556,2893.0,5141.124651432037,71.04166666666667,1668.0,2718698.5002441406,61.579861111111114,2213.0,4388.7080154418945,6774.0,1831.6731703766068,25.726249315708152,4599.834240246799,1772.400576943734,0.0,5760.0,1.0,False,-1.0,71.2
