steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,fault,supervisor,seed,test_year,regen_id,config_hash,git_sha,image,onset_step,secs
5760,0.862010856460663,11.32185305726859,10.459842200807929,4.597240068905768,5.110289078596543,0.7523130533056182,459950.2804515365,51.0804452100641,2.507710177685394,17.03429692865514,67.17013888888889,1891,1629.1347522735596,52.22222222222223,2752,2712459.4477539062,51.61458333333333,2787,6814.064025878906,7430,1571.706006529114,86.47276482411571,3785.3993182086974,1432.2694600850457,0,5760,1.0,False,faults,nofault,none,False,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,
5760,1.4464575910929174,8.658281862193085,7.211824271100166,1.9384687503817608,4.959456638214075,0.3138988825043307,351742.70065159403,21.53854167090845,1.046329608347769,16.53152212738025,49.56597222222222,2905,10926.71240067482,49.114583333333336,2931,4959685.7265625,29.54861111111111,4058,22163.05577468872,9894,662.7243588914632,36.08033137340497,3673.671583917815,1213.593165515137,0,5760,1.0,False,faults,t_in_stuck/raw,t_in_stuck,False,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,82.1
5760,3.472231344405788,16.851457167833978,13.37922582342819,6.763550786090942,2.885322504402989,3.730352532934258,684590.4474432553,75.15056428989936,12.434508443114192,9.617741681343295,89.60069444444444,599,566.9793539047241,88.90625,639,359070.9493408203,58.31597222222222,2401,7721.945693969727,3639,2312.325054714435,428.7761532227928,2137.2759285666302,1091.9904619958245,0,5760,1.0,False,faults,t_in_stuck/sup,t_in_stuck,True,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,32.6
5760,1.703205779867001,10.84347971465738,9.14027393479038,3.5080630680881084,5.28754454033092,0.3446663263713519,440516.3634079562,38.97847853431232,1.148887754571173,17.625148467769733,54.045138888888886,2647,5760.219049453735,53.45486111111111,2681,2188337.599853516,41.458333333333336,3372,10883.621379852297,8700,1199.3378011155494,39.61681918907957,3916.699659154236,1566.9569588832546,0,5760,1.0,False,faults,t_in_offset/raw,t_in_offset,False,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,80.1
5760,3.472231344405788,16.851457167833978,13.37922582342819,6.763550786090942,2.885322504402989,3.730352532934258,684590.4474432553,75.15056428989936,12.434508443114192,9.617741681343295,89.60069444444444,599,566.9793539047241,88.90625,639,359070.9493408203,58.31597222222222,2401,7721.945693969727,3639,2312.325054714435,428.7761532227928,2137.2759285666302,1091.9904619958245,0,5760,1.0,False,faults,t_in_offset/sup,t_in_offset,True,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,32.7
5760,1.4792574108184913,15.739491778149258,14.260234367330764,2.2624692995033304,4.122472407829665,7.875292659997772,639416.8534873136,25.138547772259223,26.250975533325903,13.741574692765552,58.576388888888886,2386,3575.645920753479,44.6875,3186,6306841.819458008,27.82986111111111,4157,27854.252548217773,9729,773.4937774136614,905.2060529154492,3053.68326511042,906.7224524364776,0,5760,1.0,False,faults,rh_offset/raw,rh_offset,False,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,80.6
5760,3.472231344405788,16.851457167833978,13.37922582342819,6.763550786090942,2.885322504402989,3.730352532934258,684590.4474432553,75.15056428989936,12.434508443114192,9.617741681343295,89.60069444444444,599,566.9793539047241,88.90625,639,359070.9493408203,58.31597222222222,2401,7721.945693969727,3639,2312.325054714435,428.7761532227928,2137.2759285666302,1091.9904619958245,0,5760,1.0,False,faults,rh_offset/sup,rh_offset,True,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,32.7
5760,-13.1626858408938,3.414301208840009,16.576987049733805,4.998398983385528,2.9417944000605027,8.636793666287776,138705.98660912534,55.53776648206142,28.789312220959253,9.80598133353501,65.32986111111111,1997,12423.206298828123,16.70138888888889,4798,26293729.35583496,42.53472222222222,3310,11964.439720153809,10105,1708.8543530203906,992.7349041912432,2179.106962835871,449.8691961969341,0,5760,1.0,False,faults,uVent_dead/raw,uVent_dead,False,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,88.4
5760,-0.7069638335109136,8.538817426407276,9.24578125991819,4.052714982404682,1.588057329089866,3.60500894842364,346889.4579477956,45.030166471163135,12.016696494745467,5.293524430299554,77.13541666666667,1317,6450.707607269287,88.4375,666,359429.03381347656,37.23958333333333,3615,14499.455352783203,5598,1385.5435827074266,414.3688445126469,1176.3387617848448,442.4345488448577,0,5760,1.0,False,faults,uVent_dead/sup,uVent_dead,True,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,32.1
5760,-7.370771160217823,11.200071073912014,18.57084223412984,13.22896875038176,5.027974601243746,0.3138988825043307,455002.8873776755,146.98854167090846,1.046329608347769,16.759915337479153,88.17708333333333,681,836.543704032898,66.25,1944,2175513.78125,54.79166666666667,2604,11778.261730194092,5229,4522.724358891463,36.08033137340497,3724.425630606369,1322.8139446413493,0,5760,1.0,False,faults,uBoil_stuck/raw,uBoil_stuck,False,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,1900.0,81.2
