steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,secs,regen_id,config_hash,git_sha,image
5760,8.507060224703135,16.535977938984807,8.028917714281672,4.979109049263496,2.8872386628232074,0.16257000219496848,671774.1037712578,55.32343388070551,0.5419000073165616,9.624128876077359,68.47222222222223,1816,1513.1340522766113,100.0,0,0.0,62.10069444444445,2183,4577.280605316162,3999,1702.2595039041535,18.686207213719456,2138.6953049040767,1338.3628664563068,0,5760,1.0,False,sindy_mpc_conf_dagger,18,2020,0.06742433172732046,1139190288,20,100,80.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.9451221526311697,7.934215145307599,9.879337297938768,7.018081335407016,2.2065742106772896,0.6546817518544618,322327.4902781212,77.97868150452241,2.182272506181539,7.355247368924299,74.53125,1467,959.5534057617188,100.0,0,0.0,54.73958333333333,2607,5060.786224365234,4074,2399.3440470050873,75.25077605264428,1634.4994159080943,1172.1547722486446,0,5760,1.0,False,sindy_mpc_conf_dagger,18,2021,0.06742433172732046,1139190288,20,100,71.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,5.846579081735124,15.292625552950582,9.446046471215457,6.094676693983362,2.5719894498941773,0.7793803273379172,621262.9130886174,67.71862993314846,2.5979344244597242,8.573298166313926,84.09722222222223,916,595.5843620300293,100.0,0,0.0,57.013888888888886,2476,4555.221492767334,3392,2083.650151916083,89.58394540643238,1905.1773702495477,1206.0337953142516,0,5760,1.0,False,sindy_mpc_conf_dagger,18,2022,0.06742433172732046,1139190288,20,100,82.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,4.3369037692333885,12.941211090028634,8.604307320795247,5.463118110262067,3.025421761841531,0.11576744869164876,525736.7005324133,60.70131233624519,0.38589149563882924,10.084739206138437,80.67708333333333,1113,731.8092908859253,100.0,0,0.0,47.30902777777778,3035,5680.632961273193,4148,1867.7326873834563,13.306603339896917,2241.053156016612,1566.0599483211322,0,5760,1.0,False,sindy_mpc_conf_dagger,18,2023,0.06742433172732046,1139190288,20,100,80.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,3.740661495942105,12.94047519823629,9.199813702294186,5.13047974414696,3.9602985785177554,0.10903537962946934,525706.8049283493,57.005330490521786,0.3634512654315645,13.200995261725852,61.84027777777777,2198,2429.386651992798,88.66319444444444,653,181993.43615722656,70.74652777777779,1685,3173.1036491394043,4536,1754.0101701367485,12.532802243371943,2933.5545033650474,1486.7652479910384,0,5760,1.0,False,sindy_mpc_dense_dagger,18,2020,0.044466777218633464,4274084384,20,100,67.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.6816090014528657,6.527969155567444,10.20957815702031,6.43700603913334,3.0663574670325353,0.7062146508544348,265198.74694492744,71.52228932370379,2.3540488361814496,10.221191556775118,66.40625,1935,1970.1253299713135,90.19097222222221,565,120820.43072509766,72.53472222222223,1582,2769.050048828125,4082,2200.6858264925645,81.1740978325532,2271.3759020760353,1308.9727005818413,0,5760,1.0,False,sindy_mpc_dense_dagger,18,2021,0.044466777218633464,4274084384,20,100,65.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-0.34275906616041985,10.560690901706906,10.903449967867324,6.114600958638195,3.5509390211443135,1.2379099880848181,429028.067881843,67.9400106515355,4.126366626949394,11.83646340381438,75.19097222222221,1429,1299.0036315917969,90.22569444444444,563,167885.46936035156,70.69444444444444,1688,2853.609172821045,3680,2090.461865507163,142.2885043117645,2630.325200284499,1318.9054815574975,0,5760,1.0,False,sindy_mpc_dense_dagger,18,2022,0.044466777218633464,4274084384,20,100,67.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.9065692985382818,8.091860420927425,9.998429719465706,5.5712090949109605,4.363325243927173,0.06389538062757356,328731.82960017666,61.90232327678845,0.2129846020919119,14.544417479757245,75.0,1440,1391.605278968811,85.90277777777777,812,183590.7918701172,54.65277777777777,2612,4405.908721923828,4864,1904.6868704684355,7.344296578826964,3232.0927722121814,1729.6456887368877,0,5760,1.0,False,sindy_mpc_dense_dagger,18,2023,0.044466777218633464,4274084384,20,100,67.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
