block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
signal,mahalanobis,12,0,2021,2.8595478900837885,0.23114733231330703,0.2500903222244288,0.6766287890968337,0.69255190580316,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.413835020269153,7.977990323126385,11.391825343395539,6.2534795796226295,1.9465966196238136,3.191749144149094,324105.85687700944,69.48310644025145,10.639163813830315,6.488655398746046,55.329861111111114,2573.0,4139.2545375823975,99.44444444444444,32.0,13557.213134765625,53.47222222222222,2680.0,5626.706703186035,5285.0,2137.941736639198,366.86771774738077,1441.9234217241415,1378.9694086097782,0.0,5760.0,1.0,False,False,complete,-1.0,89.3
guard,guarded,12,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.0861174502604025,7.168073502213171,9.254190952473571,5.901260193434339,1.7347554791270579,1.6181752799121765,291202.9860274101,65.569557704826,5.3939175997072555,5.7825182637568595,46.423611111111114,3086.0,7335.981646537781,98.85416666666667,66.0,15516.1748046875,45.989583333333336,3111.0,12951.846321105957,6263.0,2017.524853144484,185.99715859545955,1285.0040578610938,1278.5605397105567,0.0,5760.0,1.0,False,False,complete,-1.0,90.1
signal,mahalanobis,12,0,2022,2.8595478900837885,0.24828692417609685,0.25100449550096104,0.7098555708298497,0.6789738621990695,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.9511753411203965,10.319426472113335,13.270601813233734,5.170637614912657,2.458229811798586,5.641734386522488,419226.7004296043,57.45152905458508,18.805781288408294,8.194099372661954,55.69444444444444,2552.0,4955.615709781647,96.84027777777777,182.0,136183.9295654297,61.96180555555556,2191.0,4221.482166290283,4925.0,1767.7393555218036,648.475216896617,1820.9109722177473,1334.3967431161982,0.0,5760.0,1.0,False,False,complete,-1.0,95.8
guard,guarded,12,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5027.0,-1.034001455984346,7.679701338324538,8.713702794308883,4.92326738462568,1.6573232437084808,2.133112165974724,311987.86686943437,54.70297094028533,7.110373886582413,5.524410812361603,50.64650885219814,2481.0,7274.251142024994,97.11557589019296,145.0,81260.07836914062,56.21643127113587,2201.0,8117.594623565674,4827.0,1683.168335970792,245.18530630991427,1227.6468469410747,976.2553797252934,0.0,5760.0,0.8727,True,False,env_terminated,-1.0,79.0
signal,mahalanobis,12,0,2023,2.8595478900837885,0.12353951597291067,0.21924659583955966,0.5999161588633781,0.678673735717195,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.544870804732319,8.27966112825315,10.824531932985469,5.0604523580791145,2.6469661814047107,3.1171133935016417,336361.23333528417,56.22724842310127,10.390377978338806,8.82322060468237,54.826388888888886,2602.0,3183.8531942367554,100.0,0.0,0.0,52.34375,2745.0,4677.069522857666,5347.0,1730.069182224956,358.28889587980944,1960.7156895738742,1711.1312012101848,0.0,5760.0,1.0,False,False,complete,-1.0,89.2
guard,guarded,12,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.1836458193655712,7.829089784703876,10.012735604069448,5.108355886949478,2.606105418352217,2.2982742987677525,318056.772503595,56.7595098549942,7.660914329225842,8.687018061174058,51.12847222222222,2815.0,4311.565902709961,99.77430555555556,13.0,9536.776123046875,51.31944444444444,2804.0,6714.714359283447,5632.0,1746.446458472363,264.1694594794059,1930.448457130908,1659.3839882251264,0.0,5760.0,1.0,False,False,complete,-1.0,90.3
signal,mahalanobis,12,1,2021,2.8595478900837885,0.22500817795462807,0.20933066020486296,0.6701187911334061,0.6869061113254872,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
