block,condition,seed,variant,degree,optimizer,denoise,n_days_train,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d1/stlsq/none,6,raw,1,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,21,7.875251868873608,2.6461767181899063,0.0,1.80195442344795,,True,29.1
ladder,raw/d1/stlsq/savgol,6,raw,1,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.851040375446768,5.4942197536019615,0.0,3.084732521967652,,True,28.3
ladder,raw/d1/stlsq/kalman,6,raw,1,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.259448662453375,5.887375516797877,0.0,3.0876457706648788,,True,28.9
ladder,raw/d1/sr3/none,6,raw,1,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,7.875251868873608,4.444283721744808,0.0,2.3747003952434196,,True,28.3
ladder,raw/d1/sr3/savgol,6,raw,1,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.851040375446768,5.2443222488601124,0.0,3.070474494775243,,True,28.2
ladder,raw/d1/sr3/kalman,6,raw,1,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.259448662453375,6.179832300842066,0.0,3.0885631145261736,,True,29.1
ladder,raw/d1/constrained/none,6,raw,1,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,7.875251868873608,4.444283721744808,0.0,2.3747003952434196,,True,28.2
ladder,raw/d1/constrained/savgol,6,raw,1,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.851040375446768,5.2443222488601124,0.0,3.070474494775243,,True,27.8
ladder,raw/d1/constrained/kalman,6,raw,1,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.259448662453375,6.179832300842066,0.0,3.0885631145261736,,True,28.5
ladder,raw/d1/ensemble/none,6,raw,1,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,21,7.875251868873608,2.6454041414687057,0.0,1.8019624172922173,,True,28.5
