steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,factor,value,seed,test_year,regen_id,config_hash,git_sha,image,nonzero,xi_uboil,rep
5760,6.005813491310716,17.229431390477394,11.223617899166676,4.759514361374829,5.172044897955418,1.2920586398364295,699945.6502381441,52.88349290416477,4.3068621327880985,17.240149659851394,70.01736111111111,1727,1307.6996722221375,57.013888888888886,2476,2411328.889038086,53.28125,2691,5696.110347747803,6894,1627.1843972912066,148.5124873387461,3831.144368850226,1207.1273941992936,0,5760,1.0,False,design,mpc_horizon=8,mpc_horizon,8.0,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,5.463106842967808,17.388889733883428,11.92578289091562,4.730759145173483,5.481756312467576,1.713267433274562,706423.6454390143,52.56399050192759,5.71089144424854,18.272521041558587,73.29861111111111,1538,1196.425615787506,52.74305555555555,2722,2992211.9173583984,51.18055555555555,2812,6278.515808105469,7072,1617.3535528842735,196.9272912052311,4060.560230554244,1171.7937015135842,0,5760,1.0,False,design,mpc_horizon=12,mpc_horizon,12.0,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,-2.7047293963437844,13.308396029909707,16.013125426253488,5.381682289720031,5.287799306278663,5.3436438302547975,540653.5887150818,59.79646988577812,17.812146100849326,17.625997687595543,73.59375,1521,4621.801076889038,46.16319444444444,3101,8235053.060302734,49.114583333333336,2931,7966.261245727539,7553,1839.8913819705162,614.2119347378709,3916.8883755544034,1043.6481613619244,0,5760,1.0,False,design,mpc_horizon=20,mpc_horizon,20.0,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,-10.4164142640794,10.177044778806243,20.59345904288564,6.1571313899064215,4.84310745222766,9.593220200751562,413442.44413900364,68.41257099896025,31.977400669171875,16.143691507425533,71.04166666666667,1668,8597.762332439423,39.65277777777778,3476,13788049.294067383,48.52430555555556,2965,8938.550636291504,8109,2105.002184065485,1102.6689885704245,3587.4870016847926,881.6371989464482,0,5760,1.0,False,design,mpc_horizon=30,mpc_horizon,30.0,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,-6.32552401500084,10.011058610985323,16.33658262598616,5.552151786622765,5.363352833592915,5.421078005770483,406699.25607127877,61.69057540691962,18.070260019234944,17.87784277864305,71.28472222222221,1654,5759.208281993866,44.75694444444444,3182,8532003.671142578,49.47916666666667,2910,7756.227352142334,7746,1898.1715502770212,623.1124143545044,3972.8539511039385,1013.8882952849608,0,5760,1.0,False,design,stlsq_threshold=0.01,stlsq_threshold,0.01,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,42.0,0.03388761923889502,
5760,-1.306154176682897,11.135904297734488,12.442058474417387,4.196229893897101,4.369295007596729,3.876533572923555,452396.11209546356,46.62477659885668,12.921778576411851,14.564316691989097,50.017361111111114,2879,4925.748811721802,68.81944444444444,1796,1528603.6589355469,50.69444444444444,2840,5719.921699523926,7515,1434.6085109924459,445.57857179774334,3236.514820277752,1499.911711112064,0,5760,1.0,False,design,stlsq_threshold=0.05,stlsq_threshold,0.05,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,29.0,0.0,
5760,1.5715663523787518,4.638240856268675,3.0666745038899235,0.15485692989556119,2.1749325521159557,0.7368850218784063,188428.53478591493,1.7206325543951244,2.4562834062613543,7.249775173719852,29.635416666666664,4053,20711.522325515747,94.25347222222223,331,259967.10034179688,33.66319444444444,3821,24623.617294311523,8205,52.94254007563522,84.69942786505682,1611.0611489802614,1538.6812471110206,0,5760,1.0,False,design,stlsq_threshold=0.1,stlsq_threshold,0.1,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,24.0,0.0,
5760,4.435064232236029,5.927897603377397,1.4928333711413684,0.2162569369961042,0.2995746992462798,0.9770017348989846,240820.84013720677,2.402854855512269,3.256672449663282,0.9985823308209326,33.645833333333336,3822,17574.9280128479,91.38888888888889,496,707089.5140991211,26.024305555555554,4261,31616.267696380615,8579,73.93399569468465,112.29905009201178,221.90718466752898,1336.9053564587518,0,5760,1.0,False,design,stlsq_threshold=0.2,stlsq_threshold,0.2,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,13.0,0.0,
4635,-41.230651326628404,1.139375728808359,42.370027055436765,10.211753268355064,3.0511588048916902,29.10711498219001,46287.13898283959,113.46392520394517,97.02371660730003,10.170529349638969,37.001078748651565,2920,26047.21208381653,18.274002157497304,3788,35501000.31384277,77.92880258899676,1023,4709.767436981201,7731,3491.197698494594,3345.645400114326,2260.117633226745,315.9017674847464,0,5760,0.8047,True,design,coef_perturb=0.1,coef_perturb,0.1,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,0.0
5760,-11.371566920927881,10.290935971028293,21.662502891956176,6.884025649085462,5.410912307953674,9.367564934917041,418069.2738230245,76.48917387872736,31.225216449723472,18.03637435984558,71.40625,1647,7565.842225551605,40.22569444444444,3443,12845544.303955078,68.36805555555556,1822,4814.328662872314,6912,2353.513042237278,1076.7316017432722,4008.0831904646207,1006.1134674872704,0,5760,1.0,False,design,coef_perturb=0.1,coef_perturb,0.1,15,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,1.0
