steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,factor,value,seed,test_year,regen_id,config_hash,git_sha,image,nonzero,xi_uboil,rep
5760,4.433735538124841,12.10861370808896,7.674878169964119,4.729065166776563,2.8306531842122222,0.1151598189753347,491912.431891114,52.54516851973958,0.3838660632511157,9.43551061404074,64.51388888888889,2044,2323.67985534668,100.0,0,0.0,60.01736111111112,2303,6090.212104797363,4347,1616.7744154060574,13.236760822825714,2096.780136592668,1502.8601026562758,0,5760,1.0,False,design,mpc_horizon=8,mpc_horizon,8.0,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,3.5710530092392814,11.74205730211795,8.171004292878667,4.671932475116014,3.374206030350143,0.1248657874125109,477021.0778985417,51.91036083462238,0.4162192913750366,11.247353434500477,63.57638888888889,2098,2348.5918645858765,93.87152777777776,353,68152.25866699219,60.08680555555556,2299,6208.203979492188,4750,1597.241872398347,14.35238937729464,2499.4118747907005,1486.1672076846228,0,5760,1.0,False,design,mpc_horizon=12,mpc_horizon,12.0,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,0.862010856460663,11.32185305726859,10.459842200807929,4.597240068905768,5.110289078596543,0.7523130533056182,459950.2804515365,51.0804452100641,2.507710177685394,17.03429692865514,67.17013888888889,1891,1629.1347522735596,52.22222222222223,2752,2712459.4477539062,51.61458333333333,2787,6814.064025878906,7430,1571.706006529114,86.47276482411571,3785.3993182086974,1432.2694600850457,0,5760,1.0,False,design,mpc_horizon=20,mpc_horizon,20.0,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,0.1286490092908865,11.16929761332547,11.040648604034589,4.565788643500362,5.566191514358212,0.9086684461760114,453752.7155413473,50.7309849277818,3.028894820586705,18.55397171452737,68.26388888888889,1828,1549.6978378295898,45.05208333333333,3165,3607196.23059082,49.49652777777778,2909,7231.228012084961,7902,1560.9533825588658,104.4446488932067,4123.104826581794,1415.9703720845991,0,5760,1.0,False,design,mpc_horizon=30,mpc_horizon,30.0,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,5.233810347415937,16.468330285480352,11.234519938064416,4.837921468622813,5.874781629776493,0.5218168396651086,669025.9178476393,53.75468298469793,1.739389465550362,19.58260543258831,66.42361111111111,1934,1474.2307109832764,60.05208333333333,2301,2375977.599975586,62.46527777777777,2162,4135.70219039917,6397,1653.990246364823,59.97894690377758,4351.690095462092,1398.378226412773,0,5760,1.0,False,design,stlsq_threshold=0.01,stlsq_threshold,0.01,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,40.0,0.0396983539494781,
5760,8.243049127984797,16.22818176135666,7.98513263337186,4.676208791266255,2.4116267958444046,0.897297046261201,659269.8840551142,51.957875458513946,2.9909901542040034,8.038755986148017,59.06249999999999,2358,2477.29213142395,100.0,0,0.0,62.13541666666666,2181,5040.084571838379,4539,1598.7038603860865,103.13759141930436,1786.39021920096,1456.6702433963137,0,5760,1.0,False,design,stlsq_threshold=0.05,stlsq_threshold,0.05,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,27.0,0.0,
5760,2.7323586460677207,5.745551714804936,3.0131930687372157,0.1643088081568479,2.036992838876373,0.8118914217039943,233413.03841395053,1.825653423964977,2.7063047390133144,6.78997612958791,32.46527777777778,3890,18163.6287817955,95.29513888888889,271,154884.3262939453,24.635416666666668,4341,32317.11778640747,8502,56.173951441270745,93.32085302567758,1508.883583869159,1368.7836227857204,0,5760,1.0,False,design,stlsq_threshold=0.1,stlsq_threshold,0.1,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,20.0,0.0,
5760,-2.399663031876928,2.815324012464484,5.214987044341411,0.8534554405992384,0.9019219789094914,3.459609624832682,114372.53800636966,9.482838228880428,11.532032082775608,3.006406596364972,26.822916666666668,4215,23309.54903721809,76.78819444444444,1337,2600516.4853515625,28.177083333333336,4137,25770.18886566162,9689,291.7796377746057,397.6562785169076,668.0903546869395,867.0255133286421,0,5760,1.0,False,design,stlsq_threshold=0.2,stlsq_threshold,0.2,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,11.0,0.0,
5760,1.570138188767224,11.713003094512825,10.1428649057456,4.605419697649444,4.675828387202448,0.8616168208937085,475840.7507145834,51.17132997388271,2.872056069645695,15.58609462400816,72.23958333333333,1599,1231.9800186157229,57.58680555555556,2443,2089002.396850586,47.62152777777778,3017,6170.232345581055,7059,1574.502460787288,99.03641601890928,3463.576582943469,1387.0271829714134,0,5760,1.0,False,design,coef_perturb=0.1,coef_perturb,0.1,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,1.0
3590,-29.23113624418557,0.0016927891397761,29.232829033325345,7.17860214907977,1.1898908657872438,20.86433601845833,68.76955880340392,79.76224610088633,69.54778672819444,3.96630288595748,42.72980501392757,2056,13278.500597953796,37.96657381615599,2227,18046216.018310547,81.47632311977716,665,3242.5309524536133,4948,2454.222957136498,2398.199542319513,881.4006417950288,247.8864760052693,0,5760,0.6233,True,design,coef_perturb=0.2,coef_perturb,0.2,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,1.0
5760,-1.38246200833038,14.667150985032166,16.049612993362544,6.088157899834911,2.83395553465438,7.127499558873254,595853.0087669317,67.64619888705457,23.758331862910847,9.446518448847934,94.54861111111111,314,485.5857124328613,95.5034722222222,259,23727.00289916992,47.27430555555556,3037,8459.858364105225,3610,2081.421504556892,819.2528232199584,2099.2263221464164,896.013321496853,0,5760,1.0,False,design,coef_perturb=0.3,coef_perturb,0.3,0,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,1.0
5760,5.884224865590937,14.606070308416877,8.721845442825938,4.860272808582836,3.8099703294321374,0.0516023048109644,593371.6062794356,54.00303120647595,0.1720076827032149,12.699901098107128,54.20138888888889,2638,3237.294412612915,96.92708333333331,177,33532.809814453125,73.29861111111111,1538,3077.5651626586914,4353,1661.6317297224746,5.931299353755258,2822.2002427619263,1479.1529019041118,0,5760,1.0,False,design,mpc_horizon=8,mpc_horizon,8.0,1,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
