steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,mode,seed,draw,test_year,secs,regen_id,config_hash,git_sha,image
5760,-1.9687273693476288,7.955639683318498,9.924367052666128,6.6878579387668005,1.8498462584031166,1.3866628554962102,323197.86213481403,74.30953265296445,4.622209518320701,6.1661541946770555,68.66319444444444,1805,1986.7341961860657,99.44444444444444,32,19542.67626953125,51.68402777777777,2783,6137.453475952148,4620,2286.4471586869945,159.3865351412618,1370.2564884172252,1296.1413182870988,0,5760,1.0,False,False,complete,adapt,static,static,2,0,2021,92.3,regen-v2,637c6b535a9e,f8f1aef,local
5760,2.8471333143942754,12.516033490228788,9.668900175834512,6.996766805262806,1.8368238996825104,0.8353094708891959,508463.8605405445,77.74185339180896,2.7843649029639868,6.122746332275034,75.92013888888889,1387,896.3318243026733,100.0,0,0.0,56.71874999999999,2493,4716.395820617676,3880,2392.0570257721324,96.01258282979529,1360.6102948814228,1222.1788781425557,0,5760,1.0,False,False,complete,adapt,dagger,dagger,2,0,2021,98.2,regen-v2,637c6b535a9e,f8f1aef,local
5760,-1.5159749906772908,9.168532234405557,10.684507225082848,7.183628164195382,2.75008501380317,0.750794047084296,372471.6220227258,79.81809071328203,2.5026468236143202,9.166950046010568,90.65972222222223,538,369.3516721725464,83.78472222222221,934,1636681.3905029297,37.06597222222222,3625,5612.238952636719,5097,2455.9412512062454,86.29816646711046,2037.100010439572,992.2064992531824,0,5760,1.0,False,False,complete,adapt,ekf,ekf,2,0,2021,92.1,regen-v2,637c6b535a9e,f8f1aef,local
5760,-0.33405265934673156,9.515000602270751,9.849053261617483,6.085800832670147,2.2121303961232783,1.5511220328240574,386546.8994672493,67.62000925189052,5.170406776080191,7.373767987077595,73.99305555555556,1498,1544.246654510498,99.84375,9,633.4185791015625,61.197916666666664,2235,5134.943435668945,3742,2080.6156694803494,178.28988883334347,1638.6151092146565,1278.8082164249095,0,5760,1.0,False,False,complete,adapt,static,static,2,0,2022,89.1,regen-v2,637c6b535a9e,f8f1aef,local
5760,5.801935971328625,15.241473276868547,9.439537305539922,6.198501816289039,2.097305395380093,1.1437300938707913,619184.8518727848,68.87224240321154,3.812433646235971,6.991017984600311,82.67361111111111,998,644.4015493392944,100.0,0,0.0,60.10416666666667,2298,3741.8227157592773,3296,2119.1459196145415,131.46322921101108,1553.5595505586286,1238.9608315428338,0,5760,1.0,False,False,complete,adapt,dagger,dagger,2,0,2022,95.7,regen-v2,637c6b535a9e,f8f1aef,local
5226,2.508057054392408,11.006736153063267,8.49867909867086,7.129790620602207,1.2638586031986376,0.10502987487001374,447148.6562181952,79.21989578446897,0.3500995829000458,4.212862010662126,83.33333333333334,871,597.8281373977661,94.14466130884041,306,337876.5712890625,60.98354381936472,2039,2496.022071838379,3216,2437.535254010051,12.072399420519217,936.191557735057,912.0712059022392,0,5760,0.9073,True,False,env_terminated,adapt,ekf,ekf,2,0,2022,83.7,regen-v2,637c6b535a9e,f8f1aef,local
5760,4.510458186196171,12.896253194753507,8.385795008557338,5.102467315363681,2.5827789692345684,0.7005487239590874,523910.28603686125,56.694081281818676,2.335162413196958,8.609263230781895,65.74652777777777,1973,1892.4523153305054,100.0,0,0.0,48.50694444444444,2966,5711.181221008301,4939,1744.4332708244947,80.52284183624992,1913.1696061768816,1678.092740484652,0,5760,1.0,False,False,complete,adapt,static,static,2,0,2023,96.5,regen-v2,637c6b535a9e,f8f1aef,local
5760,2.0015831382035576,10.04485407290784,8.043270934704282,5.716803957063513,2.1435280933248397,0.1829388843159298,408072.196711881,63.520043967372374,0.6097962810530994,7.145093644416133,80.26041666666667,1137,740.4967660903931,100.0,0,0.0,51.09375000000001,2817,4992.422065734863,3954,1954.4628906298294,21.027458004567336,1587.7985876999887,1602.6854543921704,0,5760,1.0,False,False,complete,adapt,dagger,dagger,2,0,2023,84.8,regen-v2,637c6b535a9e,f8f1aef,local
5760,-5.010069832077422,3.1071770423255796,8.117246874403001,5.496758062772837,2.383313567461638,0.23717524416852628,126229.06734447667,61.07508958636486,0.790584147228421,7.94437855820546,97.93402777777777,119,99.4652910232544,87.25694444444444,734,1373679.9104003906,52.39583333333333,2742,4662.421550750732,3595,1879.233525340238,27.261522263041154,1765.4174576494365,555.5364528931927,0,5760,1.0,False,False,complete,adapt,ekf,ekf,2,0,2023,93.0,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.104214637044845,8.130358865712767,10.234573502757613,6.704920921147514,1.9481815789780486,1.581471002632049,330295.82891958114,74.4991213460835,5.271570008773497,6.4939385965934955,68.76736111111111,1799,1901.5696716308594,99.40972222222221,34,18869.249267578125,53.71527777777778,2666,6037.268028259277,4499,2292.2806575411787,181.77827616997791,1443.0974651874426,1227.2092442494306,0,5760,1.0,False,False,complete,adapt,static,static,2,1,2021,86.2,regen-v2,637c6b535a9e,f8f1aef,local
5760,0.18984581562012237,10.038833244288128,9.848987428668007,7.100057965947757,1.7524435971181336,0.9964858656021148,407827.6005492052,78.88953295497508,3.3216195520070495,5.841478657060446,78.76736111111111,1223,773.7908821105957,100.0,0,0.0,50.67708333333333,2841,5768.986755371094,4064,2427.3702459350184,114.53860537432493,1298.106367779931,1356.8913360776414,0,5760,1.0,False,False,complete,adapt,dagger,dagger,2,1,2021,81.6,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.698009318969072,9.185010156811963,11.883019475781033,7.075835905874111,4.073361180994207,0.7338223889127153,373141.03762048593,78.6203989541568,2.4460746297090514,13.577870603314025,91.42361111111111,494,365.5597743988037,67.30902777777777,1883,3901431.1069335938,38.142361111111114,3563,6041.397285461426,5940,2419.0891981499744,84.34740133946413,3017.304578654929,880.2261588058418,0,5760,1.0,False,False,complete,adapt,ekf,ekf,2,1,2021,76.5,regen-v2,637c6b535a9e,f8f1aef,local
5760,5.395149838506091,15.423303661295257,10.028153822789168,5.936583033900287,2.4552587878078875,1.6363120010809924,626571.7112401199,65.96203371000318,5.454373336936642,8.184195959359625,74.75694444444444,1454,1489.983654975891,100.0,0,0.0,62.239583333333336,2175,4630.780841827393,3629,2029.601037210436,188.08183913094365,1818.7102117478903,1215.1293596927658,0,5760,1.0,False,False,complete,adapt,static,static,2,1,2022,87.1,regen-v2,637c6b535a9e,f8f1aef,local
5760,5.488089879918563,14.789718586118545,9.301628706199981,6.166042724473315,2.066409114370473,1.0691768673561937,600832.3175610659,68.51158582748128,3.563922891187312,6.88803038123491,83.69791666666667,939,632.840259552002,100.0,0,0.0,58.75,2376,5232.884647369385,3315,2108.048794634108,122.89389280500131,1530.6734175951997,1341.2924561395446,0,5760,1.0,False,False,complete,adapt,dagger,dagger,2,1,2022,87.0,regen-v2,637c6b535a9e,f8f1aef,local
5760,-2.384457021911488,7.919965728187559,10.304422750099047,6.653514858205676,3.1973696892859524,0.45353820260741956,321748.6077076196,73.92794286895196,1.5117940086913986,10.657898964286508,83.03819444444444,977,797.956298828125,74.28819444444444,1481,2999429.6291503906,65.83333333333333,1968,1996.1023712158203,4426,2274.7059346352694,52.13082799245426,2368.4219922612765,924.734633528718,0,5760,1.0,False,False,complete,adapt,ekf,ekf,2,1,2022,84.6,regen-v2,637c6b535a9e,f8f1aef,local
5760,4.2698596979596894,13.247154775279277,8.977295077319589,5.109355857523268,2.825063249781607,1.0428759700147145,538165.6627457207,56.770620639147424,3.476253233382382,9.416877499272024,65.52083333333333,1986,1887.667176246643,100.0,0,0.0,50.34722222222222,2860,5734.490592956543,4846,1746.7883259677265,119.87080133088443,2092.639444858836,1607.1796427091472,0,5760,1.0,False,False,complete,adapt,static,static,2,1,2023,84.1,regen-v2,637c6b535a9e,f8f1aef,local
