steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,method,draw,seed,test_year,xi_uboil,n_draws_declared,secs,regen_id,config_hash,git_sha,image
5760,8.302170877883274,16.261443498141766,7.95927262025849,4.8081981523312685,2.47064155761201,0.6804329103152116,660621.1421120092,53.42442391479187,2.2681097010507054,8.2354718587067,63.00347222222222,2131,2179.3284816741943,100.0,0,0.0,62.20486111111111,2177,4779.339485168457,4308,1643.8284281435372,78.21067937121967,1830.1048560772676,1481.798398025429,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2020,0.0,10,74.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,-1.688149425846564,7.85276684314602,9.540916268992582,6.715092807892725,1.8197422295127004,1.0060812315871588,319018.65300280706,74.61214230991918,3.353604105290529,6.065807431709001,69.32291666666667,1767,1631.3739852905271,99.94791666666669,3,174.8114013671875,51.49305555555556,2794,6136.3675537109375,4564,2295.758224830388,115.64152111846155,1347.9572071440605,1318.9810100741024,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2021,0.0,10,139.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,-0.1309421936410868,9.359941657944958,9.490883851586045,6.1092104227993325,2.2334486212784626,1.148224807508251,380247.629854014,67.88011580888147,3.827416025027504,7.444828737594875,77.29166666666667,1308,1110.975803375244,99.375,36,5903.935302734375,60.45138888888889,2278,5239.798896789551,3622,2088.61894895082,131.979862752305,1654.4063864048549,1291.317274220807,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2022,0.0,10,206.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,4.503643814969779,12.768486005224258,8.26484219025448,5.253813018746577,2.618125212820808,0.3929039586870949,518719.7439622355,58.3757002082953,1.3096798622903163,8.727084042736026,74.54861111111111,1466,1153.9941129684448,100.0,0,0.0,47.46527777777778,3026,5594.830760955811,4492,1796.1753909143908,45.16137459027525,1939.3520083881187,1705.173564766082,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,0,2023,0.0,10,278.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,8.320552730023868,16.152283102183695,7.831730372159827,4.73555316180785,2.403352360713588,0.6928248496383891,656186.5010262126,52.61725735342056,2.309416165461297,8.01117453571196,60.79861111111112,2258,2354.5273218154907,100.0,0,0.0,61.96180555555556,2191,4873.965702056885,4449,1618.9925345396953,79.63504037846201,1780.2610078885336,1469.7737337599765,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2020,0.0,10,73.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,-1.6872892975251488,7.790338202403362,9.477627499928513,6.69228926842662,1.7910527966483685,0.9942854348535228,316482.4894726366,74.35876964918467,3.314284782845076,5.970175988827895,68.47222222222223,1816,1715.8861918449402,99.82638888888889,10,1726.8016357421875,51.31944444444444,2804,6050.376640319824,4630,2287.9621424691472,114.28568217647788,1326.7057767251356,1317.6437399211238,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2021,0.0,10,138.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,0.2884491539026523,9.62658397125436,9.338134817351705,5.981065392559987,2.178502058799979,1.1785673659917384,391079.97383220826,66.45628213955541,3.928557886639128,7.261673529333263,72.95138888888889,1558,1377.695237159729,99.30555555555556,40,6098.4029541015625,61.857638888888886,2197,5248.178268432617,3795,2044.8086817918472,135.4675131565832,1613.705228878228,1274.0695342937324,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2022,0.0,10,205.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,4.606688659073708,12.75856968841092,8.151881029337211,5.13400716085453,2.597401950470245,0.4204719180124361,518316.8935916936,57.04452400949478,1.4015730600414538,8.658006501567485,70.52083333333333,1698,1346.1769123077393,100.0,0,0.0,48.47222222222222,2968,5726.384353637695,4666,1755.2161231020318,48.33010546821467,1924.0014441687415,1693.7678450932503,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,0,2023,0.0,10,277.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,8.390326127044467,16.368217474171896,7.977891347127429,4.636643689713176,2.470828718383572,0.8704189390306816,664958.8348882333,51.51826321903529,2.901396463435605,8.23609572794524,55.97222222222222,2536,2760.56627368927,100.0,0,0.0,63.645833333333336,2094,5078.441482543945,4630,1585.1773295678922,100.04815391773413,1830.2434942067312,1380.3404348426425,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,0,2020,0.0,10,73.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,-1.5245435072795983,7.922782565380624,9.44732607266022,6.627246423631649,1.869256089939036,0.950823559089535,321863.0417185878,73.636071373685,3.169411863631783,6.2308536331301205,64.75694444444444,2030,1831.4822187423704,99.82638888888889,10,1916.2681884765625,53.59374999999999,2673,6202.11311340332,4713,2265.725272901885,109.29006443353154,1384.634140514133,1242.355935668783,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,0,2021,0.0,10,138.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
5760,5.893435874974975,15.112974598028709,9.219538723053734,5.735587703867198,2.348622764999231,1.1353282541873055,613964.5930449163,63.72875226519109,3.784427513957685,7.828742549997436,70.06944444444444,1724,1728.2969465255735,99.94791666666669,3,49.907470703125,62.91666666666666,2136,4810.769458770752,3863,1960.884687001169,130.49750028066669,1739.7205660604598,1181.9152508724644,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,0,2022,0.0,10,211.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v4
