block,condition,seed,variant,degree,optimizer,denoise,n_days_train,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,physics/d1/stlsq/kalman,13,physics,1,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,5.357677336543941,0.0,3.1752609243694545,,True,39.7
ladder,physics/d1/sr3/none,13,physics,1,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,17,57.680606906271024,4430.8995364742805,0.8333333333333334,2.348010081767503,,True,12.2
ladder,physics/d1/sr3/savgol,13,physics,1,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,46.82653072155335,4.883382564578447,0.0,3.1561288928913718,,True,39.6
ladder,physics/d1/sr3/kalman,13,physics,1,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,14.515774572571534,0.0,3.182271221134469,,True,39.7
ladder,physics/d1/constrained/none,13,physics,1,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,17,57.680606906271024,4430.8995364742805,0.8333333333333334,2.348010081767503,,True,12.2
ladder,physics/d1/constrained/savgol,13,physics,1,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,46.82653072155335,4.883382564578447,0.0,3.1561288928913718,,True,39.6
ladder,physics/d1/constrained/kalman,13,physics,1,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,14.515774572571534,0.0,3.182271221134469,,True,39.9
ladder,physics/d1/ensemble/none,13,physics,1,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,40,57.680606906271024,24.577160366248034,0.6666666666666666,1.6930975501611853,,True,20.8
ladder,physics/d1/ensemble/savgol,13,physics,1,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,46.82653072155335,5.094404853454768,0.0,3.1724660328289764,,True,39.1
ladder,physics/d1/ensemble/kalman,13,physics,1,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,5.363474820762957,0.0,3.1752965609473143,,True,40.2
ladder,physics/d2/stlsq/none,13,physics,2,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,303,57.680606906271024,9.626431197181088,0.43333333333333335,0.9412295014872749,,False,237.7
ladder,physics/d2/stlsq/savgol,13,physics,2,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5,46.82653072155335,4.996160633930927,0.2,3.1722922596462455,,False,282.1
ladder,physics/d2/stlsq/kalman,13,physics,2,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,5.357677336543941,0.0,3.1752609243694545,,False,326.4
ladder,physics/d2/sr3/none,13,physics,2,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,164,57.680606906271024,1126.3647146531684,1.0,5.125900816256928,,False,38.0
ladder,physics/d2/sr3/savgol,13,physics,2,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,46.82653072155335,4.864629799829749,0.0,3.1465975278891674,,False,318.2
ladder,physics/d2/sr3/kalman,13,physics,2,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,6.787543008401778,0.0,3.1787009742303742,,False,318.7
ladder,physics/d2/constrained/none,13,physics,2,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,164,57.680606906271024,1126.3647146531684,1.0,5.125900816256928,,False,37.7
ladder,physics/d2/constrained/savgol,13,physics,2,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,46.82653072155335,4.864629799829749,0.0,3.1465975278891674,,False,315.8
ladder,physics/d2/constrained/kalman,13,physics,2,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,6.787543008401778,0.0,3.1787009742303742,,False,316.3
ladder,physics/d2/ensemble/none,13,physics,2,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,277,57.680606906271024,3738.934493188957,1.0,13.445898156604938,,False,20.4
ladder,physics/d2/ensemble/savgol,13,physics,2,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,7,46.82653072155335,20.108535761173858,0.4666666666666667,3.218594630996834,,False,194.5
ladder,physics/d2/ensemble/kalman,13,physics,2,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,5.430617290449734,0.0,3.1756714437221083,,False,316.3
ladder,physics_no_cross/d1/stlsq/none,13,physics_no_cross,1,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,28,27.061073108800183,14.077884657330875,0.23333333333333334,1.7490293067768972,,True,25.7
ladder,physics_no_cross/d1/stlsq/savgol,13,physics_no_cross,1,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,5.085631217946668,0.0,3.1722922596462455,,True,32.2
ladder,physics_no_cross/d1/stlsq/kalman,13,physics_no_cross,1,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,5.357677336543941,0.0,3.1752609243694545,,True,32.8
ladder,physics_no_cross/d1/sr3/none,13,physics_no_cross,1,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,9,27.061073108800183,5.880019447270942,0.016666666666666666,2.893781871911523,,True,30.8
ladder,physics_no_cross/d1/sr3/savgol,13,physics_no_cross,1,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,4.883450278474014,0.0,3.156151550935121,,True,30.9
ladder,physics_no_cross/d1/sr3/kalman,13,physics_no_cross,1,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,9.322369258705942,0.0,3.1805417320703975,,True,31.6
ladder,physics_no_cross/d1/constrained/none,13,physics_no_cross,1,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,9,27.061073108800183,5.880019447270942,0.016666666666666666,2.893781871911523,,True,30.9
ladder,physics_no_cross/d1/constrained/savgol,13,physics_no_cross,1,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,4.883450278474014,0.0,3.156151550935121,,True,31.1
ladder,physics_no_cross/d1/constrained/kalman,13,physics_no_cross,1,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,9.322369258705942,0.0,3.1805417320703975,,True,32.4
ladder,physics_no_cross/d1/ensemble/none,13,physics_no_cross,1,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,29,27.061073108800183,15.620341170402646,0.26666666666666666,1.7505007726674866,,True,24.4
ladder,physics_no_cross/d1/ensemble/savgol,13,physics_no_cross,1,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,5.075496770699091,0.0,3.1720778340009614,,True,31.9
ladder,physics_no_cross/d1/ensemble/kalman,13,physics_no_cross,1,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,5.293261969980213,0.0,3.1748205844299537,,True,33.0
ladder,physics_no_cross/d2/stlsq/none,13,physics_no_cross,2,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,97,27.061073108800183,34.464293305507326,0.16666666666666666,1.0119916076154079,,False,176.0
ladder,physics_no_cross/d2/stlsq/savgol,13,physics_no_cross,2,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,5.085631217946668,0.0,3.1722922596462455,,False,217.4
ladder,physics_no_cross/d2/stlsq/kalman,13,physics_no_cross,2,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,5.357677336543941,0.0,3.1752609243694545,,False,211.5
ladder,physics_no_cross/d2/sr3/none,13,physics_no_cross,2,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,55,27.061073108800183,455.6047223173715,0.95,5.912765780023816,,False,35.8
ladder,physics_no_cross/d2/sr3/savgol,13,physics_no_cross,2,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,4.880366552399565,0.0,3.155062300807663,,False,211.5
ladder,physics_no_cross/d2/sr3/kalman,13,physics_no_cross,2,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,6.784293029608448,0.0,3.1786972079083156,,False,214.6
ladder,physics_no_cross/d2/constrained/none,13,physics_no_cross,2,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,55,27.061073108800183,455.6047223173715,0.95,5.912765780023816,,False,36.5
ladder,physics_no_cross/d2/constrained/savgol,13,physics_no_cross,2,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,4.880366552399565,0.0,3.155062300807663,,False,212.8
ladder,physics_no_cross/d2/constrained/kalman,13,physics_no_cross,2,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,6.784293029608448,0.0,3.1786972079083156,,False,211.0
ladder,physics_no_cross/d2/ensemble/none,13,physics_no_cross,2,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,107,27.061073108800183,9873.454003586665,0.8666666666666667,1.1466767813018124,,False,60.2
ladder,physics_no_cross/d2/ensemble/savgol,13,physics_no_cross,2,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.33597209489708,5.079987788678815,0.0,3.172174769561134,,False,215.6
ladder,physics_no_cross/d2/ensemble/kalman,13,physics_no_cross,2,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,14.465106998868622,5.520064449147706,0.0,3.176086098963122,,False,215.6
