steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,secs,regen_id,config_hash,git_sha,image
5760,2.8058090188601286,18.068444847976988,15.26263582911686,7.520629281368102,2.5989003970416995,5.14310615070706,734030.5719490652,83.56254757075669,17.143687169023533,8.663001323472333,80.13888888888889,1144,1772.6275329589844,100.0,0,0.0,69.73958333333333,1743,3954.834297180176,2887,2571.155308898249,591.161626798737,1925.1114035993112,705.7638006630696,74,5760,1.0,False,oracle_mpc,8,2020,,-1,20,100,7033.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-6.817398280321671,16.707190287809674,23.524588568131346,8.563692451208066,2.4815803006506796,12.4793158162726,678729.6054422681,95.15213834675629,41.59771938757533,8.271934335502266,82.36111111111111,1016,1540.811192035675,100.0,0,0.0,54.56597222222223,2617,6043.216442108154,3633,2927.758102870099,1434.4041170017251,1838.2076286932925,738.3936154210833,22,5760,1.0,False,oracle_mpc,8,2021,,-1,20,100,7012.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5686,-0.6550474668311292,15.813976584113565,16.46902405094469,7.787212573637971,2.4163069354543625,6.26550454185236,642442.7987296135,86.52458415153302,20.885015139507868,8.054356451514542,85.38515652479775,831,1899.0278873443604,99.94723883221948,3,47.301544189453125,66.03939500527612,1931,4521.311336517334,2765,2662.2948933696543,720.1729364478024,1789.8569878504238,738.7048858031133,100,5760,0.9872,True,oracle_mpc,8,2022,,-1,20,100,6881.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-4.00569688145358,16.32506124536297,20.330758126816548,7.585672111219905,2.7483024378748526,9.996783577721793,663205.6130928707,84.28524568022117,33.32261192573931,9.16100812624951,84.21875,909,1249.843786239624,100.0,0,0.0,54.34027777777778,2630,6567.001426696777,3539,2593.392176080417,1149.0555843669695,2035.7795825608914,838.3324085004879,16,5760,1.0,False,oracle_mpc,8,2023,,-1,20,100,6407.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
