test_year,method,epi_mean,epi_std,epi_median,viol_mean,n
2020,rule_based,4.633505033605601,0.0,4.633505033605601,2458.0,20
2020,sindy_mpc_lowthr,3.676864545732356,1.8538024867292384,4.395694404927797,6439.25,20
2020,sindy_mpc_dense,3.6281857692763078,1.9261314201481414,4.26582099747846,6450.05,20
2020,sindy_mpc_dense_dagger,3.613336572799828,1.107972991587945,3.62936216452335,4939.611111111111,18
2020,ppo,3.355003847580967,1.5923356111395603,3.753425438652613,1841.95,20
2020,oracle_mpc,2.765059687780411,0.07528982891270523,2.7811910127685318,2840.5,20
2020,sindy_mpc_conf_dagger,2.600766852387296,3.975835263214865,2.5376691776164986,4951.45,20
2020,sindy_mpc_conf,1.6526028716412007,3.933506061496249,-0.5168298081968401,5576.2,20
2020,sac,-2.4301047661814126,1.326045748120437,-2.771800983109752,1766.6,20
2020,nn_mpc,-3.1592506525385944,2.0303293538244933,-3.6625208998847976,3618.1666666666665,12
2021,ppo,-2.097331369555405,1.0289624314668098,-2.3883197593937315,1116.45,20
2021,sindy_mpc_lowthr,-2.594024220394023,2.0528854681623767,-2.3788016581325673,6548.65,20
2021,sindy_mpc_dense,-2.6825952339948773,2.018634743082447,-2.5463239951196694,6546.85,20
2021,sindy_mpc_dense_dagger,-3.2750688070498932,1.2620370427514034,-3.1829427438345625,4646.3,20
2021,sindy_mpc_conf_dagger,-3.31794071977487,5.203248627961906,-3.4875950149785773,5177.8,20
2021,sindy_mpc_conf,-4.420262023231983,3.2081370998212213,-3.622485730505982,6113.35,20
2021,sac,-6.134100507135358,1.4675479944646965,-5.745116549735608,1712.5,20
2021,oracle_mpc,-6.75666285247371,0.08709314999178791,-6.778862732786368,3600.45,20
2021,rule_based,-6.971197553462107,0.0,-6.971197553462108,3172.0,20
2021,nn_mpc,-7.634859895563551,2.3473973818133547,-7.400410603685632,4103.894736842105,19
2022,ppo,1.7236714204344825,1.189813980409232,1.6387127809653004,1194.45,20
2022,rule_based,1.3275113618985808,0.0,1.3275113618985808,2505.0,20
2022,sindy_mpc_lowthr,0.7829831473206578,1.5335578442189124,0.6916952157376124,5001.736842105263,19
2022,sindy_mpc_dense,0.7035312078008393,1.479680267501828,0.6562480781649525,5002.1578947368425,19
2022,sindy_mpc_conf_dagger,0.5100332962606403,4.955471826122653,0.5747024999983057,4380.85,20
2022,sindy_mpc_dense_dagger,-0.13769665828330221,0.9558097537146754,-0.0030226671802799,4069.0588235294117,17
2022,sindy_mpc_conf,-1.784869889581957,3.4999996421706228,-2.862659813739191,5397.45,20
2022,sac,-2.9868333893970442,1.6147391478896973,-2.941730685862945,1542.9,20
2022,nn_mpc,-4.9505647391407495,3.0127303015680273,-4.676506126721043,3618.0,6
2023,sindy_mpc_conf_dagger,-0.2750609136676926,3.815556253689587,-0.5009954271903062,5017.65,20
2023,sindy_mpc_lowthr,-0.3278591268743709,1.3814971563669745,0.1349556260108755,6086.421052631579,19
2023,sindy_mpc_dense,-0.4034387460198651,1.334935663134153,-0.1051072150984064,6092.1578947368425,19
2023,sindy_mpc_conf,-0.47392494709487193,3.168744855777715,-1.5173678354783777,5582.35,20
2023,sindy_mpc_dense_dagger,-1.0063469800582345,1.052701962918461,-1.254609358220692,4968.833333333333,18
2023,ppo,-1.1666719544589068,3.401731017098358,-0.597722197445632,1166.8,20
2023,nn_mpc,-3.657534219980562,2.070323170955868,-3.820357425068121,4202.916666666667,12
2023,rule_based,-3.814265381971309,0.0,-3.8142653819713086,3105.0,20
2023,oracle_mpc,-3.952749154261235,0.06323363625186665,-3.9536896284352077,3521.6,20
2023,sac,-5.049342397894678,1.2036239747180628,-4.810468401954455,1733.8,20
