steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,secs,regen_id,config_hash,git_sha,image
5760,2.733727007395247,18.10567486101672,15.371947853621473,7.593363742366887,2.6216484932624393,5.156935617992147,735543.0412288043,84.37070824852097,17.189785393307158,8.738828310874798,80.95486111111111,1097,1765.7769765853882,100.0,0,0.0,69.87847222222221,1735,3887.7363662719727,2832,2596.0217907324986,592.7512210136783,1941.9618455795803,713.2429665920408,61,5760,1.0,False,oracle_mpc,18,2020,,-1,20,100,7987.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-6.785619989804303,16.821853154886966,23.60747314469127,8.54211150088787,2.486016554116256,12.579345089687145,683387.784417283,94.91235000986522,41.93115029895715,8.286721847054189,81.84027777777779,1046,1642.1864805221558,100.0,0,0.0,54.91319444444444,2597,5916.27087020874,3643,2920.3799981987645,1445.9017347938825,1841.493744507692,743.0819221131635,26,5760,1.0,False,oracle_mpc,18,2021,,-1,20,100,8196.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5505,-1.0713253019302496,15.08044969917236,16.151775001102607,7.669509249873892,2.301613954758679,6.1806517964700385,612643.2690288771,85.21676944304325,20.60217265490013,7.672046515862263,85.06811989100818,822,1972.9966373443604,100.0,0,0.0,65.08628519527701,1922,4521.143455505371,2744,2622.0544436477307,710.4197473041539,1704.8992247496196,707.5916298082088,100,5760,0.9557,True,oracle_mpc,18,2022,,-1,20,100,7489.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.96484942189124,16.39456660752227,20.35941602941351,7.520758325317904,2.7861080187271066,10.052549685368497,666029.2684305921,83.56398139242116,33.508498951228326,9.287026729090355,84.27083333333333,906,1272.7506771087646,100.0,0,0.0,54.98263888888889,2593,6632.4189376831055,3499,2571.1994260855035,1155.465481298719,2063.78371706655,839.1657456833403,14,5760,1.0,False,oracle_mpc,18,2023,,-1,20,100,6733.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
