train,test,seed,rollout_rmse,maha,ens_std,epi_unguarded,viol_unguarded,epi_guarded,viol_guarded,guard_frac
2019:03-01,2020:03-01,1,2.6088082929723706,2.71811194784533,0.05092256221912779,0.5218866584446947,2131,0.34827055412146657,1758,0.33556547619047616
2019:03-01,2021:07-01,1,25.570436561506682,8.96287559823947,0.24578052875132853,-0.004865635182180866,32,0.577850347192876,846,1.0
2019:03-01,2022:10-01,1,44.28704301113262,4.029362744510415,0.06626257958452098,0.6396443684044005,1548,-0.6791525958905943,922,0.8370535714285714
2019:03-01,2023:01-01,1,25.781440013109904,3.9184756929922706,0.0713109570817778,-3.110101891676704,2637,-5.331481032098316,1640,0.47544642857142855
2019:03-01,2021:03-01,1,20.407365713987428,2.8791897261130748,0.06456142648393377,0.023942991862202723,2359,-0.2454774124516461,1866,0.39955357142857145
