steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,shift,dagger_iter
1680,0.18754505156555767,1.647096158958393,1.4595511073928353,0.032159063936350644,1.4273920434564846,0.0,66913.28145768472,0.3573229326261183,0.0,4.7579734781882825,84.22619047619048,265,577.4824104309082,100.0,0,0.0,47.67857142857143,879,5937.6521072387695,1144,10.994551793143769,0.0,1057.3274384328747,1298.1489451441453,0,rule_based,0,2021-07-01,
899,-3.231206339125615,-0.1415965932898732,3.089609745835742,0.24472804454932923,1.0099678517988846,1.834913849487528,-5752.361602401099,2.7192004949925472,6.11637949829176,3.3665595059962823,62.62513904338154,336,4167.3226318359375,73.30367074527253,240,861856.681640625,49.61067853170189,453,2847.9414253234863,1029,83.66770747099739,210.90963790786782,748.1243347717498,245.11001012423995,0,offline,0,2021-07-01,
154,-1.29514765416942,0.02511783703475313,1.3202654912041734,0.24890439467327674,0.16308921013448854,0.9082718863964081,1020.4121295368459,2.7656043852586305,3.0275729546546937,0.5436307004482952,35.714285714285715,99,1241.2019424438477,57.14285714285714,66,194980.27465820312,39.61038961038961,93,675.5102462768555,258,85.09551948165871,104.39906742324165,120.80682241970204,38.43782615474031,0,ekf_sindy,0,2021-07-01,
32,-0.018168430502329917,-0.0009748024577056414,0.017193628044624275,0.001549868125654757,0.007189895524841195,0.008453864394128322,-39.60134984429169,0.017220756951719523,0.02817954798042774,0.023966318416137316,75.0,8,32.09929656982422,100.0,0,0.0,15.625,27,306.08821868896484,35,0.5298694460296132,0.9717085640401134,5.325848451290899,1.0842180409430118,0,retrained_ceiling,0,2021-07-01,
899,-2.7376316346437672,-0.0681823821183283,2.66944925252544,0.21102195887770506,0.9259807420856871,1.5324465515620471,-2769.9092735570885,2.3446884319745007,5.1081551718734906,3.0866024736189575,66.40711902113459,302,3715.1468505859375,77.30812013348165,204,805249.1444091797,53.726362625139046,416,2634.779998779297,922,72.14425950831782,176.14328177959464,685.9116604689052,256.03436764336766,0,dagger,0,2021-07-01,0.0
34,-0.0005532784418064984,0.056624577919873235,0.05717785636167973,0.01169006108622998,0.045487795275449744,0.0,2300.37347799485,0.12988956762477755,0.0,0.15162598425149915,76.47058823529412,8,18.481613159179688,55.88235294117647,15,15043.186889648438,35.294117647058826,22,275.84751892089844,45,3.9966020467924905,0.0,33.69466318878011,10.455549220680261,0,dagger,0,2021-07-01,1.0
38,0.020960467408247148,0.05693708797444017,0.03597662056619302,0.007611695963982492,0.028364924602210517,0.0,2313.0691989616316,0.08457439959980546,0.0,0.09454974867403507,71.05263157894737,11,30.682876586914062,100.0,0,0.0,39.473684210526315,23,292.1899719238281,34,2.6022892070565713,0.0,21.01105533355767,15.200000379480207,0,dagger,0,2021-07-01,2.0
37,0.02055458033794018,0.05681771903588848,0.03626313869794831,0.007395898856129497,0.02886723984181881,0.0,2308.2198358329697,0.08217665395699442,0.0,0.09622413280606269,72.97297297297297,10,26.095726013183594,100.0,0,0.0,40.54054054054054,22,265.9493179321289,32,2.528512423939994,0.0,21.383140578714595,14.800000369724073,0,dagger,0,2021-07-01,3.0
1680,0.18754505156555767,1.647096158958393,1.4595511073928353,0.032159063936350644,1.4273920434564846,0.0,66913.28145768472,0.3573229326261183,0.0,4.7579734781882825,84.22619047619048,265,577.4824104309082,100.0,0,0.0,47.67857142857143,879,5937.6521072387695,1144,10.994551793143769,0.0,1057.3274384328747,1298.1489451441453,0,rule_based,1,2021-07-01,
128,-0.6811884105730373,0.0377995430143953,0.7189879535874326,0.08699284164961427,0.12967944200271742,0.5023156699351009,1535.6064349598091,0.9665871294401586,1.6743855664503364,0.43226480667572476,49.21875,65,923.9031372070312,55.46875,57,227535.9539794922,39.0625,78,646.2725067138672,200,29.74114239514316,57.737433185079674,96.05884593505758,25.455283241489965,0,offline,1,2021-07-01,
122,-0.5861185700091673,0.038906026064960395,0.6250245960741277,0.15743905180832374,0.10744517716700212,0.36014036709880193,1580.557308889016,1.749322797870264,1.2004678903293398,0.35815059055667375,43.44262295081967,69,953.8896369934082,40.98360655737705,72,233966.80310058594,43.44262295081967,69,617.7450485229492,210,53.82531683209418,41.39544434160983,79.5890201635062,25.276538824867032,0,ekf_sindy,1,2021-07-01,
42,-0.09001277325000774,0.01612822723988282,0.10614100048989059,0.02091548530273139,0.01398177086301148,0.07124374432414769,655.2092316202397,0.23239428114145988,0.23747914774715898,0.046605902876704935,59.523809523809526,17,99.88006210327148,100.0,0,0.0,45.23809523809524,23,254.96835327148438,40,7.1505932604250075,8.188936103690324,10.356867338802441,12.081121176111541,0,retrained_ceiling,1,2021-07-01,
37,-0.09672361573556612,0.06518905225572355,0.16191266799128967,0.033670956528699024,0.04990677681863306,0.07833493464395756,2648.3052478887694,0.3741217392077669,0.2611164488131919,0.16635592272877686,72.97297297297297,10,51.531009674072266,78.37837837837837,8,1293.40771484375,40.54054054054054,22,145.32857513427734,40,11.51143818764737,9.004015481230207,36.96798280848352,10.371769955376273,0,dagger,1,2021-07-01,0.0
1576,-1.6847704411841542,0.40579808509982906,2.0905685262839833,0.14503929619598782,1.9455292300879956,0.0,16485.547207180556,1.6115477355109757,0.0,6.4850974336266525,76.33248730964468,373,1080.0317001342773,100.0,0,0.0,63.00761421319797,583,2942.3200912475586,956,49.58608408084599,0.0,1441.1327623936409,628.2750626721634,0,dagger,1,2021-07-01,1.0
