factor,value,epi,seed,nonzero,rep
mpc_horizon,8.0,1.0874705720590048,2,,
mpc_horizon,12.0,0.8816599139519662,2,,
mpc_horizon,20.0,0.634301531202873,2,,
mpc_horizon,30.0,0.534792612643316,2,,
stlsq_threshold,0.01,0.8956308061049316,2,40.0,
stlsq_threshold,0.05,0.634301531202873,2,27.0,
stlsq_threshold,0.1,3.082257555539446,2,15.0,
stlsq_threshold,0.2,0.2868158462916053,2,12.0,
coef_uncertainty,0.1,0.4200976074915338,2,,0.0
coef_uncertainty,0.1,1.7579513260690276,2,,1.0
coef_uncertainty,0.2,-2.619383994795172,2,,0.0
coef_uncertainty,0.2,-1.4447088264412904,2,,1.0
coef_uncertainty,0.3,-0.8741152504072395,2,,0.0
coef_uncertainty,0.3,-2.666128940290897,2,,1.0
