train,2020:03-01,2021:03-01,2021:07-01,2022:10-01,2023:01-01
2019:03-01,0.45329624605067365,-0.5233210181956753,-7.719810354004528,0.20921445022803525,-4.897681699896311
2019:07-01,-0.11120808805047266,-3.1755905700965754,-0.5726823781036074,-0.23120088189944066,-4.0606759818755
