train,test,seed,rollout_rmse,maha,ens_std,epi_unguarded,viol_unguarded,epi_guarded,viol_guarded,guard_frac
2019:03-01,2020:03-01,0,2.7204094323268877,2.717991301847625,0.049342245153982264,1.2271823206665784,603,0.6069205218516112,915,0.33556547619047616
2019:03-01,2021:07-01,0,7.411774051754719,9.00718494339651,0.2654254567074517,-1.312020595461,550,0.5778261907527732,846,1.0
2019:03-01,2022:10-01,0,23.979572100777432,4.029282222942307,0.059367753833777646,0.9763707395223153,718,-0.6824169670303581,791,0.8370535714285714
2019:03-01,2023:01-01,0,22.049953296100977,3.9183610550420203,0.051566336457753624,-5.63497477729794,1486,-6.075213417951538,1112,0.47544642857142855
2019:03-01,2021:03-01,0,2.858309895998901,2.879055148601791,0.05099732535350922,-0.5260577295190549,1216,-0.17743561011672565,992,0.39955357142857145
2019:07-01,2020:03-01,0,21.647099571999178,6.105725647163814,0.07584459898363867,-1.333593740220627,2263,0.6273982415713155,648,1.0
2019:07-01,2021:07-01,0,1.7675985008504957,2.839028884792077,0.03569363935283127,-0.5010079274416794,535,0.11150251030181191,247,0.7944785276073619
2019:07-01,2022:10-01,0,3.854756763445188,4.374861258570432,0.060602854727418234,-0.7194476920277749,2193,-0.8019774097448686,794,0.9077380952380952
2019:07-01,2023:01-01,0,71.32835803678311,11.223224418886801,0.12198154525284964,-5.006132668094505,2734,-7.321946567113759,934,1.0
2019:07-01,2021:03-01,0,62.864095566586954,10.120470203507573,0.10585331229146411,-3.759877562171924,2312,-1.177344284170475,586,1.0
