steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,secs,uBoil_t_in
5760,-2.79993182636213,11.657074887331476,14.457006713693607,4.337323520888766,4.298867585132593,5.820815607672248,473568.6672978413,48.19248356543074,19.40271869224083,14.329558617108642,45.10416666666666,3162,5704.48978471756,78.76736111111111,1223,1340631.4835205078,61.94444444444444,2192,4150.512012481689,6577,1482.8456478096325,669.0592651790328,3184.3463586410367,1464.8309624726155,0,sindy_mpc_confirmatory,0,131.8,0.0
5760,2.5633387354711368,12.221963212610342,9.658624477139206,4.673992466242865,4.412396495022862,0.5722355158734794,496517.2555122952,51.93324962492072,1.9074517195782648,14.707988316742874,63.92361111111112,2078,2253.152421951294,71.92708333333333,1617,1568189.447631836,55.01736111111111,2591,6226.04305267334,6286,1597.9461417316602,65.77419733206328,3268.441847464619,1501.406809338844,0,sindy_mpc_dense,0,118.2,0.0319361803510622
5760,7.399684965475999,13.39842802331856,5.998743057842559,5.129555192346009,0.0,0.8691878654965501,544311.1384473165,56.99505769273344,2.8972928849885005,0.0,70.34722222222223,1708,1503.992663383484,99.63541666666669,21,963.1864318847656,59.201388888888886,2350,4954.424350738525,4079,1753.6940815787866,99.90665111467553,0.0,1563.8144965031815,0,sindy_mpc_conf_dagger,0,185.3,0.0565679664414368
5760,4.641141139889289,12.817316069634566,8.17617492974528,5.002392449794625,2.9773685225604254,0.196413957390229,520703.46532890433,55.58213833105139,0.6547131913007633,9.924561741868086,65.67708333333333,1977,2136.9791917800903,96.21527777777776,218,77074.58679199219,61.28472222222222,2230,5155.34676361084,4425,1710.219640801056,22.57631682931777,2205.4581650420623,1447.3198013206295,0,sindy_mpc_dense_dagger,0,132.6,0.0340337311434544
5760,-4.95725041607151,11.398230282625718,16.355480698697228,4.27927817610802,5.23986515635886,6.836337366230346,463053.1052316698,47.54753529008912,22.787791220767826,17.466217187862867,39.60069444444444,3479,6730.381649017334,64.28819444444444,2057,2008814.5595703125,65.41666666666667,1992,3242.5674324035645,7528,1463.001086668845,785.7859041826005,3881.3815970238,1499.3998335817282,0,sindy_mpc_confirmatory,1,102.4,0.0
5760,3.5673226813853405,13.663341411761088,10.096018730375746,5.127539818714466,4.87143092892199,0.097047982739289,555073.2448527941,56.97266465238295,0.3234932757976301,16.238103096406636,63.78472222222222,2086,2597.982995033264,73.54166666666667,1524,568049.5847167969,65.17361111111111,2006,4137.643241882324,5616,1753.005066412847,11.15494056811039,3608.4673551216624,1481.310545197431,0,sindy_mpc_dense,1,103.9,0.0314990401949661
5760,8.332304528837064,13.612071059621517,5.279766530784451,5.098575592029132,0.0,0.1811909387553191,552990.386797124,56.6508399114348,0.6039697958510639,0.0,60.26041666666667,2289,2354.505802154541,100.0,0,0.0,64.01041666666667,2073,4034.487548828125,4362,1743.1027657439768,20.826544644679448,0.0,1556.6274431258526,0,sindy_mpc_conf_dagger,1,152.3,0.0578780693209378
5760,5.411819441284572,14.096636566518187,8.684817125233618,5.264904662904848,3.219966795982703,0.1999456663460671,572675.8605148015,58.498940698942754,0.6664855544868905,10.733222653275678,67.25694444444444,1886,2199.82377243042,93.66319444444444,365,208794.08911132807,60.71180555555556,2263,4963.2456130981445,4514,1799.9674073240744,22.98226040679527,2385.1605886601665,1421.3260888858786,0,sindy_mpc_dense_dagger,1,144.2,0.0337585092354713
5760,-0.8485952602098359,12.794726735364804,13.643321995574642,4.725617254744264,2.821884262528886,6.095820478301492,519785.77362419525,52.50685838604738,20.31940159433831,9.406280875096288,44.14930555555556,3217,4955.84622001648,100.0,0,0.0,70.27777777777777,1712,3342.2604446411133,4929,1615.5956434914874,700.6690204139592,2090.2846396614445,1479.7780776696948,0,sindy_mpc_confirmatory,10,97.5,0.0
5760,2.750209286495648,13.309836031256529,10.55962674476088,4.606734556696408,4.820047412000401,1.1328447760640703,540712.0887697964,51.18593951884898,3.776149253546902,16.066824706668005,66.19791666666667,1947,1891.6351699829104,60.39930555555556,2281,2662392.259887696,47.91666666666667,3000,7140.974609375,7228,1574.951985209888,130.21204301318633,3570.4054904645664,1475.5857196312793,0,sindy_mpc_dense,10,75.9,0.0152604300287356
