fault,supervised,seed,epi,viol,flag_frac
none,0,1,-0.6223934757058109,2775,0.0
t_in_stuck,0,1,-0.7915976148542408,4428,0.0
t_in_stuck,1,1,0.3056557395061471,1956,0.6579861111111112
t_in_offset,0,1,-1.0267845395681179,3556,0.0
t_in_offset,1,1,0.2617680185007065,2214,0.5493055555555556
rh_offset,0,1,-0.22368263367937152,4553,0.0
rh_offset,1,1,0.40076723631956357,1981,0.653125
uVent_dead,0,1,1.100379371973387,4273,0.0
uVent_dead,1,1,1.4783720267899692,2753,0.6493055555555556
uBoil_stuck,0,1,-4.20806814278697,1881,0.0
uBoil_stuck,1,1,-2.7148343297890793,1390,0.6243055555555556
uLamp_dead,0,1,-0.28021904663786223,2772,0.0
uLamp_dead,1,1,1.6285283364040934,1960,0.5496527777777778
