factor,low,high,range
mpc_horizon,1.8537862091920836,2.4019043723063827,0.5481181631142991
stlsq_threshold,0.6557862162969139,1.941247209716374,1.28546099341946
coef_uncertainty,-1.265620905284043,1.4619610909008138,2.727581996184857
co2_price,-2.118394168793114,2.668428390495355,4.786822559288469
energy_price,-7.814249149422861,5.516355880810229,13.330605030233091
fruit_price,-5.502732094474252,14.223926801146103,19.726658895620353
