fault,baseline_epi,baseline_viol,epi_unsup,viol_unsup,epi_sup,viol_sup,flag_frac,viol_reduced_by_sup
t_in_stuck,1.9412472097163735,2587.1,0.8631047541868963,4163.2,0.9932125809894915,2055.3,0.5671875,2107.8999999999996
rh_offset,1.9412472097163735,2587.1,-0.0720136648428806,4125.0,0.9007667130583691,2013.0,0.5840277777777777,2112.0
uVent_dead,1.9412472097163735,2587.1,2.013894518425745,3617.35,2.1368377261824087,2558.2,0.6421354166666666,1059.15
t_in_offset,1.9412472097163735,2587.1,1.616951284036391,3411.95,1.1215523176882933,2165.1,0.5074131944444444,1246.85
uLamp_dead,1.9412472097163735,2587.1,1.9949407483531896,2573.7,2.4041468922327898,1885.15,0.5151909722222222,688.5499999999997
uBoil_stuck,1.9412472097163735,2587.1,-3.1827087782037946,1815.8,-2.160106337014164,1208.05,0.5738715277777777,607.75
