ood,violation
1.7110873906154112,1
1.680786384081508,1
1.6678015209702286,1
1.6595667425366378,1
1.6564397777617725,1
1.659549809761872,1
1.6644978703091093,1
1.677296033007396,1
1.6990527238516189,1
1.730103897759926,1
1.7491013646829514,1
1.7773789471172559,1
1.815749661081994,1
1.8640903705732943,1
1.9361124799651568,1
2.0157147501913335,1
2.101805317245861,1
2.193897609787469,1
2.182993604519559,1
2.173601026314794,1
2.1654235890878506,1
2.1565591175146483,1
1.9813491551514788,1
1.825537000037195,1
1.6933929643113015,1
1.5921105957918382,1
1.5530731113027667,1
1.56808608502018,1
1.638266889329295,1
1.7599818292132927,1
1.8840997503663615,1
2.0336234972789122,1
2.20353071771338,0
2.392168796782284,0
2.5058962465711723,0
2.630485923546207,0
2.765559011745055,0
2.9081335459266793,1
2.949886773587952,1
2.9985501803381367,1
3.0549862476132645,1
3.1167892558396644,1
3.0624934703040196,1
3.0173958062281687,1
2.9790392806464876,1
2.946634641424628,1
2.80523080728475,1
2.6763519991554063,1
2.5579151950829466,1
2.448825859859849,0
2.2669710762753055,1
2.103593242794993,0
1.9612086192805402,1
1.8413393919441083,0
1.6904885071267048,1
1.5802424774293078,1
1.5154717754920954,1
1.4991625872486567,1
1.4917894057551548,1
1.5312608551252151,1
1.6117471646115347,1
1.7220872532570977,1
1.7265774809304957,1
1.7339990088464898,1
1.7416110334350983,1
1.747197583465795,0
1.6770039113528499,0
1.6154271324351508,0
1.5649233787009929,0
1.5253836231554756,0
1.4918212457079272,0
1.4677068458066775,0
1.4526901258361986,0
1.445811983487067,1
1.440255538199408,1
1.4422607483009031,1
1.4483702523866084,1
1.4602255036106973,1
1.4763965190800443,1
1.494503211935801,1
1.5129768981140577,1
1.5316987663813417,1
1.545589428788894,1
1.5594942017111701,1
1.5726796869375803,1
1.5845193182404793,1
1.5944207215017228,1
1.6007464927501236,1
1.6044083556416682,1
1.604884954372052,1
1.60205537489729,1
1.5963182871233779,1
1.5874754244473532,1
1.5768205479526292,1
1.567490714290959,1
1.5578241598487648,1
1.5496127328597213,1
1.539400418968348,1
1.521001585845724,1
1.505014377007173,1
1.4919002980915976,1
1.4825350007789124,1
1.4782097733906219,1
1.4800629403734717,1
1.489022667753614,1
1.5056925093466635,1
1.522099064550023,1
1.5509727035303418,1
1.5919537478463381,1
1.6454117634174115,1
1.7124356477050267,1
1.7852777001213511,1
1.864342925363481,1
1.9461322920637003,1
1.9673956961608912,1
1.991373729280359,1
2.0152849273557973,1
2.0308789286042885,1
1.9164444073194469,1
1.8119383352884564,1
1.7139914831349714,1
1.624621584242271,1
1.547511377047431,0
1.4880271373973675,0
1.4483568501325526,0
1.4334309208687799,0
1.4550504458416083,0
1.5080800661195068,0
1.5919750857957298,0
1.6984318574870794,0
1.744847636579533,0
1.799278621402591,0
1.8616693228765588,0
1.935006547987314,0
2.079599715441766,0
2.2449040541122414,0
2.4309285127841735,1
2.624014659215898,1
2.7036856438249193,1
2.7927561663257214,1
2.889928730716086,1
2.9831462906847004,0
2.925629483558891,0
2.89363506846182,0
2.882218896180539,0
2.882186376717425,0
2.7950834532048354,1
2.722613484278024,1
2.6608358017895024,0
2.6034203165254834,1
2.4827729484395458,0
2.3870005001515846,0
2.313150677162258,0
2.2577868156505336,0
2.1706562496851154,1
2.1238207144763024,1
2.117501453107941,1
2.1430430624186454,1
2.1204985890633457,1
2.1007971880086287,1
2.0831789661906734,1
2.0626486394295704,0
2.0075760201347506,0
1.9611408859596133,0
1.9242923001346681,0
1.895900847353821,0
1.8774817777768427,0
1.8683508600469412,0
1.8680627349361962,0
1.8689376828262445,0
1.7925465093919712,0
1.7305648481296423,0
1.679562914138093,0
1.6438944930745216,0
1.6647760973487706,0
1.6865629555789319,0
1.7087587620988987,0
1.7403082991073586,0
1.878254248194587,0
2.0259890928283393,0
2.1840488615525793,0
2.3322897433186576,1
2.3580227823245323,1
2.381609276647508,1
2.400985172981991,1
2.4144906414464966,1
2.3935000055706657,1
2.3703363658268026,1
2.3433386363462207,1
2.318192059579927,1
2.3240583919748508,1
2.326695217946179,1
2.327532018001934,1
2.3277191586508565,1
2.3338318918880923,1
2.339415756804684,1
2.345026959269834,1
2.3452261342887777,1
2.2825445488453164,1
2.2256301652970336,1
2.1738086178352996,1
2.131511996846763,1
2.1291654591754106,1
2.131679319275328,1
2.140063088662759,1
