window_days,horizon,horizon_h,method,seed,secs,epi,revenue,cost_total,cost_heat,cost_elec,cost_co2,fruit_dm_growth,violation_steps_total,t_in_in_corridor_pct,steps
1,0,0.0,rule_based,0,0.2,0.10327351673198781,0.2958017496318224,0.1925282328998345,0.1671915677028995,0.0,0.02533666519693501,12016.946078792782,53,76.04166666666666,96
1,12,3.0,oracle_mpc,0,100.6,0.0657841001433942,0.2877314428352794,0.22194734269188518,0.16187889440396042,0.026921564939338713,0.03314688334858602,11689.089865183225,81,51.041666666666664,96
1,48,12.0,oracle_mpc,0,382.0,0.035962284205378336,0.29415868295602504,0.25819639875064665,0.17136220223710952,0.05645157448346727,0.03038262203006986,11950.196495088516,67,62.5,96
