lam,nonzero,uBoil,rmse,epi,epi_std,viol,n
1e-06,54.0,0.03600532221265,2.543960184601351,4.061580198327783,0.8824025456711276,6194.5,6
0.001,50.0,0.03600556685227115,2.5438308371663068,4.056416992748713,0.8807698930730476,6198.5,6
0.01,41.5,0.036397950082257095,2.554901107156011,3.244749340942807,3.451580064899133,6172.0,6
0.02,37.166666666666664,0.03654063423125768,2.5711525958463013,4.097416007045277,2.6350144549976093,6599.833333333333,6
0.03,34.5,0.034604805494228084,2.580362750370669,2.8088378302738626,2.4690130452520145,7162.0,6
0.04,30.833333333333332,0.0253671507724428,2.6570156657458917,-0.1762593643140451,3.715443396157622,6490.833333333333,6
0.05,27.666666666666668,0.0,2.617609550052795,-2.563696227687609,1.4248695360864843,6767.666666666667,6
0.1,20.333333333333332,0.0,3.6952653847046606,2.8576685045944097,1.5148335738865524,8645.666666666666,6
