horizon_h,epi,epi_sd,viol,tcorr,secs,n,rule_based_epi,gap_to_rule_based
3.0,0.25899098315015656,0.023013722061013514,913.5,72.73065476190476,1267.05,2,0.6274240728979317,-0.3684330897477751
6.0,0.25080305037873,0.02738783626752036,804.5,80.02232142857142,2359.1,2,0.6274240728979317,-0.37662102251920165
12.0,0.04435591224557715,0.021381319126637276,840.0,77.1577380952381,3653.2,2,0.6274240728979317,-0.5830681606523546
24.0,-0.5085515797763529,0.07739905060330177,894.5,72.69345238095238,7181.15,2,0.6274240728979317,-1.1359756526742846
48.0,-0.0419347795987309,0.12226794290104583,457.5,66.93092230591131,6756.05,2,0.6274240728979317,-0.6693588524966626
