shift,method,epi,viol,compl,gap_recovered,n
2021-03-01,dagger,-0.49472081439050175,1938.65,1.0,-0.6841996375914097,20
2021-03-01,ekf_sindy,-3.513847558140717,3430.65,1.0,3.328268024386296,20
2021-03-01,offline,-1.009537530171402,2663.75,1.0,,20
2021-03-01,retrained_ceiling,-1.7619739354188695,2459.25,1.0,,20
2021-03-01,rule_based,-4.931333968699968,1557.0,1.0,,20
2022-03-01,dagger,0.45483120898993257,1968.7,1.0,-0.0502276183495096,20
2022-03-01,ekf_sindy,-2.966122455755558,3247.35,1.0,1.282616812201068,20
2022-03-01,offline,0.3259141717681062,2414.7,1.0,,20
2022-03-01,retrained_ceiling,-2.2407422108769017,4256.35,1.0,,20
2022-03-01,rule_based,-1.2288272396534397,1211.0,1.0,,20
2023-03-01,dagger,1.2715916239847604,1870.7,1.0,-1.2063086680774924,20
2023-03-01,ekf_sindy,-2.3874572011665203,2790.3,1.0,6.446704404165485,20
2023-03-01,offline,0.6948328659593939,2765.3,1.0,,20
2023-03-01,retrained_ceiling,0.2167141445341773,2534.2,1.0,,20
2023-03-01,rule_based,-2.589287043870885,1563.0,1.0,,20
