method,budget_days,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,nonzero_coefficients,total_coefficients,sparsity,condition_number
raw_linear,3,one_step,1,t_in,3.2526304831259925,2.6593285002375535,0.353851284217522,,,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,one_step,1,co2,126.87538086245013,100.4337653988003,0.5906966120174924,,,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,one_step,1,rh,5.946280452516745,4.671532722033078,0.628163873150434,,,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,4,t_in,4.291083315627281,3.329953144692314,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,4,co2,252.45435779130437,190.67031306368614,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,4,rh,7.878595693514857,6.415155407255108,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,20,t_in,4.564540834213891,3.818004037205843,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,20,co2,335.1653655861045,269.09357128624606,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,20,rh,8.96860642585485,6.927971250887843,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,96,t_in,4.402186799362508,3.640400126949487,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,96,co2,388.65119416483594,319.0827819107646,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,96,rh,9.207399772142878,6.895477744731812,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_quadratic,3,one_step,1,t_in,4.670297390914839,3.515303641848531,-0.33214684933530947,,,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,one_step,1,co2,363.87557673091976,207.72616953469907,-2.3666381092056197,,,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,one_step,1,rh,16.309618449452806,11.547930703403853,-1.7973603050515878,,,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,4,t_in,73.49887213822703,24.844428307281696,,0.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,4,co2,1709.4363972822516,819.8499296223839,,0.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,4,rh,75.01816489022917,42.39081394174905,,0.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,20,t_in,9636.81301957879,2052.664400265062,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,20,co2,90340.59632294011,21666.21864696545,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,20,rh,4940.590631450129,1157.80461949966,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,96,t_in,12162.984428459285,2231.9444904620527,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,96,co2,110793.76440584208,24582.043999815694,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,96,rh,5974.060493343484,1310.7252695406034,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
physics_no_cross,3,one_step,1,t_in,3.803300940056317,3.08041840878667,0.11654504399482069,,,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,one_step,1,co2,122.25309364029887,96.88848865735235,0.6199766016560778,,,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,one_step,1,rh,5.63376362561291,4.5540741314728725,0.666221738402241,,,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,4,t_in,6.079851115906412,4.689185548711785,,0.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,4,co2,242.01928743826946,184.20398163684217,,0.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,4,rh,9.15562345842836,7.10449867099865,,0.0,20.0,43,54,0.20370370370370372,41.91494635744907
