equation,text
t_in,t_in_next_scaled = +1.298*t_in -1.003*psat +0.3705*vpd +0.3247*T_out -0.3047*uVent +0.2879*rad +0.2026*uThScr +0.1933*rh +0.07954*S_eff
co2,co2_next_scaled = +0.9413*co2 -0.3464*psat +0.2671*vpd +0.1573*t_in -0.1569*uVent +0.1248*rh +0.1004*uCO2 +0.02622*uThScr
rh,rh_next_scaled = +1.1*rh -0.9561*psat +0.5311*vpd +0.4437*t_in -0.2948*uVent +0.1391*T_out +0.1147*uThScr -0.08688*uBoil -0.07059*cos_h -0.0579*co2 +0.02551*uLamp
