budget_days,rows,kappa,nonzero
1,96,94.94454718663376,57
3,288,59.928091553480186,34
7,672,49.660299144703906,31
14,1344,39.48906160567623,30
30,2880,40.5095754714665,31
60,5760,55.67948249796297,33
