method,epi_mean,epi_std,viol_mean,n,gap_recovered_pct
dagger_final,0.3696937198491322,0.9634916757207024,2041.9833333333333,60,
offline,-0.018976009112578792,1.4929259893656597,2611.1666666666665,60,
retrained_ceiling,-1.1385725121449897,1.4719577376931243,2980.483333333333,60,
ekf_sindy,-2.1868620968067414,1.9917477962352859,2718.4333333333334,60,
rule_based,-2.9164827507414306,1.5420505372370077,1443.6666666666667,60,
