window_days,horizon,horizon_h,method,seed,secs,epi,revenue,cost_total,cost_heat,cost_elec,cost_co2,fruit_dm_growth,violation_steps_total,t_in_in_corridor_pct,steps
14,0,0.0,rule_based,0,1.2,0.6301080625235198,4.075421689361788,3.445313626838268,1.8585319826874873,1.121683075940609,0.4650985682101721,165564.00613032264,651,93.08035714285714,1344
14,96,24.0,oracle_mpc,0,7252.2,-0.4538221862373575,4.134270453356055,4.588092639593412,2.095217080415332,1.8770472485644567,0.6158283106136233,167954.73716758972,903,72.17261904761905,1344
