t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr,step,time_h,controller
16.5,414.60009765625,90.0,6.300000190734863,0.0,400.0,0.0,1.0,0.009900990099009898,2.606127781407833e-19,0.9999999999998415,0.9900990099009901,0.0,0.0,0,0.0,rule_based
13.726496696472168,416.738525390625,95.25662994384766,6.300000190734863,0.0,400.0,0.06540312923014306,0.9978589232386035,0.9999999991946431,2.1402265112535177e-19,0.9999999999984124,8.053503129712425e-06,0.0,0.0,1,0.25,rule_based
13.589577674865723,422.6822204589844,93.0210952758789,6.550179958343506,0.0,400.0,0.13052619222005157,0.9914448613738104,0.9999999997718017,1.237972957829263e-19,0.9999999999840985,2.2819787770522737e-06,0.0,0.0,2,0.5,rule_based
14.133404731750488,429.7232971191406,90.10823059082031,6.80035924911499,0.0,400.0,0.19509032201612825,0.9807852804032304,0.999999965831991,6.4724413995953e-20,0.9999999998407216,0.0003415633966823428,0.0,0.0,3,0.75,rule_based
14.89508056640625,436.9889221191406,87.76313781738281,7.050539016723633,0.0,400.0,0.25881904510252074,0.9659258262890683,0.9999619543623883,3.314693669718124e-20,0.9999999984151429,0.2756094784572882,0.0,0.0,4,1.0,rule_based
15.20742416381836,438.4838562011719,84.30264282226562,7.299997329711914,0.0,400.0,0.3214394653031616,0.9469301294951057,0.9993248457484115,2.8883223079110196e-20,0.9999999990016539,0.0027600098152208183,0.0,0.0,5,1.25,rule_based
16.1951904296875,444.3862609863281,83.22064208984375,7.249820232391357,0.0,400.0,0.3826834323650898,0.9238795325112867,0.14212265916664957,1.677061444676158e-20,0.9999999993702948,0.00037700437761621234,0.0,0.0,6,1.5,rule_based
16.53375816345215,450.6062927246094,85.11756134033203,7.199784278869629,0.0,400.0,0.44228869021900125,0.8968727415326884,0.00727436596346365,9.456897426997083e-21,0.9999999996028144,0.0122655569414061,0.0,0.0,7,1.75,rule_based
16.191160202026367,454.3765869140625,87.9335708618164,7.1497483253479,0.0,400.0,0.49999999999999994,0.8660254037844387,0.1467092841676141,6.682465063645348e-21,0.9999999997498883,0.6896882780254897,0.0,0.0,8,2.0,rule_based
14.966185569763184,448.2919006347656,88.46847534179688,7.099533557891846,0.0,400.0,0.5555702330196022,0.8314696123025452,0.9999267664893834,1.1703734238170638e-20,0.9999999999504012,0.4227623535022893,0.0,0.0,9,2.25,rule_based
