fault,supervised,seed,epi,viol,flag_frac
none,0,0,-0.07401626598816835,4041,0.0
t_in_stuck,0,0,-1.1214891543197767,5549,0.0
t_in_stuck,1,0,0.11301237927836844,2266,0.6600694444444445
t_in_offset,0,0,-0.2363299898819199,4953,0.0
t_in_offset,1,0,0.1378002908484649,2561,0.5868055555555556
rh_offset,0,0,-2.9040409074789943,5424,0.0
rh_offset,1,0,0.2578376797358063,2271,0.6524305555555555
uVent_dead,0,0,0.6413019861946141,5274,0.0
uVent_dead,1,0,1.4285142640405708,3177,0.6229166666666667
uBoil_stuck,0,0,-3.8309470306160445,2623,0.0
uBoil_stuck,1,0,-3.243461555998561,1786,0.5458333333333333
uLamp_dead,0,0,0.24772037196700053,3996,0.0
uLamp_dead,1,0,1.3999203649225567,2445,0.5496527777777778
