equation,term,coefficient,abs_coefficient,nonzero
t_in,1,0.0,0.0,False
t_in,t_in,1.29842482381992,1.29842482381992,True
t_in,co2,0.0,0.0,False
t_in,rh,0.19332075748217356,0.19332075748217356,True
t_in,T_out,0.3246914405997265,0.3246914405997265,True
t_in,rad,0.287853892492525,0.287853892492525,True
t_in,co2_out,0.0,0.0,False
t_in,sin_h,0.0,0.0,False
t_in,cos_h,0.0,0.0,False
t_in,uBoil,0.0,0.0,False
t_in,uCO2,0.0,0.0,False
t_in,uThScr,0.20263264734832998,0.20263264734832998,True
t_in,uVent,-0.30465369838979905,0.30465369838979905,True
t_in,uLamp,0.0,0.0,False
t_in,uBlScr,0.0,0.0,False
t_in,psat,-1.0033083100391256,1.0033083100391256,True
t_in,vpd,0.37049806944933694,0.37049806944933694,True
t_in,S_eff,0.07953998927455203,0.07953998927455203,True
co2,1,0.0,0.0,False
co2,t_in,0.15734011489300917,0.15734011489300917,True
co2,co2,0.9412711326265981,0.9412711326265981,True
co2,rh,0.12475748646518879,0.12475748646518879,True
co2,T_out,0.0,0.0,False
co2,rad,0.0,0.0,False
co2,co2_out,0.0,0.0,False
co2,sin_h,0.0,0.0,False
co2,cos_h,0.0,0.0,False
co2,uBoil,0.0,0.0,False
co2,uCO2,0.10039350800236195,0.10039350800236195,True
co2,uThScr,0.026215392005263353,0.026215392005263353,True
co2,uVent,-0.1569115995113055,0.1569115995113055,True
co2,uLamp,0.0,0.0,False
co2,uBlScr,0.0,0.0,False
co2,psat,-0.34641477927380815,0.34641477927380815,True
co2,vpd,0.26707696156917204,0.26707696156917204,True
co2,S_eff,0.0,0.0,False
rh,1,0.0,0.0,False
rh,t_in,0.4436943616100076,0.4436943616100076,True
rh,co2,-0.057897467019305704,0.057897467019305704,True
rh,rh,1.1001643521815858,1.1001643521815858,True
rh,T_out,0.13914058237584803,0.13914058237584803,True
rh,rad,0.0,0.0,False
rh,co2_out,0.0,0.0,False
rh,sin_h,0.0,0.0,False
rh,cos_h,-0.07059054151919839,0.07059054151919839,True
rh,uBoil,-0.08687792408479414,0.08687792408479414,True
rh,uCO2,0.0,0.0,False
rh,uThScr,0.11469276330250391,0.11469276330250391,True
rh,uVent,-0.2947725386330875,0.2947725386330875,True
rh,uLamp,0.02550640907748208,0.02550640907748208,True
rh,uBlScr,0.0,0.0,False
rh,psat,-0.9561240734706404,0.9561240734706404,True
rh,vpd,0.5311083809443988,0.5311083809443988,True
rh,S_eff,0.0,0.0,False
