window_days,horizon,horizon_h,method,seed,secs,epi,revenue,cost_total,cost_heat,cost_elec,cost_co2,fruit_dm_growth,violation_steps_total,t_in_in_corridor_pct,steps
14,0,0.0,rule_based,1,1.2,0.6273982415713155,4.076788956329221,3.4493907147579055,1.8571126845493469,1.1222879185795784,0.46999011162897997,165619.5513508746,648,92.78273809523809,1344
14,24,6.0,oracle_mpc,1,1880.3,0.23143692563193954,3.983747870474193,3.7523109448422534,1.9146833518761608,1.2676279967291806,0.5699995962369121,161839.75723801408,824,78.86904761904762,1344
