method,budget_days,horizon,co2,rh,t_in
physics_full,3,4,2901.153270002299,70.24070267917223,34.35444901630261
physics_full,3,20,11183.519990574858,416.16356318330514,234.79678827858658
physics_full,3,96,42474.633114714,2052.412758719259,1304.5003266030515
physics_full,7,4,427.59997745232454,15.50750739360253,6.484613934514281
physics_full,7,20,1968.0987269618095,195.21461814581497,90.58758008039119
physics_full,7,96,3098.557180368961,360.5296987326575,158.3005891287995
physics_full,14,4,307.4417058555974,8.735507639292074,3.1087718152921964
physics_full,14,20,284.60724025510666,19.06492120584114,4.399492559459201
physics_full,14,96,501.69595988127116,46.600461873147054,12.34055547309322
physics_full,30,4,250.24913540038048,8.325829232898592,3.720987308367366
physics_full,30,20,1807.6919206383031,162.5361017419346,41.09040788340615
physics_full,30,96,1655.7919833147992,155.57731649963662,38.8098805057562
physics_full,60,4,169.55788147604716,6.3751475799757875,2.601747336877547
physics_full,60,20,249.5966520104314,23.87877857493623,5.902322179531095
physics_full,60,96,396.948456473315,88.17791822886014,19.8954587890638
physics_no_cross,3,4,242.01928743826946,9.15562345842836,6.079851115906412
physics_no_cross,3,20,2875.8242224477954,119.62051014710775,353.7174312141439
physics_no_cross,3,96,6414.642404193282,214.03581004405643,797.5057753671415
physics_no_cross,7,4,243.19556103718983,7.587261345995274,4.681736381548616
physics_no_cross,7,20,557.6733048910246,26.84555529428745,21.79028337421215
physics_no_cross,7,96,1232.2998449900033,57.008390672220294,48.55493128449398
physics_no_cross,14,4,224.76218483086885,7.636663369990999,3.0659209709620407
physics_no_cross,14,20,306.03869818554165,8.973241760253508,2.9574551425430737
physics_no_cross,14,96,309.0999426782041,9.38071491021579,2.712473593620961
physics_no_cross,30,4,164.83296957857837,6.13887492345295,2.1545966001939814
physics_no_cross,30,20,199.8867449792884,6.9931738623262385,2.035911611339895
physics_no_cross,30,96,203.9331776423059,7.681608634471103,1.9832357680714494
physics_no_cross,60,4,170.44840157162358,5.8483432018100725,2.17661915086645
physics_no_cross,60,20,220.2432128209715,6.54844323460815,2.028010917388646
physics_no_cross,60,96,205.85177796438217,6.574954962200267,1.9227292050852949
raw_linear,3,4,252.45435779130437,7.878595693514857,4.291083315627281
raw_linear,3,20,335.1653655861045,8.96860642585485,4.564540834213891
raw_linear,3,96,388.65119416483594,9.207399772142878,4.402186799362508
raw_linear,7,4,212.146981431574,7.380233449857963,3.2601573445359766
raw_linear,7,20,298.1907764171671,9.321617748922554,3.4065627746282634
raw_linear,7,96,353.8486347734523,9.733970317234046,3.419587342353722
raw_linear,14,4,217.0515000493978,7.022936338649997,3.0504068261075603
raw_linear,14,20,297.36567991926086,9.10893672447054,2.809454064505017
raw_linear,14,96,321.8256780171293,10.326421488039067,2.5757199353622036
raw_linear,30,4,164.46494277567157,6.221473094578349,2.2749985933881103
raw_linear,30,20,201.7850370407977,7.166485739142031,2.023748105389835
raw_linear,30,96,197.61220280813464,7.270789131162866,1.931413842012178
raw_linear,60,4,168.58070398344955,5.834507252363533,2.261384557567002
raw_linear,60,20,223.4852862748401,6.295340997969055,1.9709149335746952
raw_linear,60,96,209.2014046494408,6.095183835913804,1.8392422905237251
raw_quadratic,3,4,1709.4363972822516,75.01816489022917,73.49887213822703
raw_quadratic,3,20,90340.59632294011,4940.590631450129,9636.81301957879
raw_quadratic,3,96,110793.76440584208,5974.060493343484,12162.984428459285
raw_quadratic,7,4,204.2789502920124,9.54342092829475,4.5098747277664355
raw_quadratic,7,20,4390.516650560116,61.04209771599613,17980.00985877714
raw_quadratic,7,96,3041.237803991694,193.59878271730537,24686.640680712047
raw_quadratic,14,4,179.34290720977484,10.828241379249803,2.6463135941448996
raw_quadratic,14,20,161.9552531073122,13.896681410573207,2.809115944919185
raw_quadratic,14,96,157.19936345621525,14.829074311279916,3.20900363806226
raw_quadratic,30,4,121.60297418385449,4.4705247831841275,1.9669561417027308
raw_quadratic,30,20,137.56535103762457,4.832204932359134,1.5275151839804966
raw_quadratic,30,96,127.62888327749657,5.837054808954092,1.488431179755103
raw_quadratic,60,4,110.66841350923973,4.2984357499650905,1.734298711514755
raw_quadratic,60,20,103.17830232196937,4.415799813257026,1.725028400660742
raw_quadratic,60,96,95.91380586776945,5.797412627903425,1.9001249584914766
