dataset,source,env_id,location,start_date,growth_year,start_day,scenario,n_days,period,seed,noise_scale,noise_period,created_at,rows
train,rule_based,gl_gym/GreenLightTomato-v0,Amsterdam,2010-02-28,2010,59,"{'location': 'Amsterdam', 'growth_year': 2010, 'start_day': 59}",60,900,42,0.1,5,2026-05-31 11:30:37,5760
test,rule_based,gl_gym/GreenLightTomato-v0,Amsterdam,2010-04-15,2010,105,"{'location': 'Amsterdam', 'growth_year': 2010, 'start_day': 105}",30,900,42,0.1,5,2026-05-31 11:30:39,2880
