budget_days,rollout_t_rmse,diverged_frac
1,91.09131183522956,0.55
3,14.206772862110554,0.0
7,26.776572747527585,0.0
14,4.143506555973087,0.0
30,3.204924900168852,0.0
60,5.803442379054982,0.0
