budget_days,rows,kappa,nonzero
1,96,94.94454718663359,57
3,288,59.9280915534805,34
7,672,49.66029914470378,31
14,1344,39.48906160568151,30
30,2880,40.509575471459804,31
60,5760,55.67948249794795,33
