steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,test_year,secs
5760,4.633505033605601,18.82551512786217,14.192010094256572,7.289512529497127,2.1524715303685187,4.750026034390926,764786.5520694008,80.99458366107919,15.83342011463642,7.174905101228396,95.22569444444444,275,385.74970149993896,100.0,0,0.0,62.10069444444445,2183,6893.667533874512,2458,2492.1410341909514,545.9800039294614,1594.4233554580537,964.8017977790362,0,rule_based,2,2020,4.7
5760,-6.971197553462108,18.221369854828968,25.192567408291076,8.104337951146658,2.1297811298067355,14.958448327337681,740243.1503524268,90.04819945718509,49.86149442445894,7.099270432689119,93.87152777777777,353,601.7383589744568,100.0,0,0.0,51.05902777777778,2819,6172.752422332764,3172,2770.71382839817,1719.3618767216722,1577.6156514270263,1167.3957143081307,0,rule_based,2,2021,7.7
5760,1.3275113618985808,17.637418865785413,16.309907503886834,7.499613752832879,2.1396342341557695,6.670659516898183,716520.1414225324,83.3290416981431,22.235531722993944,7.132114113852565,95.39930555555556,265,493.48263025283813,100.0,0,0.0,61.111111111111114,2240,5014.862869262695,2505,2563.970514295536,766.7424732707419,1584.9142469795343,1140.604291500547,0,rule_based,2,2022,5.8
5760,-3.8142653819713086,17.52128685038918,21.335552232360484,7.35007553803624,2.3552000843903835,11.630276609933864,711802.2782970604,81.66750597818044,38.767588699779544,7.850666947967945,93.02083333333333,402,549.7288312911987,100.0,0,0.0,53.07291666666667,2703,6248.114597320557,3105,2512.846337649489,1336.8134034486193,1744.592654565445,1265.6447612482766,0,rule_based,2,2023,5.5
5760,-2.2025837913059885,12.153272748894855,14.355856540200843,4.592650780594842,2.5651398032276242,7.198065956378377,493726.7054238535,51.02945311772047,23.993553187927926,8.550466010758749,47.06597222222222,3049,4561.757062911987,100.0,0,0.0,61.94444444444444,2192,4374.655975341797,5241,1570.1370198287982,827.3639028299422,1900.1035575253675,1484.3374358917931,0,sindy_mpc,2,2020,72.1
5760,-4.195546366883111,7.756354927072669,11.951901293955782,6.254425384293644,2.040847918809933,3.6566279908522032,315101.9189123272,69.4936153810405,12.188759969507345,6.80282639603311,49.670138888888886,2899,4739.505803823471,98.85416666666667,66,73817.84252929688,55.57291666666667,2559,4902.815414428711,5524,2138.2650889590855,420.3020679421544,1511.7391989710331,1335.834549553883,0,sindy_mpc,2,2021,72.3
5760,-3.9487836163300503,9.713989374592291,13.662772990922342,5.213993968849647,2.3830996417090917,6.065679380363602,394630.81834281184,57.93326632055164,20.218931267878673,7.943665472363639,50.763888888888886,2836,5551.9563064575195,96.94444444444444,176,131513.61779785156,65.85069444444444,1967,3255.8972091674805,4979,1782.5620408351358,697.2045264249824,1765.2589950671386,1286.7505714739352,0,sindy_mpc,2,2022,75.8
5760,-2.1808437555609945,8.911888394922826,11.092732150483819,4.998875171158,2.5432293148431953,3.5506276644826253,362045.4660437398,55.54305745731111,11.835425548275419,8.477431049477318,51.45833333333333,2796,3359.099207878113,100.0,0,0.0,50.06944444444444,2876,5100.6897621154785,5672,1709.0171529886338,408.1181222470371,1883.8735658238613,1714.7930211695698,0,sindy_mpc,2,2023,71.9
5760,4.640042226145873,15.354196358371787,10.714154132225914,4.927830009637803,5.411207948949619,0.37511617363849215,623764.2270588538,54.753666773753366,1.2503872454616405,18.037359829832067,61.49305555555556,2218,1921.683009147644,65.05208333333333,2013,2544799.927368164,61.99652777777778,2189,4357.838939666748,6420,1684.728208437915,43.116801612324,4008.3021842685184,1422.7721300714595,0,grey_box_mpc,2,2020,65.7
5760,-0.6530642417393112,12.388740742636395,13.041804984375705,6.818699455740242,5.272268737010672,0.9508367916247938,503292.59266960353,75.76332728600269,3.169455972082646,17.574229123368905,68.95833333333333,1788,1211.3137607574463,56.16319444444444,2525,3629781.5659179688,53.15972222222223,2698,4386.960762023926,7011,2331.1793008737536,109.29158536198747,3905.384247249392,1241.7626787753675,0,grey_box_mpc,2,2021,60.6
5760,2.455339867495981,14.568592168090507,12.113252300594525,6.0860162380985265,4.7354725859436355,1.2917634765523642,591849.0568286768,67.62240264553918,4.305878255174548,15.78490861981212,73.33333333333333,1536,1151.5354595184326,65.97222222222221,1960,2349319.6275634766,67.01388888888889,1900,3316.71577835083,5396,2080.689312990737,148.47856073983345,3507.757471891989,1258.9142893232445,0,grey_box_mpc,2,2022,60.6
5760,0.861247694672834,12.21622228547152,11.354974590798687,5.463652624010739,5.6677054265819695,0.22361654020597946,496284.03034728055,60.7072513778971,0.7453884673532649,18.8923514219399,68.42013888888889,1819,1271.3602323532104,71.64930555555556,1633,1523370.205444336,54.39236111111111,2627,4163.0223960876465,6079,1867.9154250030874,25.703050632271314,4198.300318455361,1640.9700582282417,0,grey_box_mpc,2,2023,58.9
5760,-1.0887498617163196,11.18532710036132,12.27407696207764,5.658062198686412,2.4523046714664485,4.163710091924779,454403.91345217865,62.86735776318236,13.879033639749263,8.174348904888163,61.80555555555556,2200,3555.923415660858,98.26388888888889,100,42421.013427734375,61.701388888888886,2206,5020.497150421143,4506,1934.3802393288368,478.5873677224,1816.5219799048523,762.9111097606349,0,nn_mpc,2,2020,1821.3
5760,-6.828497232449001,9.427234746159556,16.255731978608555,6.992441269992845,2.42534940926574,6.83794129934997,382981.41156273196,77.6937918888094,22.793137664499902,8.0844980308858,64.13194444444444,2066,3474.588530063629,92.91666666666667,408,291889.79821777344,46.70138888888889,3070,7352.068977355957,5544,2390.5782129301306,785.9702640085577,1796.5551182863767,650.5405143983775,0,nn_mpc,2,2021,1814.1
5760,-3.6974995559291326,10.993709834776391,14.691209390705522,6.501363488433163,2.549094024853982,5.640751877418377,446619.46203779086,72.23737209370181,18.802506258061257,8.496980082846608,64.79166666666667,2028,3610.6414403915405,93.80208333333333,357,217423.2703857422,58.732638888888886,2377,5178.130599975586,4762,2222.688371439695,648.3622848514075,1888.2177970957455,735.3366850744724,0,nn_mpc,2,2022,1792.8
5760,-3.1904707128366243,8.994261131937158,12.184731844773783,5.670957756317674,2.706557846264303,3.8072162421918057,365391.85848494706,63.01064173686304,12.69072080730602,9.021859487547678,71.05902777777777,1667,2187.7460775375366,98.28125,99,35516.68310546875,43.385416666666664,3261,8520.134170532227,5027,1938.7889775297058,437.6110614466797,2004.8576644604354,812.9672323360351,0,nn_mpc,2,2023,1795.8
