test_year,method,epi_mean,epi_std,viol_mean,n
2020,sindy_mpc_conf_dagger,4.86645386022696,3.545149080916256,4443.55,20
2020,rule_based,4.633505033605601,0.0,2458.0,20
2020,sindy_mpc_dense,3.8091950203730733,1.2743177421201803,6073.45,20
2020,grey_box_mpc,3.786148285638312,1.2716023246258201,6083.1,20
2020,ppo,3.355003847580967,1.5923356111395603,1841.95,20
2020,sindy_mpc_dense_dagger,3.2349774035741534,2.209877479755663,4466.5,20
2020,oracle_mpc,1.9871263424717316,0.6842384514254246,2815.8,20
2020,sindy_mpc,0.18780338753657277,3.9357674065726362,5513.8,20
2020,sac,-2.4301047661814126,1.326045748120437,1766.6,20
2020,nn_mpc,-4.041106949184868,3.353614204602166,3968.75,20
2021,sindy_mpc_conf_dagger,-1.3960142592348355,4.678370615807577,4510.15,20
2021,ppo,-2.097331369555405,1.0289624314668098,1116.45,20
2021,sindy_mpc_dense,-2.579206140086097,1.7752989177520722,6422.0,20
2021,grey_box_mpc,-2.617201941033626,1.7892989602626705,6429.75,20
2021,sindy_mpc_dense_dagger,-2.8038397049701733,1.2187544919882471,4569.4,20
2021,sindy_mpc,-4.668038535864005,4.074126448175365,6155.05,20
2021,sac,-6.134100507135358,1.4675479944646965,1712.5,20
2021,oracle_mpc,-6.434036033249154,0.08333342677982197,4014.2,20
2021,rule_based,-6.971197553462107,0.0,3172.0,20
2021,nn_mpc,-9.037472889408816,4.4398338055708715,4946.8,20
2022,sindy_mpc_conf_dagger,3.654014966192191,4.207178124581763,3801.8,20
2022,ppo,1.7236714204344825,1.189813980409232,1194.45,20
2022,rule_based,1.3275113618985808,0.0,2505.0,20
2022,sindy_mpc_dense,0.8316913144274753,1.3376965536467889,4897.7,20
2022,grey_box_mpc,0.8026998176842985,1.3482932151654259,4894.85,20
2022,sindy_mpc_dense_dagger,-0.09605325733670843,1.4960374204257192,3928.8,20
2022,oracle_mpc,-0.6279110669822294,0.11245319723481942,3041.4,20
2022,sindy_mpc,-2.7946587168459236,4.178048156737738,5470.6,20
2022,sac,-2.9868333893970442,1.6147391478896973,1542.9,20
2022,nn_mpc,-7.23630005847834,3.756832019622739,3972.35,20
2023,sindy_mpc_conf_dagger,2.584575574991827,3.15546551827531,4518.75,20
2023,sindy_mpc_dense,-0.19401908842550436,1.1926859502474798,6055.75,20
2023,grey_box_mpc,-0.21358089781534811,1.1949990065928455,6064.8,20
2023,sindy_mpc_dense_dagger,-0.5615013301253782,1.1937109080238488,4919.7,20
2023,ppo,-1.1666719544589068,3.401731017098358,1166.8,20
2023,sindy_mpc,-1.4866152351586557,3.5098305648780044,5583.65,20
2023,oracle_mpc,-3.693791143145699,0.0660980736381479,3811.55,20
2023,rule_based,-3.814265381971309,0.0,3105.0,20
2023,nn_mpc,-4.85049309825912,3.239015575898102,4813.55,20
2023,sac,-5.049342397894678,1.2036239747180628,1733.8,20
