steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,test_year,secs
5689,2.6812389473486693,17.72107182536869,15.039832878020018,7.667676691127493,2.6081240373961956,4.76403214949633,719918.542905603,85.19640767919437,15.880107164987768,8.693746791320653,73.31692740376164,1518,2527.3290586471558,100.0,0,0.0,69.53770434171209,1733,4035.65421295166,3251,2621.427928983866,547.5899024887698,1931.9437316900398,723.7262759764662,10,oracle_mpc,1,2020,4182.1
5760,-6.294165275528038,16.488891535223516,22.783056810751553,8.68879119505354,2.5214660342168633,11.57279958148115,669861.2186184553,96.54212438948377,38.57599860493717,8.404886780722878,75.27777777777777,1424,2378.831853866577,100.0,0,0.0,53.95833333333333,2652,6109.447593688965,4076,2970.5269029376573,1330.2068482257341,1867.7526163940574,757.8665876490827,4,oracle_mpc,1,2021,4112.5
5211,-0.5199332564788299,14.97603234646931,15.495965602948141,7.6346062895027735,2.2171291970239455,5.644230116421422,608401.3140753157,84.82895877225305,18.81410038807141,7.390430656746485,76.66474764920362,1216,2023.4547243118286,100.0,0,0.0,64.690078679716,1840,4181.195240020752,3056,2610.1218077606936,648.7620826147097,1642.3179229839131,682.2806855709708,10,oracle_mpc,1,2022,3790.6
5760,-3.6929739784289017,16.083857208300113,19.776831186729012,7.637344297843272,2.751196116074215,9.388290772811526,653406.6990871921,84.85938108714747,31.294302576038422,9.170653720247383,79.46180555555556,1183,1854.3381843566895,100.0,0,0.0,54.045138888888886,2647,6834.883792877197,3830,2611.0578789185915,1079.1138817168844,2037.92304813173,843.7688128032959,6,oracle_mpc,1,2023,3936.6
